ZIP Code,New and Renewed to Total Units Ratio,Housing Value to Median Income Ratio,Premium to Exposure Ratio,Nonrenewal Rate,Renewal Resilience,New and Renewed to Nonrenewed Ratio,Losses to Owner Nonrenewed Ratio,Loss Burden per Exposure,Loss Burden per Unit,Housing Value to Log Median Income Ratio,Losses to Premium Ratio,Losses to Company Nonrenewed Ratio,New and Renewed to Nonrenewed and Income Growth Product,Fire Smoke Claims to Total Units Ratio,Change in Renewed to Income Growth Ratio,Change in Nonrenewed to Income Growth Ratio,Log of Average Median Income,Growth in Losses to Fire Disasters 5yr Ratio,Growth in Losses to Fire Disasters 10yr Ratio,Growth in Losses to Fire Disasters 3yr Ratio,New and Renewed to Nonrenewed and Income Growth Ratio,Growth in Losses to All Disasters 10yr Ratio,Growth in Losses to All Disasters 3yr Ratio,Premium Adequacy,Growth in Losses to All Disasters 5yr Ratio
95360,4.169934640522876,5.222322154446161,2951.5670712729534,0.11393362062448023,0.8860663793755198,8.89051094890511,1239.5555555555557,482.62807345160286,482.62807345160286,30716.48190284704,0.16351587539681242,6057.359375,3.414311352616679,0.010582010582010581,0.15154949028822876,1.0996537391906829,11.085225703157102,-0.07348036596122776,-0.048986910640818504,-0.07348036596122776,23.149964010173125,-0.024493455320409252,-0.048986910640818504,6.115614141888353,-0.029392146384491103
95363,4.074968233799238,5.243639007897507,3374.8276154171963,0.13080495356037153,0.8691950464396285,7.763044647660032,864.8166666666667,388.27008329803755,388.27008329803755,36270.55183421161,0.11504886398472819,5111.741635687732,4.584354783042859,0.014400677678949597,0.06761115847759946,1.1071465374304619,11.26329492427696,-0.0404517438448686,-0.026967829229912397,-0.0404517438448686,13.145767518796255,-0.013483914614956198,-0.026967829229912397,8.691958923929418,-0.016180697537947437
95365,4.278554778554779,5.052501445744725,2479.1130536130536,0.10931399888455103,0.8906860011154489,9.364795918367347,1849.125,689.6503496503497,689.6503496503497,19505.42290834303,0.2781843081521655,8218.333333333334,0.09502100103233108,0.01282051282051282,12.028367633752419,240.75581557806566,10.621438837728816,0.5689915364447504,0.37932769096316693,0.5689915364447504,922.9475762187544,0.18966384548158347,0.37932769096316693,3.5947390657743528,0.22759661457790017
95366,4.20618766537757,5.85241735006187,3852.791166293507,0.1020578147966683,0.8979421852033317,9.920787325972155,1404.7754098360656,523.2523916140851,523.2523916140851,46790.60050016786,0.13581125190272603,10161.02371541502,2.8437887612588075,0.006920415224913495,0.13795326851410386,1.6710225672904864,11.422136051087499,7.024895923498619,4.6832639489990795,7.024895923498619,34.60946977074453,3.5124479617493094,4.6832639489990795,7.363160165228753,4.6832639489990795
95376,4.171998804006578,5.79553196235962,3522.0063537150545,0.11748746788364446,0.8825125321163555,8.535402966814498,1922.1752159351313,815.1068919120945,815.1068919120945,44246.81656624465,0.23143254442238867,12591.801385681294,3.9942697930688067,0.013006428464643444,0.0,0.4531861178381234,11.371567606941722,-0.2827244497694156,-0.18848296651294372,-0.2827244497694156,18.239404842488753,-0.1413622248847078,-0.18848296651294372,4.320913476087854,-0.18848296651294372
95382,4.1917002167853825,5.158353115393171,3447.673583152679,0.11727200555720949,0.8827279944427905,8.590014808546647,790.0261691301188,336.578713740064,336.578713740064,35863.96445948034,0.09762487823231923,5434.0633333333335,3.335294701977528,0.00836172189532363,0.06107646921576112,0.9330306519857413,11.268919367701605,-0.31968008526559166,-0.21312005684372778,-0.31968008526559166,22.123488628246513,-0.10656002842186389,-0.21312005684372778,10.243290625369966,-0.12787203410623665
95386,4.122954259336971,5.311503319364849,2928.926563155686,0.1215135356849877,0.8784864643150123,8.291139240506329,700.9106203995794,279.7171632396139,279.7171632396139,30026.449551790432,0.09550159664578305,2848.5726495726494,2.5840254868271666,0.011330255979857323,0.18475701934672947,-0.1629200287096905,11.041631861207868,-0.35378801531625936,-0.23585867687750625,-0.35378801531625936,26.603061872222842,-0.11792933843875313,-0.23585867687750625,10.471029125397935,-0.14151520612650376
95388,3.36292099464904,5.115018124925277,2064.927604658483,0.11760791024909678,0.8823920897509032,8.637025060630558,1463.8766990291263,474.59647466163045,474.59647466163045,23716.898524675657,0.22983685897313755,7284.024154589372,3.641938831134392,0.01164620711362921,0.16848212696073256,-0.28271738509709565,10.823479996042632,1.325075943113615,0.8833839620757433,1.325075943113615,20.483101270189216,0.44169198103787166,0.8833839620757433,4.350912227341552,0.530030377245446
95401,4.197821738164037,7.520286896684326,3759.589130917982,0.09480595740137725,0.9051940425986228,10.63400900900901,1649.704875686148,567.8079573238498,567.8079573238498,52308.04491170321,0.1510292581320469,11228.87032967033,5.3421185608685615,0.03723049566570349,0.0537999382861704,0.44439355065668457,11.269391506508244,-0.05922423156911545,-0.03948282104607697,-0.05922423156911545,21.168034051512894,-0.03948282104607697,-0.05922423156911545,6.621233609753195,-0.05922423156911545
95403,4.068641018544146,7.705266158879191,4054.988928867977,0.1170210336401215,0.8829789663598785,8.60655737704918,6938.684937712344,2826.302610941969,2826.302610941969,55603.46312629798,0.6969939155249388,43207.748942172075,3.2555511712164145,0.08792324015130547,0.02177865098889689,-0.7547411917687659,11.30976309643879,2.62405102045038,1.7493673469669202,2.62405102045038,22.752777022627125,1.7493673469669202,2.62405102045038,1.4347327540827284,2.62405102045038
