ZIP Code,% Market Units,Total Res Units,Nonrenewed Policies (by Company),Housing Units,New Policies,Renewed Policies,Expiring Policies,Voluntary Market Units,Nonrenewed Policies (by Owner),Avg Median Income,Claims (Fire and Smoke),% Change - Expiring Policies,Median Owner Cost ($),% Nonrenewed Policies (by Company),% Change - Losses (Fire and Smoke),% Change - New Policies,% Change - Earned Premiums,% Change Median Income,Median Owner Cost ($) - 2019,% Change - Claims (Fire and Smoke),% Change - Renewed Policies,Median Gross Rent ($),% Change - Nonrenewed Policies (by Company),% Change - Zillow Home Value,Losses (Fire and Smoke) ($),% Change - Owner Cost ($),Zillow Mean Home Value ($),Earned Premium ($),% Nonrenewed Policies (by Owner),% Change - Nonrenewed Policies (by Owner),Zillow Home Value 2021 ($),Median Home Value - Census ($),Zillow Home Value 2018 ($),Zillow Home Value 2019 ($),Zillow Home Value 2020 ($),Avg % White-only Pop,Fire Disasters 3y,Fire Disasters 5y,All Disasters 3y,% Change White-only Pop,All Disasters 10y,Fire Disasters 10y,All Disasters 5y,All Disasters 1y,Fire Disasters 1y
95334,0.998497596153846,3328.0,255.0,4330.0,1814.0,11350.0,12757.0,3323.0,1152.0,62258.857142857145,16.0,0.1043593130779392,394.0,0.0199890256329858,1.2171932671919583,-0.0240174672489082,0.4308209223287558,0.4176772867420349,396.0,0.6666666666666667,0.1120657452372058,1152.0,-0.4235294117647059,0.4004583443283984,402751.0,-0.005050505050505,321867.28585,8769298.0,0.0903033628596065,0.1954887218045113,387715.7703,246500.0,276849.1986,297196.8574,325707.3171,49.25714285714286,2.0,2.0,3.0,-21.5,6.0,3.0,5.0,1.0,0.0
95336,0.9996973823573916,13218.0,853.0,16326.0,6603.0,47730.0,53975.0,13214.0,5392.0,71688.85714285714,135.0,0.0209035738368172,583.0,0.0158036127836961,-0.5117466554277534,0.1433823529411764,0.2571430426888768,0.3964060050742554,551.0,-0.4814814814814815,0.0137171888230314,1593.0,0.1727272727272726,0.3594964518474102,4941310.0,0.058076225045372,446132.4569,42318625.0,0.0998981009726725,0.0599848139711465,537620.0401,398100.0,395455.2727,407773.1553,443681.3595,49.41428571428572,2.0,2.0,3.0,-18.8,4.0,3.0,3.0,1.0,0.0
95337,0.9992346287949656,11759.0,724.0,13093.0,7584.0,37956.0,43623.0,11750.0,4943.0,89964.14285714286,101.0,0.1754002187531071,678.0,0.0165967494211769,-0.1055248618784528,0.1711171662125341,0.4416713225769826,0.4107911457265833,578.0,-0.2,0.1562072113190324,1690.0,0.75,0.4143051967216211,5938404.0,0.1730103806228373,528515.842975,36790714.0,0.1133117850675102,0.2462751971954426,654481.4432,466500.0,462758.2821,475976.195,520847.4516,49.41428571428572,2.0,2.0,3.0,-18.8,4.0,3.0,3.0,1.0,0.0
95338,0.685360524399126,4119.0,746.0,5394.0,1913.0,13783.0,15852.0,2823.0,1323.0,55229.857142857145,62.0,0.0663670015864621,454.0,0.0470603078475902,3.2582080903475568,-0.2777777777777778,0.7611085670140256,0.2272546230440967,450.0,-0.5555555555555556,0.0136946386946386,1059.0,0.801980198019802,0.3228857463239323,2285774.0,0.0088888888888888,347562.57300000003,22633921.0,0.0834595003785011,0.4939759036144577,407871.1676,320800.0,308319.27,319274.0663,354785.7881,85.8714285714286,3.0,6.0,5.0,-9.299999999999995,12.0,9.0,9.0,2.0,0.0
95340,0.9994264958898872,10462.0,756.0,13199.0,5381.0,37494.0,42504.0,10456.0,4254.0,58394.142857142855,134.0,0.0396825396825397,540.0,0.0177865612648221,-0.5188037677035495,0.223421926910299,0.3341030582618158,0.2704241833252072,515.0,-0.0294117647058822,0.0160629581716256,1065.0,0.0597014925373133,0.4066401722826507,5736906.0,0.0485436893203883,306179.428275,32454794.0,0.1000846979107848,0.2589194699286443,373045.2932,300400.0,265203.0708,280071.2947,306398.0544,49.25714285714286,2.0,2.0,3.0,-21.5,6.0,3.0,5.0,1.0,0.0
95341,0.9988091187478736,5878.0,420.0,9092.0,3555.0,18914.0,21421.0,5871.0,2087.0,45070.42857142857,85.0,0.1687061183550651,452.0,0.0196069277811493,3.822827367389229,0.514324693042292,0.5457917922559703,0.6178347661372577,460.0,0.263157894736842,0.141184417923891,970.0,0.2475247524752475,0.4869380604615505,4027164.0,-0.017391304347826,262126.1664,12086184.0,0.0974277578077587,0.4266365688487585,326183.3667,232400.0,219365.8064,239505.5722,263449.9203,49.25714285714286,2.0,2.0,3.0,-21.5,6.0,3.0,5.0,1.0,0.0
95348,0.9993712273641852,7952.0,488.0,11786.0,4965.0,25855.0,29632.0,7947.0,3289.0,52488.142857142855,96.0,0.1615305973419016,529.0,0.0164686825053995,3.4125447439319005,0.1923076923076923,0.4574549987336134,0.4915945698811282,440.0,0.7391304347826089,0.1232313260941098,1283.0,0.153225806451613,0.3934362311143684,4591468.0,0.2022727272727272,316820.51545,21436044.0,0.1109948704103671,0.5240310077519379,386806.098,273400.0,277591.5319,290069.5653,312814.8666,49.25714285714286,2.0,2.0,3.0,-21.5,6.0,3.0,5.0,1.0,0.0
95350,0.9996401583303348,13895.0,1064.0,20221.0,6840.0,51713.0,58380.0,13890.0,5603.0,58484.71428571428,182.0,0.0290467937608318,560.0,0.0182254196642685,0.6886163639554468,0.0111046171829338,0.2838219782934041,0.5740617983534695,490.0,0.069767441860465,0.0209686253031844,1267.0,0.1715328467153285,0.3826490174540102,10847874.0,0.1428571428571428,326441.041875,43979153.0,0.0959746488523466,0.075912408759124,389777.9619,309800.0,281906.6567,299351.4888,334728.0601,67.11428571428573,2.0,2.0,3.0,-24.7,6.0,3.0,5.0,1.0,0.0
95351,0.9992553983618764,9401.0,1206.0,14094.0,5037.0,33949.0,38829.0,9394.0,3674.0,46520.28571428572,146.0,0.0187118784244804,464.0,0.0310592598315691,1.6412133061541754,-0.0697329376854599,0.2898252952868967,0.4599014221902757,380.0,1.076923076923077,0.0201406268621142,1225.0,-0.1288515406162464,0.41145377178631,7590365.0,0.2210526315789473,278030.901475,24825096.0,0.0946200005150789,0.0627027027027027,335049.5326,241800.0,237379.0338,255728.8343,283966.2052,67.11428571428573,2.0,2.0,3.0,-24.7,6.0,3.0,5.0,1.0,0.0
95354,0.9988214496169712,6788.0,759.0,9412.0,3893.0,24365.0,28078.0,6780.0,2954.0,54409.71428571428,88.0,0.0345771502665321,497.0,0.0270318398746349,2.282103762191839,0.048728813559322,0.2932818920494533,0.4453398507166919,464.0,0.1428571428571428,0.0220344599072233,1174.0,0.1057692307692308,0.3948223224503351,4376967.0,0.0711206896551724,298213.171125,20037052.0,0.1052069235700548,0.1219512195121952,358727.2172,280500.0,257184.884,273077.9428,303862.6405,67.11428571428573,2.0,2.0,3.0,-24.7,6.0,3.0,5.0,1.0,0.0
