ZIP Code,% Market Units,Earned Premium ($),Housing Units,Nonrenewed Policies (by Company),% Change - Nonrenewed Policies,% Nonrenewed Policies (by Company),Median Home Value - Census ($),% Change - Earned Premiums,% Change - Claims (Fire and Smoke),% Change - Nonrenewed Policies (by Company),Median Owner Cost ($),% Change - Renewed Policies,Zillow Home Value 2021 ($),Avg Median Income,% Change - New Policies,Losses (Fire and Smoke) ($),Median Gross Rent ($),Zillow Home Value 2018 ($),% Change - Losses (Fire and Smoke),% Change - Zillow Home Value,Zillow Home Value 2019 ($),% Change Median Income,% Change - Nonrenewed Policies (by Owner),Avg % White-only Pop,Zillow Home Value 2020 ($),Total Res Units,Voluntary Market Units,% Change - Expiring Policies,% Nonrenewed Policies (by Owner),Zillow Mean Home Value ($),% Change White-only Pop,All Disasters 10y,Fire Disasters 5y,All Disasters 5y,All Disasters 3y,Fire Disasters 3y,All Disasters 1y,Fire Disasters 10y,Fire Disasters 1y
90016,0.905078369905956,27547927.0,18787.0,634.0,0.160427807486631,0.0230738435782654,677500.0,0.3079839863025815,-0.45,0.2331288343558282,599.0,0.0300200133422281,946183.5035,53801.71428571428,0.1539440203562341,3213968.0,1436.0,737348.7594,-0.5073259336143532,0.2832238359903587,752640.3767,0.6358676886955321,0.1401709401709401,45.85714285714285,836701.8252,7975.0,7218.0,0.0444839857651244,0.088437602358336,818218.6162,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90018,0.8395846852693056,23537515.0,17654.0,693.0,0.1084695393759287,0.0287838511380628,704300.0,0.3026232499940888,-0.5,-0.0319148936170212,629.0,0.0254124786648966,899101.312,50381.42857142857,0.1918767507002801,8322286.0,1356.0,705775.8937,-0.4224213036705886,0.2739189876357206,726408.3681,0.7051230550869018,0.1628865979381444,45.85714285714285,794854.9511,7705.0,6469.0,0.0348133198789102,0.0872653264661904,781535.1312249999,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90019,0.8936100847641817,41664526.0,26015.0,795.0,0.3217286914765906,0.0256203673864002,1033900.0,0.3206610237431289,-0.75,0.4972375690607735,802.0,0.0061746545133785,1306062.452,59568.71428571428,0.2587968217934167,5525684.0,1574.0,1105470.571,0.1981896782653351,0.1814538408006158,1096419.942,0.4089913362672929,0.2730061349693251,45.85714285714285,1203076.179,9202.0,8223.0,0.0406024885396201,0.09407025459233,1177757.286,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90020,0.9564676616915424,18714748.0,18786.0,68.0,0.3764705882352941,0.0218579234972677,650300.0,0.1315795995348991,-0.7551020408163266,0.125,813.0,-0.021897810218978,759736.8592,50050.28571428572,0.1235955056179776,309661.0,1524.0,692189.4094,-0.6854433313130592,0.0975852113347863,679339.6403,0.3165750937345249,0.4347826086956521,45.85714285714285,711402.4513,804.0,769.0,0.0220779220779221,0.0954676952748312,710667.0900499999,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90022,0.879677921127276,18683059.0,18077.0,985.0,0.1421121251629726,0.0270070190831322,471000.0,0.2825237332537513,-0.4,0.2298387096774192,465.0,0.0095757575757575,614412.3009,53187.28571428572,0.1462829736211031,4163273.0,1208.0,493558.4718,0.298716095845668,0.2448622321469795,507024.3765,0.6433036146913461,0.1001926782273603,45.85714285714285,559806.5561,10929.0,9614.0,0.0208495064877454,0.0610605395920157,543700.426325,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90023,0.7916203777178226,10755349.0,12343.0,627.0,0.5469168900804289,0.0335994855581158,479600.0,0.2842890940993097,-0.1538461538461538,0.626984126984127,540.0,0.0198451113262343,591793.6409,46904.28571428572,0.2828947368421053,1855132.0,1260.0,468445.0952,0.0200777984488631,0.2633148408723056,481829.6578,0.4076569297700435,0.5060728744939271,45.85714285714285,541044.2449,6301.0,4988.0,0.0634850166481686,0.0678420234714109,520778.1597,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90025,0.9816354816354816,31355528.0,23418.0,202.0,0.2661596958174905,0.0168741124383927,905900.0,0.2868463434229968,-0.3571428571428572,-0.108695652173913,1125.0,0.0263752825923135,1137796.714,93718.57142857143,0.0764119601328903,2034242.0,2271.0,1063536.454,3.78224314267705,0.0698238971693958,1034171.917,0.329221348443078,0.3456221198156681,45.85714285714285,1085244.337,2886.0,2833.0,0.0479945149125813,0.0826998579901428,1080187.3554999998,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90026,0.8911896854854464,38903243.0,27813.0,688.0,0.3329341317365268,0.0199466542966485,962100.0,0.5869979282544902,0.3611111111111109,0.346938775510204,642.0,0.0137813361333507,1263526.727,69240.85714285714,0.2992036405005689,4103485.0,1497.0,1092290.57,0.1077650847113773,0.1567679532379373,1068219.6,0.5795333259725443,0.3299418604651163,45.85714285714285,1162160.572,10238.0,9124.0,0.0453039981074048,0.0911805636089528,1146549.36725,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90027,0.9486862987127492,48118983.0,23410.0,462.0,0.2306306306306307,0.0211625669918922,1287200.0,0.3358861811960671,-0.2105263157894737,0.1401869158878503,1049.0,-0.0143737166324435,1768267.014,73821.0,0.3057553956834533,2546612.0,1684.0,1484003.423,-0.0708995169725498,0.1915518432062268,1451329.051,0.551693404634581,0.2522321428571428,45.85714285714285,1599732.542,5671.0,5380.0,0.0106912442396314,0.0896431679721496,1575833.0074999998,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90028,0.9268897149938042,9146045.0,21466.0,94.0,-0.0932203389830508,0.0344701136780344,723000.0,0.4270360797552484,3.5,-0.1785714285714286,773.0,0.0297202797202797,1017358.769,49897.57142857143,0.0560747663551401,1245193.0,1612.0,943154.4096,21.294559663360385,0.0786767878564769,911489.3271,0.4823050813616851,-0.0666666666666666,45.85714285714285,945254.6008,807.0,748.0,0.0086956521739129,0.1129446277961129,954314.276625,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90029,0.8684587813620072,9462226.0,14787.0,184.0,0.295774647887324,0.0215078901227352,898400.0,0.3475339479150572,-0.3749999999999999,0.1904761904761904,674.0,0.014917421417155,1221969.359,47441.0,0.4746543778801844,3220325.0,1367.0,1035509.457,-0.6803659097102741,0.1800658610498811,1023798.758,0.6263944995853287,0.3216374269005848,45.85714285714285,1108180.031,2790.0,2423.0,0.0435406698564593,0.0953828170660432,1097364.40125,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90031,0.8534092812866477,15247290.0,12438.0,407.0,0.3746835443037974,0.0213513797083202,616900.0,0.5881908630999104,-0.1666666666666666,0.5777777777777777,470.0,0.0147127510509108,780088.3931,51478.71428571428,0.3492063492063493,1620039.0,1277.0,631286.9938,0.2004674811284565,0.2357111753630427,638478.7497,0.5104556728103876,0.3147540983606558,45.85714285714285,701370.8992,5969.0,5094.0,0.0451143895659611,0.0710313713146574,687806.25895,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90032,0.9188626057114844,22306223.0,14155.0,795.0,0.1413189771197847,0.0260647191895347,605400.0,0.3095530199065641,-0.2857142857142857,0.0923076923076922,571.0,0.0143131178987752,765573.0861,62748.42857142857,0.1441326530612245,2920689.0,1351.0,613867.8921,-0.6683589968966457,0.2471300355537846,622956.3644,0.7218281612835128,0.1587591240875911,45.85714285714285,684623.2937,8159.0,7497.0,0.0268617021276595,0.074358217763352,671755.1590750001,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90033,0.8046630094043887,9936703.0,13935.0,514.0,0.1587677725118483,0.0350279405751669,538900.0,0.3020353393433881,2.3999999999999995,0.3170731707317074,487.0,0.0246720799500312,653201.2308,43642.0,0.1662870159453302,2938204.0,1196.0,514509.1788,0.2977911206126065,0.2695618615074551,530786.5216,0.7675409525613105,0.0936454849498327,45.85714285714285,586466.0195,5104.0,4107.0,0.0402869757174393,0.0767343600926809,571240.737675,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90034,0.9789615904265586,31369570.0,28630.0,328.0,0.0941619585687383,0.0155871311124839,1152500.0,0.323178956767969,-0.2857142857142857,0.1411764705882352,713.0,-0.0084656084656085,1414820.345,83205.28571428571,-0.0888099467140319,953322.0,1925.0,1184787.386,1.2494264556410628,0.1941554760948476,1163087.267,0.5720429451595193,0.0852017937219731,45.85714285714285,1271454.561,5181.0,5072.0,0.0019025875190259,0.0862519602718243,1258537.38975,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90035,0.97932156133829,32753730.0,13695.0,342.0,0.323008849557522,0.0196393706213391,1494600.0,0.3199171183175719,-0.2,0.1538461538461537,853.0,-0.0129701686121919,1660326.583,95032.71428571428,0.2584745762711864,1355874.0,2183.0,1437077.31,0.1546612372680054,0.1553495218708867,1403722.499,0.4114271554703496,0.3656509695290859,45.85714285714285,1523350.528,4304.0,4215.0,0.0222892964940795,0.0958998506948432,1506119.23,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90036,0.9759853824066824,38774782.0,21391.0,357.0,0.3005050505050506,0.0244654605263157,1634700.0,0.2890544644089299,2.0,0.2391304347826086,1025.0,-0.0059226932668329,1866499.396,86922.71428571429,0.2279411764705883,3885147.0,2393.0,1631668.587,12.242760100107258,0.1439206532937929,1604031.55,0.3850078757118432,0.319078947368421,45.85714285714285,1726030.001,3831.0,3739.0,0.0277469478357381,0.0956003289473684,1707057.3835,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
90037,0.762402088772846,18246165.0,18605.0,900.0,0.2949308755760369,0.0405551550108147,502000.0,0.4804090348667522,0.6203703703703705,0.4726368159203979,650.0,0.0406693497140435,656694.7112,41721.857142857145,0.219895287958115,6360308.0,1265.0,518160.7648,0.4220122511678399,0.267357074890592,536345.4943,0.8172652601062973,0.2155555555555555,45.85714285714285,582839.0908,8426.0,6424.0,0.071481757259866,0.0900324441240086,573510.0152749999,-16.4,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
