ZIP Code,New and Renewed to Total Units Ratio,Nonrenewal Rate,Renewal Resilience,New and Renewed to Nonrenewed Ratio,New and Renewed to Nonrenewed and Income Growth Product,Change in Nonrenewed to Income Growth Ratio,Log of Average Median Income,Premium Adequacy,Premium to Exposure Ratio,Housing Value to Median Income Ratio,Housing Value to Log Median Income Ratio,Losses to Owner Nonrenewed Ratio,Losses to Premium Ratio,Fire Smoke Claims to Total Units Ratio,Loss Burden per Exposure,Loss Burden per Unit,Growth in Losses to Fire Disasters 10yr Ratio,Losses to Company Nonrenewed Ratio,Growth in Losses to All Disasters 10yr Ratio,Growth in Losses to All Disasters 3yr Ratio,New and Renewed to Nonrenewed and Income Growth Ratio,Growth in Losses to Fire Disasters 3yr Ratio,Growth in Losses to Fire Disasters 5yr Ratio,Change in Renewed to Income Growth Ratio,Growth in Losses to All Disasters 5yr Ratio
93930,4.034827586206896,0.10030421555845284,0.8996957844415472,10.13951473136915,7.124119082271641,1.012893352746931,10.990174251286902,5.328689439214287,2924.5758620689653,6.400294488953571,34527.681056154885,1863.728337236534,0.18766340418357155,0.003793103448275862,548.8358620689655,548.8358620689655,2.362362362362362,5305.413333333333,2.362362362362362,3.543543543543543,14.431224099481145,3.543543543543543,3.543543543543543,0.07822615266198561,3.543543543543543
93933,3.9753646038628303,0.1060083406270916,0.8939916593729084,9.796503156872268,5.0061249818764075,0.9246312417516716,11.233362722322095,23.193873537956986,3359.0662199448166,9.219245174576784,62054.463585940684,399.589450788472,0.043114833680691196,0.00650374458021285,144.82558139534885,144.82558139534885,-0.0912001922871488,3340.2045454545455,-0.03648007691485952,-0.05211439559265646,19.17081064696792,-0.1824003845742976,-0.1824003845742976,0.3087777274240314,-0.0456000961435744
93940,4.246406292378627,0.09173490276356193,0.9082650972364381,10.918061366806137,4.72527024120873,0.06955759688615926,11.41719305318138,7.0413817313025735,5959.940466503933,9.867485088272979,78536.41556189205,2648.05854900297,0.14201758094643332,0.00827230810957418,846.4163276376457,846.4163276376457,0.8155838694712871,12214.234833659491,0.3262335477885149,0.46604792541216405,25.22693050860349,1.6311677389425743,1.6311677389425743,-0.0025979689871233795,0.40779193473564357
93950,4.210843373493976,0.0864934944668241,0.9135065055331759,11.600107066381156,3.5184127210722496,2.710856983494835,11.42522553929704,16.966171308475992,4423.831908278275,11.623411884439939,93192.56211947923,830.8297213622291,0.05894081710116991,0.005052467936261173,260.74426739214925,260.74426739214925,-0.0010152242297978,5303.517786561265,-0.0010152242297978,-0.0015228363446967,38.245224372227035,-0.0015228363446967,-0.0015228363446967,0.018129986782600988,-0.0015228363446967
93953,3.9932135728542915,0.1282787290903692,0.8717212709096308,7.718364197530864,1.4097800190196286,10.294322335738498,11.867558325274736,27.366706512061803,12319.846706586826,13.54112441881438,162670.36757582639,1203.513340448239,0.03654075069498234,0.006387225548902195,450.17644710578844,450.17644710578844,-0.29843185133506694,3141.2033426183843,-0.29843185133506694,-0.4476477770026004,42.257050803680606,-0.4476477770026004,-0.4476477770026004,-0.3183064722534986,-0.4476477770026004
93955,4.207223402516751,0.09524916686042005,0.9047508331395799,10.473555736371033,4.479507841258521,-0.029433254059660147,11.152199469448275,6.793226205559532,3431.321948030724,8.866341994061704,55427.16183416511,1450.3819802909431,0.1472054616967718,0.007354142833796372,505.1093315901291,505.1093315901291,0.04600525858528675,9451.877675840979,0.0184021034341147,0.026288719191592428,24.48826381160024,0.0920105171705735,0.0920105171705735,0.02174231486923873,0.023002629292643375
93960,4.045224719101124,0.0927413671599718,0.9072586328400282,10.943009118541033,7.537540685229295,0.3431529640811624,11.133245055835792,26.793050718784023,2785.7171348314605,6.769623930680622,41595.81788844713,341.14193548387095,0.03732311077584464,0.004213483146067416,103.97162921348314,103.97162921348314,6.089316025961059,1602.3333333333333,2.4357264103844236,3.479609157692034,15.887071601899999,12.178632051922119,12.178632051922119,0.10886161358648579,3.0446580129805296
94002,4.227648499693815,0.08504855776199449,0.9149514422380055,11.766084363016617,7.406355829386154,0.42562757756724967,12.000929503253882,9.667603506168994,5492.50566442131,11.557614180338723,156888.37654112573,1792.7821256038646,0.10343825120278155,0.0052051439069197795,568.135180649112,568.135180649112,8.560936218640693,13397.324909747293,2.8536454062135643,5.1365617311844165,18.692153661903962,12.84140432796104,12.84140432796104,-0.0070461133705010896,4.2804681093203465
94005,4.2424503882657465,0.09669472387600082,0.9033052761239991,10.439490445859873,3.995653263634031,1.8904987848763162,11.716427084647448,13.763044535845385,5370.081104400345,9.273528370383495,97012.88976904875,1202.712765957447,0.07265834222911462,0.012079378774805867,390.18119068162207,390.18119068162207,-0.3333333333333333,4760.210526315789,-0.1111111111111111,-0.2,27.27537991374156,-0.5,-0.5,-0.03076562812466628,-0.16666666666666666
94010,3.2143575017946877,0.09093951495950559,0.9090604850404944,10.985279685966633,4.5858952733526435,2.4743992016268956,12.000833036396312,19.727039542259657,7491.440272792534,17.701665150236835,240269.30580611224,1545.8755113968439,0.05069184343944665,0.003445800430725054,379.7549174443647,379.7549174443647,0.6332822965822746,8088.6636085626915,0.21109409886075822,0.3799693779493648,26.314680686261603,0.949923444873412,0.949923444873412,-0.043957488629074344,0.3166411482911373
94014,4.1298847978314885,0.09203481507921255,0.9079651849207875,10.908711217183772,3.8082769264072325,2.194785357494869,11.502714943127463,4.283123071860236,4160.061892929749,10.376585596971521,89293.47864207247,3030.165609584214,0.2334744958812688,0.010503727128981252,971.2683532866502,971.2683532866502,-0.08595584291899733,16730.758754863815,-0.08595584291899733,-0.128933764378496,31.247722452835603,-0.128933764378496,-0.128933764378496,0.008319905864112987,-0.128933764378496
94015,4.18595274574631,0.08272229083050324,0.9172777091694968,12.108700723116398,5.099191981535973,1.177730425518036,11.542822628823716,10.198927065814173,4251.898234013386,10.883212529670956,97146.97039958522,1354.4498297091957,0.09804952947961597,0.005886622046609145,416.89662124022254,416.89662124022254,0.18320212651943524,10999.86170212766,0.18320212651943524,0.27480318977915286,28.753699357252806,0.27480318977915286,0.27480318977915286,-0.005404623134770598,0.27480318977915286
94019,4.211041852181657,0.09239535626797316,0.9076046437320269,10.902593659942363,3.0424488616435723,3.555489948647844,11.829337632996829,12.047747993330432,5480.252894033838,9.306152629726913,107950.78432269668,1392.8500340831629,0.08300306418706588,0.006901157613535174,454.87778272484417,454.87778272484417,3.5810335488400535,7624.294776119403,3.5810335488400535,5.37155032326008,39.06936613212361,5.37155032326008,5.37155032326008,-0.02472550365596658,5.37155032326008
94025,4.203853264571373,0.09301248349815874,0.9069875165018413,10.757719123505977,5.849802598193184,1.6892505196580967,12.076263297089074,6.225935290666159,6723.5303104018685,14.07662040407688,204748.31578042914,3159.2280102476516,0.16061843776294735,0.007200544906101002,1079.9229347085725,1079.9229347085725,-0.20052628425737296,22064.349900596422,-0.20052628425737296,-0.30078942638605943,19.783320684357967,-0.30078942638605943,-0.30078942638605943,-0.012953266602390993,-0.30078942638605943
94030,4.275226039783002,0.09008208513159008,0.9099179148684099,11.104744011272897,4.829081670788758,1.2831114900858773,11.797861628003934,27.661069636801642,5205.43815551537,12.921723899142005,145634.19589713356,540.6083116883117,0.03615189192357012,0.005063291139240506,188.1864376130199,188.1864376130199,-0.14020251168771583,5101.328431372549,-0.046734170562571946,-0.0841215070126295,25.535981365119376,-0.21030376753157376,-0.21030376753157376,-0.023940349368906905,-0.07010125584385792
94038,3.9392712550607287,0.10486128785950624,0.8951387121404938,9.446601941747574,-0.5539990502631282,-37.69634235683021,11.734464300845634,2.285607490572035,4716.068825910931,9.711445382996965,103284.15432331746,6272.664615384615,0.43752044221281533,0.010121457489878543,2063.3765182186235,2063.3765182186235,-0.3333333333333333,23432.367816091955,-0.3333333333333333,-0.5,-161.08021882608693,-0.5,-0.5,0.3548321747334848,-0.5
94040,4.222028311033546,0.08297304755772238,0.9170269524422776,12.069290465631928,6.482311453639383,1.4552850484918103,11.909904189179402,86.45360277100387,5396.518712429707,15.5502658950349,194193.73781371748,201.06495940037476,0.011566897942342263,0.0034904013961605585,62.4209811906147,62.4209811906147,-0.10078984348500265,1585.7389162561576,-0.10078984348500265,-0.151184765227504,22.471578754829974,-0.151184765227504,-0.151184765227504,-0.014883138939163425,-0.151184765227504
94043,4.266050333846944,0.10304506699147381,0.8969549330085261,9.817966903073286,5.178458044791119,2.3862806691040026,11.912269017387688,65.55425678209777,5386.425269645609,10.38640632402318,129988.07643109871,214.88247145735392,0.015254539507998668,0.005649717514124294,82.16743708269132,82.16743708269132,-0.005618066061522966,1576.1576354679803,-0.005618066061522966,-0.00842709909228445,18.614126691013983,-0.00842709909228445,-0.00842709909228445,0.05433507284867907,-0.00842709909228445
