ZIP Code,% Change - Claims (Fire and Smoke),% Change - Earned Premiums,% Change - Expiring Policies,% Change - Losses (Fire and Smoke),% Change - New Policies,% Change - Nonrenewed Policies,% Change - Nonrenewed Policies (by Company),% Change - Nonrenewed Policies (by Owner),% Change - Renewed Policies,% Change - Zillow Home Value,% Change Median Income,% Change White-only Pop,% Market Units,% Nonrenewed Policies,% Nonrenewed Policies (by Company),% Nonrenewed Policies (by Owner),All Disasters 10y,All Disasters 1y,All Disasters 3y,All Disasters 5y,Avg % White-only Pop,Avg Median Income,Claims (Fire and Smoke),Earned Premium ($),Expiring Policies,Fire Disasters 10y,Fire Disasters 1y,Fire Disasters 3y,Fire Disasters 5y,Housing Units,Losses (Fire and Smoke) ($),Median Gross Rent ($),Median Home Value - Census ($),Median Owner Cost ($),New Policies,Nonrenewed Policies,Nonrenewed Policies (by Company),Nonrenewed Policies (by Owner),Renewed Policies,Total Res Units,Voluntary Market Units,Zillow Home Value 2018 ($),Zillow Home Value 2019 ($),Zillow Home Value 2020 ($),Zillow Home Value 2021 ($),Zillow Mean Home Value ($),Losses to Premium Ratio,Renewed to Nonrenewed Ratio,New and Renewed to Nonrenewed Ratio,New and Renewed to Total Units Ratio,Log of Average Median Income,Housing Value to Median Income Ratio,Housing Value to Log Median Income Ratio,Fire Smoke Claims to Total Units Ratio,New and Renewed to Nonrenewed and Income Growth Product,New and Renewed to Nonrenewed and Income Growth Ratio,Losses to Company Nonrenewed Ratio,Losses to Owner Nonrenewed Ratio,Change in Renewed to Income Growth Ratio,Change in Nonrenewed to Income Growth Ratio,Growth in Losses to All Disasters 3yr Ratio,Growth in Losses to All Disasters 5yr Ratio,Growth in Losses to All Disasters 10yr Ratio,Growth in Losses to Fire Disasters 3yr Ratio,Growth in Losses to Fire Disasters 5yr Ratio,Growth in Losses to Fire Disasters 10yr Ratio,Premium to Exposure Ratio,Nonrenewal Rate,Loss Burden per Unit,Loss Burden per Exposure,Premium Adequacy,Renewal Resilience
90013,1.0,0.4752481411115141,0.4025974025974026,-0.82802,0.0625,2.333333333333333,0.5,3.25,0.2394366197183097,-0.0377418664346149,0.4401964223079621,-16.4,1.0,0.1185983827493261,0.013477088948787,0.105121293800539,3.0,0.0,2.0,2.0,45.85714285714285,23995.28571428572,5.0,4049561.0,371.0,3.0,0.0,2.0,2.0,9506.0,88035.0,855.0,664800.0,1009.0,45.0,44.0,5.0,39.0,327.0,98.0,98.0,700044.4492,692505.2126,690033.3958,673623.4651,689051.630675,0.021739393479935233,7.431818181818182,8.454545454545455,3.795918367346939,10.085612661464037,28.71612527892383,68320.25517971625,0.05102040816326531,3.721660661330952,19.206302064469398,17607.0,2257.3076923076924,0.5439313169855785,8.518924302788845,-0.41401,-0.41401,-0.2760066666666667,-0.41401,-0.41401,-0.2760066666666667,41322.051020408166,0.11859838274932614,898.3163265306123,898.3163265306123,45.99944340319191,0.8814016172506739
90015,0.0,0.4818154707592057,0.0,0.9291139240506328,0.2166666666666665,0.1034482758620689,0.25,0.0652173913043479,-0.0173410404624277,-0.0579693935920307,0.9167045695745778,-16.4,0.800369685767098,0.1418792781580584,0.0304915992532669,0.1113876789047915,3.0,0.0,2.0,2.0,45.85714285714285,48980.0,18.0,10259786.0,1607.0,3.0,0.0,2.0,2.0,13494.0,226724.0,2094.0,715000.0,1448.0,217.0,228.0,49.0,179.0,1379.0,541.0,433.0,756488.4982,740862.6248,734350.8829,712635.3187,736084.33115,0.022098316670542642,6.048245614035087,7.0,2.9500924214417745,10.799167330506158,15.028263192119232,68161.21175108226,0.033271719038817,6.4169319870220445,7.636047896268854,4627.0204081632655,1266.6145251396647,-0.018916716506033444,0.34385929967670315,0.4645569620253164,0.4645569620253164,0.3097046413502109,0.4645569620253164,0.4645569620253164,0.3097046413502109,18964.4842883549,0.14187927815805848,419.08317929759704,419.08317929759704,45.252315590762336,0.8581207218419415
90016,-0.45,0.3079839863025815,0.0444839857651244,-0.5073259336143532,0.1539440203562341,0.160427807486631,0.2331288343558282,0.1401709401709401,0.0300200133422281,0.2832238359903587,0.6358676886955321,-16.4,0.905078369905956,0.1115114459366015,0.0230738435782654,0.088437602358336,3.0,0.0,2.0,2.0,45.85714285714285,53801.71428571428,80.0,27547927.0,27477.0,3.0,0.0,2.0,2.0,18787.0,3213968.0,1436.0,677500.0,599.0,3333.0,3064.0,634.0,2430.0,24413.0,7975.0,7218.0,737348.7594,752640.3767,836701.8252,946183.5035,818218.6162,0.11666823423773412,7.967689295039165,9.055483028720626,3.4791222570532914,10.89306060968896,15.208039874990709,75113.74860727625,0.010031347962382446,5.758089063494202,14.241143542452583,5069.350157728707,1322.6205761316871,0.047211100478801594,0.5870714633929335,-0.2536629668071766,-0.2536629668071766,-0.16910864453811772,-0.2536629668071766,-0.2536629668071766,-0.16910864453811772,3454.2855172413792,0.11151144593660152,403.00539184952976,403.00539184952976,8.571313404489404,0.8884885540633984
90017,-0.8,0.4091942405156632,0.0,-0.2946176649166042,-0.0999999999999999,-0.5,-0.8888888888888888,-0.3478260869565217,0.1355932203389831,-0.1558595919497233,0.7919198268035478,-16.4,0.9014084507042254,0.1529209621993127,0.0378006872852233,0.1151202749140893,3.0,0.0,2.0,2.0,45.85714285714285,39298.0,18.0,5263437.0,582.0,3.0,0.0,2.0,2.0,14712.0,297261.0,1280.0,697100.0,1501.0,107.0,89.0,22.0,67.0,493.0,213.0,192.0,843828.6791,804691.6742,774672.9874,712309.8855,783875.80655,0.0564765950461647,5.53932584269663,6.741573033707865,2.816901408450704,10.578928905977142,19.946964388772965,74097.8423729747,0.08450704225352113,5.3387853492374004,8.512948919234791,13511.863636363636,4436.731343283582,0.17122089351681283,-1.561666893525326,-0.1473088324583021,-0.1473088324583021,-0.09820588830553473,-0.1473088324583021,-0.1473088324583021,-0.09820588830553473,24710.971830985916,0.15292096219931273,1395.5915492957747,1395.5915492957747,17.706449887472626,0.8470790378006873
90018,-0.5,0.3026232499940888,0.0348133198789102,-0.4224213036705886,0.1918767507002801,0.1084695393759287,-0.0319148936170212,0.1628865979381444,0.0254124786648966,0.2739189876357206,0.7051230550869018,-16.4,0.8395846852693056,0.1160491776042531,0.0287838511380628,0.0872653264661904,3.0,0.0,2.0,2.0,45.85714285714285,50381.42857142857,93.0,23537515.0,24076.0,3.0,0.0,2.0,2.0,17654.0,8322286.0,1356.0,704300.0,629.0,3082.0,2794.0,693.0,2101.0,21282.0,7705.0,6469.0,705775.8937,726408.3681,794854.9511,899101.312,781535.1312249999,0.3535753880560458,7.617036506800287,8.720114531138153,3.16210253082414,10.827377905428133,15.512365436739726,72181.38482385378,0.012070084360804673,6.148753798903821,12.366798203844656,12009.070707070707,3961.1070918610185,0.03603977842103699,0.18574304637504982,-0.2112106518352943,-0.2112106518352943,-0.14080710122352955,-0.2112106518352943,-0.2112106518352943,-0.14080710122352955,3054.836469824789,0.11604917760425319,1080.1149902660609,1080.1149902660609,2.828251155992476,0.8839508223957468
90019,-0.75,0.3206610237431289,0.0406024885396201,0.1981896782653351,0.2587968217934167,0.3217286914765906,0.4972375690607735,0.2730061349693251,0.0061746545133785,0.1814538408006158,0.4089913362672929,-16.4,0.8936100847641817,0.1196906219787302,0.0256203673864002,0.09407025459233,3.0,0.0,2.0,2.0,45.85714285714285,59568.71428571428,89.0,41664526.0,31030.0,3.0,0.0,2.0,2.0,26015.0,5525684.0,1574.0,1033900.0,802.0,3923.0,3714.0,795.0,2919.0,27316.0,9202.0,8223.0,1105470.571,1096419.942,1203076.179,1306062.452,1177757.286,0.13262322965104656,7.354873451803985,8.411147011308563,3.3948054770702023,10.994885787138415,19.771406855468236,107118.64668732764,0.009671810475983481,3.440086255695736,20.565587251979164,6950.545911949685,1893.0058239122986,0.015097274601785466,1.8832763330876823,0.09909483913266755,0.09909483913266755,0.06606322608844503,0.09909483913266755,0.09909483913266755,0.06606322608844503,4527.768528580743,0.11969062197873026,600.4872853727451,600.4872853727451,7.540157200447944,0.8803093780212697
90020,-0.7551020408163266,0.1315795995348991,0.0220779220779221,-0.6854433313130592,0.1235955056179776,0.3764705882352941,0.125,0.4347826086956521,-0.021897810218978,0.0975852113347863,0.3165750937345249,-16.4,0.9564676616915424,0.117325618772099,0.0218579234972677,0.0954676952748312,3.0,0.0,2.0,2.0,45.85714285714285,50050.28571428572,17.0,18714748.0,3111.0,3.0,0.0,2.0,2.0,18786.0,309661.0,1524.0,650300.0,813.0,350.0,365.0,68.0,297.0,2746.0,804.0,769.0,692189.4094,679339.6403,711402.4513,759736.8592,710667.0900499999,0.016546362259326174,7.523287671232877,8.482191780821918,3.8507462686567164,10.82078349330421,14.199061601903226,65676.1213723344,0.021144278606965175,2.685250658087915,26.79361689752813,4553.838235294118,1042.6296296296296,-0.06917098234310616,1.76824589102097,-0.3427216656565296,-0.3427216656565296,-0.2284811104376864,-0.3427216656565296,-0.3427216656565296,-0.2284811104376864,23277.04975124378,0.117325618772099,385.1504975124378,385.1504975124378,60.436244796729326,0.882674381227901
90022,-0.4,0.2825237332537513,0.0208495064877454,0.298716095845668,0.1462829736211031,0.1421121251629726,0.2298387096774192,0.1001926782273603,0.0095757575757575,0.2448622321469795,0.6433036146913461,-16.4,0.879677921127276,0.088067558675148,0.0270070190831322,0.0610605395920157,3.0,0.0,2.0,2.0,45.85714285714285,53187.28571428572,119.0,18683059.0,36472.0,3.0,0.0,2.0,2.0,18077.0,4163273.0,1208.0,471000.0,465.0,3482.0,3212.0,985.0,2227.0,33260.0,10929.0,9614.0,493558.4718,507024.3765,559806.5561,614412.3009,543700.426325,0.2228367956232435,10.35491905354919,11.438978829389788,3.361881233415683,10.88157465643402,10.22237587467198,49965.23421392166,0.010888461890383384,7.358736429324233,17.781617525774596,4226.673096446701,1869.4535249214189,0.014885284890481925,0.513025856481666,0.149358047922834,0.149358047922834,0.099572031948556,0.149358047922834,0.149358047922834,0.099572031948556,1709.4939152712966,0.08806755867514805,380.93814621648824,380.93814621648824,4.487589211661113,0.911932441324852
90023,-0.1538461538461538,0.2842890940993097,0.0634850166481686,0.0200777984488631,0.2828947368421053,0.5469168900804289,0.626984126984127,0.5060728744939271,0.0198451113262343,0.2633148408723056,0.4076569297700435,-16.4,0.7916203777178226,0.1014415090295268,0.0335994855581158,0.0678420234714109,3.0,0.0,2.0,2.0,45.85714285714285,46904.28571428572,37.0,10755349.0,18661.0,3.0,0.0,2.0,2.0,12343.0,1855132.0,1260.0,479600.0,540.0,2049.0,1893.0,627.0,1266.0,16768.0,6301.0,4988.0,468445.0952,481829.6578,541044.2449,591793.6409,520778.1597,0.17248459347995124,8.857897517168515,9.940306391970417,2.9863513727979685,10.755864330095005,11.102997343830902,48418.06699279927,0.005872083796222821,4.052234784724198,24.383999549762777,2958.74322169059,1465.349131121643,0.048680912495290565,2.77943760729691,0.01003889922443155,0.01003889922443155,0.006692599482954367,0.01003889922443155,0.01003889922443155,0.006692599482954367,1706.9273131249008,0.10144150902952682,294.4186637041739,294.4186637041739,5.7976192529696,0.8985584909704731
90024,-0.7894736842105263,0.2097647204971964,0.0113996200126662,-0.9063548366418086,0.1795774647887325,0.2838283828382839,0.3999999999999999,0.2580645161290322,-0.0175131348511383,0.0794891804888242,0.3462923693156955,-16.4,0.9927845195145948,0.1050051395587886,0.0191349727208033,0.0858701668379852,3.0,0.0,2.0,2.0,45.85714285714285,67741.57142857143,58.0,62506346.0,12647.0,3.0,0.0,2.0,2.0,20205.0,1350155.0,2441.0,1231000.0,1499.0,1235.0,1328.0,242.0,1086.0,11319.0,3049.0,3027.0,1312050.588,1274455.016,1327285.289,1416344.414,1332533.82675,0.021600286793280157,8.523343373493976,9.453313253012048,4.117415546080682,11.123455324044405,19.67084315655506,119794.95470886654,0.019022630370613317,3.2736102442690074,27.29864730110177,5579.152892561983,1243.2366482504603,-0.05057326237290706,1.9003148045953946,-0.4531774183209043,-0.4531774183209043,-0.3021182788806029,-0.4531774183209043,-0.4531774183209043,-0.3021182788806029,20500.605444408004,0.10500513955878865,442.8189570350935,442.8189570350935,46.295681606926614,0.8949948604412113
