ZIP Code,Housing Units,Median Gross Rent ($),Median Owner Cost ($),Median Home Value - Census ($),New Policies,Renewed Policies,Nonrenewed Policies (by Owner),Nonrenewed Policies (by Company),Nonrenewed Policies,Expiring Policies,% Nonrenewed Policies,% Nonrenewed Policies (by Owner),% Nonrenewed Policies (by Company),% Change - New Policies,% Change - Renewed Policies,% Change - Nonrenewed Policies (by Owner),% Change - Nonrenewed Policies (by Company),% Change - Nonrenewed Policies,% Change - Expiring Policies,Earned Premium ($),Claims (Fire and Smoke),Losses (Fire and Smoke) ($),% Change - Earned Premiums,% Change - Claims (Fire and Smoke),% Change - Losses (Fire and Smoke),Voluntary Market Units,FAIR Plan Units,Total Res Units,% Market Units,% FAIR Plan Units,Total Exposure ($),Zillow Home Value 2018 ($),Zillow Home Value 2019 ($),Zillow Home Value 2020 ($),Zillow Home Value 2021 ($),Zillow Mean Home Value ($),% Change - Zillow Home Value,All Disasters 1y,All Disasters 3y,All Disasters 5y,All Disasters 10y,Fire Disasters 1y,Fire Disasters 3y,Fire Disasters 5y,Fire Disasters 10y,Avg % White-only Pop,% Change White-only Pop,Avg Median Income,% Change Median Income
90013,9506.0,855.0,1009.0,664800.0,45.0,327.0,39.0,5.0,44.0,371.0,0.11859838274932614,0.10512129380053908,0.013477088948787063,0.0625,0.23943661971830976,3.25,0.5,2.3333333333333335,0.4025974025974026,4049561.0,5.0,88035.0,0.47524814111151414,1.0,-0.82802,98.0,0.0,98.0,1.0,0.0,1714013.0,700044.4492,692505.2126,690033.3958,673623.4651,689051.630675,-0.03774186643461497,0.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,45.85714285714285,-16.4,23995.285714285717,0.4401964223079621
90015,13494.0,2094.0,1448.0,715000.0,217.0,1379.0,179.0,49.0,228.0,1607.0,0.14187927815805848,0.11138767890479154,0.030491599253266957,0.21666666666666656,-0.017341040462427793,0.0652173913043479,0.25,0.10344827586206895,0.0,10259786.0,18.0,226724.0,0.4818154707592057,0.0,0.9291139240506328,433.0,108.0,541.0,0.800369685767098,0.19963031423290203,39756325.0,756488.4982,740862.6248,734350.8829,712635.3187,736084.33115,-0.05796939359203079,0.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,45.85714285714285,-16.4,48980.0,0.9167045695745778
90016,18787.0,1436.0,599.0,677500.0,3333.0,24413.0,2430.0,634.0,3064.0,27477.0,0.11151144593660152,0.08843760235833606,0.02307384357826546,0.1539440203562341,0.030020013342228147,0.14017094017094012,0.2331288343558282,0.160427807486631,0.04448398576512447,27547927.0,80.0,3213968.0,0.3079839863025815,-0.45000000000000007,-0.5073259336143532,7218.0,757.0,7975.0,0.9050783699059561,0.09492163009404389,236411380.0,737348.7594,752640.3767,836701.8252,946183.5035,818218.6162,0.2832238359903587,0.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,45.85714285714285,-16.4,53801.71428571428,0.6358676886955321
90017,14712.0,1280.0,1501.0,697100.0,107.0,493.0,67.0,22.0,89.0,582.0,0.15292096219931273,0.11512027491408934,0.037800687285223365,-0.09999999999999998,0.13559322033898313,-0.34782608695652173,-0.8888888888888888,-0.5,0.0,5263437.0,18.0,297261.0,0.4091942405156632,-0.8,-0.29461766491660424,192.0,21.0,213.0,0.9014084507042254,0.09859154929577464,7131581.0,843828.6791,804691.6742,774672.9874,712309.8855,783875.80655,-0.15585959194972332,0.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,45.85714285714285,-16.4,39298.0,0.7919198268035478
90018,17654.0,1356.0,629.0,704300.0,3082.0,21282.0,2101.0,693.0,2794.0,24076.0,0.11604917760425319,0.0872653264661904,0.0287838511380628,0.1918767507002801,0.0254124786648966,0.16288659793814442,-0.03191489361702127,0.10846953937592874,0.03481331987891023,23537515.0,93.0,8322286.0,0.30262324999408885,-0.5,-0.4224213036705886,6469.0,1236.0,7705.0,0.8395846852693056,0.16041531473069434,398532989.0,705775.8937,726408.3681,794854.9511,899101.312,781535.1312249999,0.27391898763572065,0.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,45.85714285714285,-16.4,50381.42857142857,0.7051230550869018
90019,26015.0,1574.0,802.0,1033900.0,3923.0,27316.0,2919.0,795.0,3714.0,31030.0,0.11969062197873026,0.09407025459233,0.025620367386400257,0.2587968217934167,0.006174654513378508,0.27300613496932513,0.49723756906077354,0.32172869147659067,0.04060248853962012,41664526.0,89.0,5525684.0,0.3206610237431289,-0.75,0.19818967826533518,8223.0,979.0,9202.0,0.8936100847641817,0.1063899152358183,353309012.0,1105470.571,1096419.942,1203076.179,1306062.452,1177757.286,0.18145384080061588,0.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,45.85714285714285,-16.4,59568.71428571428,0.4089913362672929
90020,18786.0,1524.0,813.0,650300.0,350.0,2746.0,297.0,68.0,365.0,3111.0,0.117325618772099,0.09546769527483125,0.02185792349726776,0.12359550561797761,-0.021897810218978075,0.4347826086956521,0.125,0.3764705882352941,0.02207792207792214,18714748.0,17.0,309661.0,0.13157959953489917,-0.7551020408163266,-0.6854433313130592,769.0,35.0,804.0,0.9564676616915423,0.043532338308457715,25233833.0,692189.4094,679339.6403,711402.4513,759736.8592,710667.0900499999,0.09758521133478637,0.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,45.85714285714285,-16.4,50050.28571428572,0.3165750937345249
90022,18077.0,1208.0,465.0,471000.0,3482.0,33260.0,2227.0,985.0,3212.0,36472.0,0.08806755867514805,0.061060539592015795,0.027007019083132265,0.1462829736211031,0.00957575757575757,0.10019267822736033,0.22983870967741926,0.14211212516297267,0.020849506487745417,18683059.0,119.0,4163273.0,0.28252373325375135,-0.4,0.29871609584566805,9614.0,1315.0,10929.0,0.879677921127276,0.12032207887272395,347293084.0,493558.4718,507024.3765,559806.5561,614412.3009,543700.426325,0.24486223214697955,0.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,45.85714285714285,-16.4,53187.28571428572,0.6433036146913461
90023,12343.0,1260.0,540.0,479600.0,2049.0,16768.0,1266.0,627.0,1893.0,18661.0,0.10144150902952682,0.06784202347141097,0.03359948555811586,0.2828947368421053,0.019845111326234344,0.5060728744939271,0.626984126984127,0.5469168900804289,0.06348501664816864,10755349.0,37.0,1855132.0,0.2842890940993097,-0.15384615384615385,0.02007779844886315,4988.0,1313.0,6301.0,0.7916203777178226,0.20837962228217743,325600729.0,468445.0952,481829.6578,541044.2449,591793.6409,520778.1597,0.2633148408723056,0.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,45.85714285714285,-16.4,46904.28571428572,0.4076569297700435
90024,20205.0,2441.0,1499.0,1231000.0,1235.0,11319.0,1086.0,242.0,1328.0,12647.0,0.10500513955878865,0.08587016683798529,0.01913497272080335,0.1795774647887325,-0.017513134851138368,0.25806451612903225,0.3999999999999999,0.28382838283828393,0.011399620012666256,62506346.0,58.0,1350155.0,0.2097647204971964,-0.7894736842105263,-0.9063548366418086,3027.0,22.0,3049.0,0.9927845195145949,0.007215480485405051,26971407.0,1312050.588,1274455.016,1327285.289,1416344.414,1332533.82675,0.07948918048882425,0.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,45.85714285714285,-16.4,67741.57142857143,0.3462923693156955
