,State,Zip Code,< -$100,$-100 to $-90,$-90 to $-80,$-80 to $-70,$-70 to $-60,$-60 to $-50,$-50 to $-40,$-40 to $-30,$-30 to $-20,$-20 to $-10,$-10 to $0,$0 to $10,$10 to $20,$20 to $30,$30 to $40,$40 to $50,$50 to $60,$60 to $70,$70 to $80,$80 to $90,$90 to $100,> $100,Grand Total
642,CA,93274,9.0,,,,,1.0,1.0,5.0,4.0,2.0,2.0,28.0,4.0,3.0,,,,,,,,,59.0
643,CA,93277,12.0,2.0,2.0,1.0,5.0,8.0,11.0,12.0,10.0,6.0,5.0,294.0,29.0,1.0,,,,,,,,,398.0
644,CA,93280,10.0,1.0,,1.0,1.0,1.0,,2.0,,,,4.0,,,,,,,,,,,20.0
645,CA,93283,3.0,1.0,,,2.0,1.0,2.0,6.0,1.0,3.0,3.0,9.0,2.0,,,,,,,,,,33.0
646,CA,93285,1.0,,,,,1.0,1.0,2.0,,3.0,1.0,7.0,1.0,,,,,,,,,,17.0
647,CA,93286,6.0,1.0,,1.0,1.0,6.0,,3.0,10.0,9.0,6.0,92.0,16.0,4.0,,,,,,,,,155.0
648,CA,93291,61.0,8.0,10.0,16.0,18.0,46.0,37.0,37.0,40.0,43.0,91.0,1428.0,4.0,,,,,,,,,,1839.0
649,CA,93292,30.0,4.0,9.0,18.0,19.0,28.0,18.0,39.0,24.0,20.0,30.0,950.0,6.0,1.0,,,,,,,,,1196.0
650,CA,93301,,,,,,,,,,,1.0,18.0,,,,,,,,,,,19.0
651,CA,93304,,,,,,,,,,,,27.0,,,,,,,,,,,27.0
652,CA,93305,9.0,2.0,2.0,2.0,3.0,1.0,,,3.0,,2.0,1.0,,,,,,,,,,,25.0
653,CA,93306,,,,,,,1.0,2.0,,,7.0,13.0,,,,,,,,,,,23.0
654,CA,93307,4.0,,1.0,10.0,22.0,17.0,18.0,11.0,11.0,3.0,2.0,97.0,2.0,,,,,,,,,,198.0
655,CA,93308,5.0,,,1.0,,1.0,2.0,2.0,,,3.0,67.0,8.0,2.0,1.0,,,,,,,,92.0
656,CA,93309,,,,,,,,,,,,75.0,,,,,,,,,,,75.0
657,CA,93311,,,,,,,,1.0,1.0,1.0,1.0,133.0,,,,,,,,,,,137.0
658,CA,93312,1.0,,,,,,,,,,,113.0,,,,,,,,,,,114.0
659,CA,93313,1.0,1.0,,,,,,2.0,2.0,,,37.0,,,,,,,,,,,43.0
660,CA,93314,,,,,,,,,,,,84.0,,,,,,,,,,,84.0
661,CA,93401,11.0,1.0,1.0,1.0,,,3.0,1.0,,2.0,3.0,131.0,36.0,3.0,1.0,1.0,,,,,,,195.0
662,CA,93402,1.0,,,,,,,,,,2.0,44.0,,,,,,,,,,,47.0
663,CA,93405,5.0,2.0,,,,1.0,,1.0,2.0,,3.0,144.0,30.0,7.0,1.0,,,,,,,,196.0
664,CA,93420,3.0,,,,,2.0,1.0,1.0,1.0,2.0,1.0,103.0,12.0,4.0,1.0,,,,,,,,131.0
665,CA,93422,,1.0,1.0,,,,,,,,2.0,86.0,6.0,7.0,3.0,,,,,,,,106.0
666,CA,93426,,,,,,,,,,,,8.0,1.0,,,,,,,,,,9.0
667,CA,93427,1.0,,,,,1.0,,1.0,,,,10.0,,1.0,1.0,,,,,,,,15.0
668,CA,93428,,,,,,,,,,1.0,4.0,64.0,,1.0,,,,,,,,,70.0
669,CA,93430,,,,,1.0,1.0,,,,,,74.0,4.0,,,,,,,,,,80.0
671,CA,93433,,,,,,,,,,,,19.0,1.0,,,,,,,,,,20.0
673,CA,93436,3.0,,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,,63.0,,1.0,,,,,,,,,76.0
674,CA,93440,,,,,,,,,,,,7.0,6.0,2.0,1.0,,,,,,,,16.0
675,CA,93441,1.0,,1.0,,,,,,,,,3.0,,,,,,,,,,,5.0
676,CA,93442,10.0,,2.0,1.0,1.0,,2.0,2.0,3.0,2.0,8.0,93.0,4.0,1.0,,1.0,,,,,,,130.0
677,CA,93444,8.0,,,,,,,,,,,79.0,1.0,1.0,,,,,,,,,89.0
678,CA,93445,7.0,1.0,1.0,,1.0,,,,2.0,,1.0,47.0,8.0,3.0,,1.0,,,,,,,72.0
679,CA,93446,1.0,1.0,1.0,,,,,,,2.0,2.0,66.0,3.0,5.0,2.0,1.0,,,,,,,84.0
680,CA,93449,,,,,,,,,,,,51.0,2.0,1.0,,,,,,,,,54.0
682,CA,93451,,,,1.0,,,,,,1.0,,6.0,2.0,,,,,,,,,,10.0
683,CA,93453,3.0,,,,2.0,2.0,,1.0,,1.0,1.0,38.0,9.0,3.0,,,,,,,,,60.0
684,CA,93454,3.0,,1.0,,,,,1.0,,2.0,6.0,83.0,11.0,2.0,,,,,,,,,109.0
685,CA,93455,4.0,1.0,,,,,,1.0,,1.0,2.0,49.0,1.0,,,,,,,,,,59.0
686,CA,93458,9.0,,,,,,,1.0,1.0,2.0,5.0,35.0,,,,,,,,,,,53.0
687,CA,93460,1.0,,,2.0,2.0,1.0,1.0,,1.0,2.0,,26.0,3.0,1.0,,4.0,1.0,,,,,,45.0
688,CA,93463,,,,,,,,,,,,35.0,3.0,2.0,2.0,1.0,,,,,,,43.0
689,CA,93465,1.0,,,,,,,,,,,25.0,1.0,2.0,,,,,,,,,29.0
690,CA,93501,1.0,,,,1.0,7.0,7.0,12.0,10.0,2.0,3.0,50.0,,,,,,,,,,,93.0
691,CA,93505,2.0,,,1.0,2.0,1.0,,1.0,2.0,2.0,2.0,28.0,13.0,1.0,,,,,,,,,55.0
692,CA,93510,2.0,,,,,,1.0,,,1.0,,16.0,15.0,8.0,,1.0,,,,,,,44.0
694,CA,93514,1.0,,,,,,,,2.0,1.0,1.0,79.0,2.0,,,,,,,,,,86.0
695,CA,93516,1.0,,,,,,,2.0,2.0,1.0,7.0,16.0,5.0,,,,,,,,,,34.0
697,CA,93518,,,,,,,1.0,,,,,4.0,1.0,,,,,,,,,,6.0
699,CA,93523,3.0,,,2.0,,1.0,1.0,7.0,6.0,6.0,11.0,12.0,,,,,,,,,,,49.0
700,CA,93526,,,,,,,,,,,,5.0,,,,,,,,,,,5.0
701,CA,93527,6.0,1.0,,,1.0,1.0,,2.0,1.0,,,16.0,,,,,,,,,,,28.0
702,CA,93529,2.0,,,,,,,,,1.0,,6.0,1.0,1.0,1.0,,,,,,,,12.0
704,CA,93532,1.0,,,,1.0,,,1.0,1.0,1.0,4.0,28.0,7.0,1.0,,,,,,,,,45.0
705,CA,93534,,,,,,,,,,,,13.0,,1.0,,,,,,,,,14.0
706,CA,93535,11.0,1.0,1.0,2.0,2.0,2.0,,3.0,5.0,4.0,2.0,21.0,1.0,,,,,,,,,,55.0
707,CA,93536,2.0,1.0,1.0,2.0,,1.0,2.0,2.0,2.0,2.0,3.0,71.0,,,,,,,,,,,89.0
708,CA,93543,1.0,,,,,,,,,,,5.0,,,,,,,,,,,6.0
709,CA,93544,,,,,,1.0,2.0,,1.0,1.0,,3.0,,,,,,,,,,,8.0
711,CA,93546,2.0,,,,,,,,,,1.0,12.0,,,,,,,,,,,15.0
712,CA,93550,2.0,1.0,,,2.0,3.0,,1.0,4.0,1.0,2.0,18.0,,1.0,,,,,,,,,35.0
713,CA,93551,,,,,,,,,,,,74.0,1.0,,,,,,,,,,75.0
715,CA,93553,,,,,,,,,,1.0,,5.0,,,,,,,,,,,6.0
716,CA,93555,15.0,2.0,5.0,3.0,2.0,2.0,5.0,7.0,9.0,1.0,2.0,69.0,1.0,,,,,,,,,,123.0
717,CA,93560,18.0,6.0,14.0,16.0,15.0,12.0,16.0,35.0,35.0,59.0,43.0,117.0,76.0,6.0,,,,,,,,,468.0
718,CA,93561,6.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,6.0,68.0,3.0,,,,,,,,,,99.0
721,CA,93591,2.0,,1.0,2.0,,1.0,,1.0,,2.0,,6.0,,,,,,,,,,,15.0
725,CA,93610,20.0,2.0,1.0,,,,1.0,3.0,,4.0,5.0,17.0,1.0,,,,,,,,,,54.0
726,CA,93611,2.0,,,,,,,,,,,41.0,,,,,,,,,,,43.0
727,CA,93612,,,,,,,,,,1.0,,10.0,,,,,,,,,,,11.0
728,CA,93614,,,1.0,,,,,,,,,8.0,2.0,,,,,,,,,,11.0
729,CA,93615,2.0,,7.0,5.0,12.0,9.0,4.0,1.0,2.0,2.0,1.0,45.0,,,,,,,,,,,90.0
730,CA,93618,24.0,3.0,5.0,5.0,25.0,18.0,38.0,11.0,6.0,8.0,7.0,277.0,,,,,,,,,,,427.0
731,CA,93619,17.0,8.0,2.0,2.0,1.0,7.0,9.0,3.0,4.0,3.0,5.0,158.0,3.0,5.0,,,,,,,,,227.0
732,CA,93620,4.0,,1.0,,1.0,1.0,,,1.0,,3.0,10.0,1.0,,,,,,,,,,22.0
733,CA,93622,13.0,4.0,3.0,13.0,20.0,15.0,22.0,17.0,18.0,7.0,3.0,53.0,,,,,,,,,,,188.0
734,CA,93625,5.0,1.0,1.0,1.0,,,,,3.0,,1.0,3.0,,,,,,,,,,,15.0
735,CA,93626,,,,,,,,,,,,4.0,6.0,,,,,,,,,,10.0
738,CA,93631,9.0,,2.0,1.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,25.0,1.0,2.0,,,,,,,,,55.0
739,CA,93635,1.0,,,,1.0,1.0,,,1.0,1.0,,17.0,,,,,,,,,,,22.0
740,CA,93636,5.0,1.0,5.0,,1.0,1.0,4.0,2.0,3.0,3.0,4.0,51.0,13.0,,1.0,,,,,,,,94.0
741,CA,93637,3.0,,2.0,4.0,1.0,10.0,5.0,7.0,20.0,23.0,24.0,142.0,6.0,,,,,,,,,,247.0
742,CA,93638,8.0,1.0,2.0,1.0,2.0,,3.0,1.0,5.0,8.0,6.0,88.0,12.0,,,,,,,,,,137.0
743,CA,93640,1.0,2.0,1.0,1.0,,1.0,2.0,,,,1.0,12.0,,,,,,,,,,,21.0
744,CA,93644,2.0,,,,,,,,,,,16.0,,1.0,1.0,,,,,,,,20.0
745,CA,93646,8.0,,,1.0,,1.0,3.0,3.0,1.0,4.0,,34.0,,,,,,,,,,,55.0
746,CA,93647,,,1.0,,2.0,1.0,2.0,,1.0,,,15.0,,,,,,,,,,,22.0
747,CA,93648,2.0,,,,,,,,1.0,,,2.0,,,,,,,,,,,5.0
750,CA,93654,4.0,1.0,,,,,,1.0,,2.0,2.0,15.0,1.0,,1.0,,,,,,,,27.0
751,CA,93656,2.0,,,,,2.0,1.0,,1.0,,1.0,46.0,,,,,,,,,,,53.0
752,CA,93657,13.0,2.0,4.0,4.0,5.0,8.0,4.0,4.0,9.0,2.0,5.0,82.0,17.0,11.0,1.0,,,,,,,,171.0
759,CA,93703,,,,,,,,,,,,8.0,1.0,,,,,,,,,,9.0
760,CA,93704,,,,,,,,,,,,23.0,,,,,,,,,,,23.0
762,CA,93706,,1.0,,2.0,,,,1.0,,,,4.0,,,,,,,,,,,8.0
763,CA,93710,,,,,,,,,,,,12.0,,,,,,,,,,,12.0
764,CA,93711,1.0,,,,1.0,,,,,,,34.0,,,,,,,,,,,36.0
765,CA,93720,,,,,,,,,,,,39.0,,1.0,,,,,,,,,40.0
767,CA,93722,,,,,,,,,,,,23.0,,,,,,,,,,,23.0
768,CA,93723,,,,,,,,,,,,9.0,,,,,,,,,,,9.0
769,CA,93725,,,,,,,2.0,,,1.0,,6.0,,,,,,,,,,,9.0
770,CA,93726,1.0,,,,,1.0,,,,,,12.0,,,,,,,,,,,14.0
771,CA,93727,,,,,,1.0,,,,,,22.0,,,,,,,,,,,23.0
772,CA,93728,,,,1.0,,,,,,,,4.0,,,,,,,,,,,5.0
773,CA,93730,1.0,,,,1.0,,,,,,,22.0,,,,,,,,,,,24.0
774,CA,93737,1.0,,,,,,,,1.0,,,6.0,,,,,,,,,,,8.0
775,CA,93901,,,,,,,,1.0,1.0,2.0,5.0,57.0,1.0,,,,,,,,,,67.0
776,CA,93905,2.0,,,,,,,,,,2.0,31.0,1.0,1.0,,,,,,,,,37.0
777,CA,93906,11.0,3.0,1.0,1.0,2.0,,,1.0,,1.0,,37.0,2.0,,,,,,,,,,59.0
778,CA,93907,2.0,,1.0,1.0,,,,,1.0,,2.0,34.0,5.0,2.0,,1.0,,,,,,,49.0
779,CA,93908,5.0,2.0,,,1.0,1.0,,,2.0,,,89.0,4.0,,,,,,,,,,104.0
780,CA,93920,3.0,,,,,,,,,,,7.0,1.0,,,,,,,,,,11.0
781,CA,93923,22.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,6.0,20.0,159.0,66.0,41.0,21.0,2.0,3.0,2.0,,,2.0,2.0,360.0
782,CA,93924,6.0,,1.0,,,,,,1.0,1.0,1.0,91.0,35.0,22.0,6.0,1.0,1.0,1.0,,,,1.0,168.0
783,CA,93925,1.0,,,,,,,,,,,7.0,2.0,1.0,,,,,,,,,11.0
784,CA,93926,,,,,,,1.0,,,1.0,,7.0,,,,,,,,,,,9.0
785,CA,93927,,,1.0,,,,,,1.0,1.0,,10.0,2.0,1.0,,,,,,,,,16.0
786,CA,93930,1.0,,,,,1.0,,,,,,13.0,3.0,6.0,,,,,,,,,24.0
787,CA,93933,4.0,,,,,1.0,1.0,1.0,,,,22.0,4.0,1.0,,,,,,,,,34.0
788,CA,93940,,,,,,,,,,2.0,9.0,41.0,1.0,,,,,,,,,,53.0
789,CA,93950,,,,,,,,,,2.0,5.0,24.0,,,,,,,,,,,31.0
790,CA,93953,,,1.0,,,,,,,11.0,16.0,27.0,,,,,,,,,,,55.0
791,CA,93955,,,,,,,,,,1.0,,10.0,,,,,,,,,,,11.0
792,CA,93960,2.0,,,,1.0,,,,,,,7.0,,,,,,,,,,,10.0
794,CA,94002,1.0,1.0,,,,,,,,,6.0,32.0,3.0,1.0,,,,,,,,,44.0
795,CA,94005,,,,,,,,,,,,6.0,,,,,,,,,,,6.0
796,CA,94010,3.0,1.0,1.0,2.0,,2.0,1.0,3.0,2.0,7.0,4.0,143.0,65.0,23.0,1.0,,,,,,,,258.0
798,CA,94015,,,,,,,,,,,3.0,17.0,,,,,,,,,,,20.0
799,CA,94019,6.0,1.0,,,,,,1.0,,,3.0,98.0,1.0,,,,,,,,,,110.0
800,CA,94020,3.0,,,,,,,,,1.0,,14.0,1.0,2.0,,,,,,,,,21.0
802,CA,94022,8.0,1.0,1.0,1.0,,1.0,,2.0,,1.0,5.0,56.0,6.0,2.0,,,,,,,,,84.0
803,CA,94024,5.0,1.0,,,2.0,6.0,4.0,2.0,5.0,2.0,8.0,51.0,7.0,8.0,1.0,,,,,,,,102.0
804,CA,94025,98.0,4.0,6.0,14.0,13.0,21.0,22.0,22.0,27.0,23.0,17.0,342.0,40.0,12.0,1.0,,,,,,,,662.0
805,CA,94027,,1.0,,,,,,,,1.0,1.0,52.0,,,,,,,,,,,55.0
806,CA,94028,7.0,,,,1.0,,,1.0,,1.0,3.0,27.0,1.0,,,,,,,,,,41.0
807,CA,94030,,,,1.0,,,,,,1.0,2.0,93.0,17.0,8.0,,,,,,,,,122.0
808,CA,94037,2.0,,,,,1.0,,,,,2.0,8.0,,,,,,,,,,,13.0
809,CA,94038,1.0,,,,,1.0,1.0,,,,1.0,14.0,,,,,,,,,,,18.0
810,CA,94040,3.0,,,2.0,,2.0,1.0,6.0,4.0,1.0,,65.0,,,,,,,,,,,84.0
811,CA,94041,,,,1.0,,1.0,,,1.0,,,11.0,,,,,,,,,,,14.0
812,CA,94043,2.0,2.0,,,,2.0,6.0,14.0,14.0,8.0,1.0,71.0,1.0,,,,,,,,,,121.0
813,CA,94044,6.0,,,,2.0,2.0,1.0,,2.0,3.0,6.0,120.0,99.0,34.0,1.0,,,,,,,,276.0
814,CA,94060,1.0,,,,,,,,,,,26.0,8.0,12.0,5.0,1.0,1.0,,,,,1.0,55.0
815,CA,94061,,,,,,,,,,,2.0,32.0,,,,,,,,,,,34.0
816,CA,94062,2.0,,1.0,2.0,,,1.0,,,,11.0,64.0,,,,,,,,,,,81.0
817,CA,94063,3.0,1.0,,,,,,1.0,,,,159.0,2.0,,,,,,,,,,166.0
818,CA,94065,,,,,,,,,,,,62.0,,,,,,,,,,,62.0
819,CA,94066,1.0,,1.0,,3.0,,2.0,,,3.0,1.0,145.0,4.0,,,,,,,,,,160.0
820,CA,94070,13.0,1.0,3.0,1.0,,1.0,,,3.0,1.0,4.0,73.0,3.0,,,,,,,,,,103.0
821,CA,94074,1.0,,,,,,,,,,,3.0,,2.0,,,,,,,,,6.0
822,CA,94080,1.0,2.0,2.0,3.0,1.0,,2.0,1.0,2.0,5.0,7.0,64.0,12.0,9.0,,,,,,,,,111.0
823,CA,94085,22.0,4.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,4.0,23.0,2.0,,,,,,,,,,63.0
824,CA,94086,1.0,1.0,,,1.0,1.0,6.0,2.0,3.0,,3.0,30.0,,,,,,,,,,,48.0
825,CA,94087,2.0,,,1.0,,2.0,2.0,1.0,1.0,2.0,3.0,58.0,1.0,,,,,,,,,,73.0
826,CA,94089,59.0,5.0,4.0,7.0,4.0,3.0,2.0,4.0,9.0,3.0,2.0,30.0,5.0,,,,,,,,,,137.0
829,CA,94110,,,1.0,,,,,,1.0,,1.0,5.0,,,,,,,,,,,8.0
830,CA,94112,,,,,,,,,,,,8.0,,,,,,,,,,,8.0
831,CA,94114,1.0,,,,,,,,,,1.0,5.0,,,,,,,,,,,7.0
832,CA,94115,,,,,,,,,,,,12.0,,,,,,,,,,,12.0
833,CA,94116,,,,,,,,,,,,15.0,,,,,,,,,,,15.0
835,CA,94118,,,,,,,,,1.0,,,7.0,,,,,,,,,,,8.0
836,CA,94121,,,,1.0,,,,,,1.0,,5.0,,,,,,,,,,,7.0
837,CA,94122,,,,,,,1.0,,,1.0,,13.0,,,,,,,,,,,15.0
838,CA,94123,,,1.0,,,,,,,,,14.0,,,,,,,,,,,15.0
840,CA,94127,,,,1.0,,,,,,1.0,1.0,10.0,,,,,,,,,,,13.0
841,CA,94131,,,,,,,,,,,3.0,4.0,,,,,,,,,,,7.0
844,CA,94301,16.0,1.0,5.0,2.0,4.0,2.0,6.0,9.0,20.0,26.0,22.0,274.0,214.0,40.0,1.0,,,,,,,,642.0
845,CA,94303,370.0,55.0,59.0,53.0,37.0,65.0,46.0,60.0,73.0,91.0,101.0,890.0,254.0,53.0,2.0,,,,,,,,2209.0
846,CA,94304,,,,,,,,,,,2.0,3.0,,,,,,,,,,,5.0
847,CA,94306,1.0,2.0,,2.0,1.0,,1.0,1.0,,,5.0,126.0,1.0,1.0,,,,,,,,,141.0
848,CA,94401,45.0,3.0,6.0,3.0,6.0,2.0,4.0,3.0,6.0,9.0,9.0,162.0,159.0,144.0,13.0,4.0,1.0,,,,,,579.0
849,CA,94402,1.0,,,,,,,1.0,,1.0,2.0,53.0,1.0,,,,,,,,,,59.0
850,CA,94403,,,,,,,1.0,2.0,,2.0,5.0,205.0,9.0,1.0,,,,,,,,,225.0
851,CA,94404,2.0,1.0,1.0,,,2.0,1.0,,1.0,1.0,,223.0,3.0,,,,,,,,,,235.0
852,CA,94501,1.0,,,,,,,,,2.0,1.0,312.0,,,,,,,,,,,316.0
853,CA,94502,,,,,1.0,1.0,1.0,1.0,,1.0,,504.0,4.0,,,,,,,,,,513.0
854,CA,94503,,,,,,,,,,,1.0,15.0,,,,,,,,,,,16.0
855,CA,94505,,,,,,,,,1.0,,,70.0,,1.0,1.0,,,,,,,,73.0
856,CA,94506,2.0,1.0,,1.0,1.0,1.0,,,1.0,,1.0,30.0,1.0,1.0,,,,,,,,,40.0
857,CA,94507,9.0,1.0,2.0,2.0,2.0,,1.0,1.0,2.0,2.0,4.0,52.0,2.0,1.0,,,,,,,,,81.0
859,CA,94509,15.0,,,,2.0,1.0,1.0,1.0,1.0,,,39.0,3.0,,,,,,,,,,63.0
860,CA,94510,,,,,,,,,,,3.0,26.0,,,,,,,,,,,29.0
861,CA,94511,61.0,11.0,9.0,14.0,9.0,11.0,10.0,16.0,7.0,8.0,11.0,67.0,6.0,,,1.0,,,,,,,241.0
862,CA,94513,4.0,,1.0,,2.0,,,1.0,,1.0,1.0,55.0,5.0,,,,,,,,,,70.0
863,CA,94514,,,,,,,,,,,1.0,20.0,,,,,,,,,,,21.0
864,CA,94515,2.0,,,,,,1.0,,,,,52.0,9.0,4.0,4.0,2.0,,1.0,,1.0,,,76.0
865,CA,94517,1.0,1.0,1.0,1.0,,,,1.0,,,,27.0,19.0,3.0,1.0,,,,,,,,55.0
866,CA,94518,7.0,3.0,1.0,,1.0,4.0,4.0,6.0,10.0,9.0,8.0,44.0,5.0,,,,,,,,,,102.0
867,CA,94519,2.0,,,,1.0,1.0,,2.0,1.0,,2.0,33.0,16.0,2.0,,,,,,,,,60.0
868,CA,94520,,,,,,,,,,,1.0,11.0,2.0,,,,,,,,,,14.0
869,CA,94521,12.0,2.0,4.0,5.0,4.0,5.0,3.0,3.0,2.0,2.0,3.0,68.0,5.0,,,,,,,,,,118.0
870,CA,94523,35.0,2.0,,1.0,2.0,1.0,6.0,3.0,5.0,6.0,7.0,113.0,60.0,41.0,1.0,,,,,,,,283.0
872,CA,94526,3.0,,3.0,,,,2.0,1.0,,2.0,,77.0,10.0,6.0,,,,,,,,,104.0
873,CA,94528,1.0,,,,,,,,,,,10.0,,,,,,,,,,,11.0
874,CA,94530,8.0,1.0,,,,,,,,,7.0,22.0,,,,,,,,,,,38.0
875,CA,94531,,,,,,,,,,,4.0,8.0,,,,,,,,,,,12.0
876,CA,94533,,,2.0,1.0,2.0,,1.0,4.0,7.0,3.0,1.0,79.0,2.0,,,,,,,,,,102.0
877,CA,94534,12.0,3.0,1.0,1.0,1.0,,,3.0,7.0,6.0,8.0,120.0,14.0,6.0,,,,,,,,,182.0
878,CA,94536,,,,,,,,,,1.0,2.0,43.0,,,1.0,,,,,,,,47.0
879,CA,94538,51.0,5.0,2.0,2.0,3.0,3.0,3.0,4.0,8.0,8.0,7.0,39.0,1.0,,,,,,,,,,136.0
880,CA,94539,1.0,,,,,,,,,,,29.0,,,,,,,,,,,30.0
881,CA,94541,6.0,1.0,1.0,1.0,3.0,4.0,8.0,4.0,1.0,2.0,5.0,64.0,8.0,2.0,,,,,,,,,110.0
882,CA,94542,,,,,,,,,,1.0,3.0,2.0,,,,,,,,,,,6.0
883,CA,94544,15.0,5.0,3.0,9.0,1.0,9.0,9.0,8.0,4.0,1.0,1.0,47.0,2.0,1.0,,,,,,,,,115.0
884,CA,94545,1.0,,,,,,1.0,,,1.0,,25.0,,1.0,,,,,,,,,29.0
885,CA,94546,27.0,2.0,2.0,3.0,3.0,3.0,,2.0,2.0,2.0,3.0,83.0,10.0,1.0,,,,,,,,,143.0
886,CA,94547,,,,,,,,,,,1.0,13.0,,,,,,,,,,,14.0
888,CA,94549,1.0,,2.0,,2.0,1.0,1.0,,3.0,,1.0,96.0,15.0,8.0,,,1.0,,,,,,131.0
889,CA,94550,,,,,,,,,,,,46.0,1.0,,,,,,,,,,47.0
890,CA,94551,2.0,,,,,,,,,,,25.0,,,,,,,,,,,27.0
891,CA,94552,,,,,,,1.0,,,1.0,1.0,5.0,,,,,,,,,,,8.0
892,CA,94553,10.0,3.0,5.0,2.0,3.0,3.0,6.0,15.0,13.0,20.0,13.0,153.0,103.0,56.0,,,,,,,,,405.0
893,CA,94555,1.0,,,,,,,,,,,27.0,,,,,,,,,,,28.0
894,CA,94556,,,,,,,,,1.0,,2.0,35.0,,,,,,,,,,,38.0
895,CA,94558,24.0,3.0,2.0,3.0,7.0,8.0,7.0,5.0,8.0,9.0,8.0,241.0,90.0,46.0,15.0,,1.0,1.0,,,,2.0,480.0
896,CA,94559,17.0,1.0,2.0,3.0,4.0,1.0,3.0,2.0,2.0,5.0,7.0,146.0,52.0,21.0,3.0,,,,,,,,269.0
897,CA,94560,7.0,1.0,,5.0,1.0,,3.0,2.0,1.0,1.0,1.0,36.0,,,,,,,,,,,58.0
898,CA,94561,37.0,4.0,10.0,6.0,5.0,3.0,5.0,4.0,3.0,8.0,9.0,130.0,8.0,,,,,,,,,,232.0
899,CA,94563,8.0,,1.0,1.0,,,,1.0,,,3.0,60.0,1.0,2.0,1.0,,,,,,,,78.0
900,CA,94564,,,,,,,,,,,,12.0,,,,,,,,,,,12.0
901,CA,94565,4.0,,,,,,,1.0,,,2.0,54.0,1.0,,,,,,,,,,62.0
902,CA,94566,1.0,,,1.0,,,,,,,,48.0,,,,,,,,,,,50.0
904,CA,94568,5.0,,,,1.0,,1.0,2.0,,,,24.0,6.0,2.0,,,,,,,,,41.0
905,CA,94569,5.0,,3.0,,,,,,,,1.0,5.0,,,,,,,,,,,14.0
906,CA,94571,14.0,,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,53.0,,,,,,,,,,,85.0
907,CA,94572,13.0,3.0,2.0,5.0,,2.0,5.0,2.0,,3.0,3.0,14.0,3.0,,,,,,,,,,55.0
908,CA,94574,15.0,,1.0,1.0,1.0,3.0,,,1.0,2.0,1.0,70.0,16.0,7.0,1.0,2.0,,,,1.0,,,122.0
909,CA,94577,3.0,,,,,1.0,3.0,2.0,2.0,1.0,2.0,246.0,3.0,,,,,,,,,,263.0
910,CA,94578,2.0,,,,,,1.0,2.0,7.0,11.0,2.0,33.0,,,,,,,,,,,58.0
911,CA,94579,137.0,22.0,17.0,16.0,11.0,14.0,10.0,7.0,8.0,15.0,22.0,199.0,35.0,1.0,,,,,,,,,514.0
912,CA,94580,10.0,1.0,3.0,6.0,3.0,21.0,28.0,43.0,27.0,22.0,24.0,353.0,12.0,,,,,,,,,,553.0
913,CA,94582,,,,,,,,,,,1.0,8.0,,,,,,,,,,,9.0
914,CA,94583,6.0,,,,,1.0,2.0,,1.0,1.0,1.0,32.0,3.0,,,,,,,,,,47.0
915,CA,94585,19.0,2.0,2.0,1.0,3.0,3.0,2.0,5.0,1.0,5.0,5.0,101.0,120.0,31.0,6.0,,,,,,,,306.0
917,CA,94587,9.0,,1.0,1.0,,2.0,2.0,1.0,,,5.0,56.0,4.0,,,,,,,,,,81.0
918,CA,94588,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,46.0,1.0,,1.0,,,,,,,,55.0
919,CA,94589,1.0,,,,1.0,,,,,,,20.0,,,,,,,,,,,22.0
920,CA,94590,19.0,,,,2.0,,2.0,,1.0,3.0,2.0,39.0,5.0,,,,,,,,,,73.0
921,CA,94591,26.0,4.0,2.0,10.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,128.0,6.0,,,,,,,,,,192.0
923,CA,94595,1.0,1.0,1.0,1.0,,,1.0,,,,,91.0,28.0,5.0,2.0,,,,,,,,131.0
924,CA,94596,15.0,3.0,2.0,1.0,1.0,,2.0,1.0,3.0,2.0,3.0,58.0,16.0,2.0,1.0,,,,,,,,110.0
925,CA,94597,7.0,,1.0,,2.0,,,,,1.0,,23.0,2.0,,,,,,,,,,36.0
926,CA,94598,1.0,,,,1.0,1.0,,,,,,40.0,,,,,,,,,,,43.0
927,CA,94599,2.0,,,,,1.0,,1.0,,,,25.0,4.0,,,,,,,,,,33.0
928,CA,94601,7.0,1.0,1.0,,,,,,,,,17.0,1.0,,,,,,,,,,27.0
929,CA,94602,5.0,,,,,,,,,1.0,5.0,25.0,,,,,,,,,,,36.0
930,CA,94603,2.0,,1.0,,,,,,,,,9.0,,,,,,,,,,,12.0
931,CA,94605,4.0,,,,1.0,,,1.0,,,1.0,18.0,2.0,,,,,,,,,,27.0
933,CA,94607,,,,,,,,,,,,8.0,,,,,,,,,,,8.0
934,CA,94608,1.0,,,,,,,,,,3.0,9.0,,,,,,,,,,,13.0
935,CA,94609,,,,,,,,,,,,8.0,,,,,,,,,,,8.0
