,State,Zip Code,< -$100,$-100 to $-90,$-90 to $-80,$-80 to $-70,$-70 to $-60,$-60 to $-50,$-50 to $-40,$-40 to $-30,$-30 to $-20,$-20 to $-10,$-10 to $0,$0 to $10,$10 to $20,$20 to $30,$30 to $40,$40 to $50,$50 to $60,$60 to $70,$70 to $80,$80 to $90,$90 to $100,> $100,Grand Total
118,CA,90670,,,,,,,,,,,,5.0,,,,,,,,,,,5.0
119,CA,90680,,,,,,,,,,,,7.0,,,,,,,,,,,7.0
121,CA,90703,,,,,,,,,,,,56.0,,,,,,,,,,,56.0
122,CA,90704,6.0,,,,1.0,2.0,,1.0,1.0,,,12.0,3.0,2.0,2.0,,,,,,,,30.0
123,CA,90706,,,,,,,,,,,,35.0,,,,,,,,,,,35.0
124,CA,90710,,,,,,,,,,,,9.0,,,,,,,,,,,9.0
125,CA,90712,,,,,,,,,,,,37.0,,,,,,,,,,,37.0
126,CA,90713,,,,,,,,,,,,41.0,,,,,,,,,,,41.0
127,CA,90715,,,,,,,,,,,,18.0,,,,,,,,,,,18.0
129,CA,90717,,,,,,,,,,,,6.0,,,,,,,,,,,6.0
130,CA,90720,,,,,,,,,,,,78.0,,,1.0,,,,,,,,79.0
131,CA,90723,,,,,,,,,,,,13.0,,,,,,,,,,,13.0
132,CA,90731,,,,,1.0,,,,,,,13.0,,,,,,,,,,,14.0
133,CA,90732,,,,,,,,,,,1.0,20.0,,,,,,,,,,,21.0
134,CA,90740,1.0,,,,,,,,,,,206.0,6.0,4.0,1.0,,,,,,,,218.0
135,CA,90742,,,,,,,1.0,,,1.0,,72.0,,,,,,,,,,,74.0
136,CA,90743,,,,,2.0,,,,,,,54.0,,1.0,,,,,,,,,57.0
137,CA,90744,,,,,,,,,,,,9.0,,,,,,,,,,,9.0
138,CA,90745,,,,,,,,,,,,15.0,,1.0,,,,,,,,,16.0
139,CA,90746,,,,,,,,,,,1.0,28.0,,,,,,,,,,,29.0
140,CA,90755,,,,,,,,,,,1.0,7.0,,,,,,,,,,,8.0
141,CA,90802,,,,,,,,,,,,5.0,,,,,,,,,,,5.0
142,CA,90803,110.0,9.0,15.0,21.0,24.0,33.0,35.0,37.0,35.0,42.0,34.0,467.0,451.0,126.0,20.0,,,,,,,,1459.0
143,CA,90804,,,,,,,,,,,,5.0,,,,,,,,,,,5.0
144,CA,90805,,,,,,,,,,,,51.0,,1.0,,,,,,,,,52.0
145,CA,90806,,,,,,,,,,,,35.0,,1.0,1.0,,,,,,,,37.0
146,CA,90807,,,,,,,,,,1.0,7.0,27.0,,,,,,,,,,,35.0
147,CA,90808,,,,,,,,1.0,,,1.0,147.0,,,,,,,,,,,149.0
148,CA,90810,,,,,,,,1.0,,1.0,,33.0,,,,,,,,,,,35.0
150,CA,90814,,,,1.0,,1.0,,,1.0,,1.0,55.0,2.0,,,,,,,,,,61.0
151,CA,90815,1.0,,,,,1.0,,,,,,162.0,3.0,1.0,1.0,,,,,,,,169.0
152,CA,91001,3.0,,,1.0,,,,,,,,64.0,,,,,,,,,,,68.0
153,CA,91006,,,,,,,,,,,,14.0,,1.0,,,,,,,,,15.0
156,CA,91010,1.0,1.0,,,,,1.0,1.0,,,2.0,18.0,,,,,,,,,,,24.0
157,CA,91011,2.0,,1.0,,,,,,,,,85.0,1.0,1.0,,,,,,,,,90.0
158,CA,91016,2.0,,,,,,,,,,,20.0,,,,,,,,,,,22.0
