ZIP Code,2018,2019,2020,2021,2022,2023,Pct Change 2018-21
90042,1090214.2857142857,1188504.142857143,1343687.2857142857,1485362.857142857,1659305.0,1842588.5714285714,0.36245037017624315
90043,1430800.8333333333,1547508.8333333333,1726636.8333333333,1846207.1666666667,2013117.0,2258631.8333333335,0.29033134707194874
90044,1047242.7142857143,1110611.142857143,1230110.0,1345932.857142857,1463799.142857143,1616803.857142857,0.28521577546697785
90045,1470256.6666666667,1602891.0,1789606.6666666667,1639651.2857142857,2093591.0,2293660.8333333335,0.1152143179405992
90046,2762358.5,3055392.0,3703816.3333333335,4012803.6666666665,4432545.5,4806701.333333333,0.4526730207779571
90047,1137680.0,1217106.0,1360461.857142857,1459414.4285714286,1587346.5714285714,1763905.857142857,0.28279870312515704
90048,1187488.6666666667,1303885.5,1528838.1666666667,1584931.5,1742207.0,1911457.3333333333,0.33469189600686705
90049,5415153.0,5035348.857142857,6926053.333333333,7131039.0,7885720.166666667,8501002.166666666,0.31686750125065716
90056,577441.6666666666,624689.8333333334,694369.3333333334,729969.0,797352.8333333334,887219.6666666666,0.2641432756555497
90057,119078.66666666667,127699.66666666667,142973.5,160973.5,175843.33333333334,196125.0,0.3518248440806637
90058,11384.857142857143,11950.666666666666,15071.0,17181.6,18829.4,25097.0,0.5091625467412852
90059,515077.5,473046.0,526664.1428571428,673730.1666666666,736518.0,820598.6666666666,0.3080170783361079
90061,371212.1666666667,396090.0,442125.6666666667,486555.8333333333,529334.0,579109.8333333334,0.310721676238162
90062,530807.4285714285,565119.2857142857,627888.0,678649.8571428572,741613.2857142857,819092.8571428572,0.27852366152696767
90063,528144.7142857143,561387.2857142857,621607.1428571428,684814.8571428572,768877.5714285715,851608.8571428572,0.29664245162243136
90064,1569721.1666666667,1708752.8333333333,1918889.3333333333,2036929.0,2203647.1666666665,2448478.6666666665,0.2976374678857508
90065,1121760.2857142857,1224317.5714285714,1372518.0,1763413.3333333333,1969989.6666666667,2201266.8333333335,0.5720054951049299
90066,1568185.4285714286,1709479.142857143,1924365.7142857143,2070298.7142857143,2257679.1428571427,2509708.1428571427,0.320187445034288
90067,450100.1666666667,485054.5,588352.1666666666,527307.0,670374.8,691393.0,0.17153255886374916
90068,2366495.0,2582376.8333333335,3009428.5,3274858.3333333335,3688489.1666666665,4038503.0,0.3838433351151528
90069,2210073.0,2366080.8333333335,2771401.6666666665,2820323.1666666665,2928601.6666666665,3097039.1666666665,0.2761221763564672
90071,1417.5,827.5,797.0,1358.0,1295.8,1440.75,-0.04197530864197531
90073,474.0,419.0,312.0,531.0,952.0,894.0,0.12025316455696203
90077,3074195.0,3170725.0,4044926.6666666665,4015496.8333333335,3987276.8333333335,4013333.6666666665,0.30619457559892377
90078,1072.0,811.0,153.0,263.0,342.0,,-0.7546641791044776
90089,3142.0,4336.5,3748.5,3844.5,3146.6666666666665,7406.0,0.22358370464672184
90094,427131.0,478789.4,540847.8,552390.2,508389.0,565462.5,0.2932571037925132
90095,1091.0,922.5,738.5,826.0,1117.5,1329.0,-0.24289642529789185
90201,624529.0,660429.7142857143,729890.7142857143,796808.0,883241.1428571428,997279.7142857143,0.2758542837882628
90210,6684902.571428572,7176974.142857143,8876224.0,8676191.42857143,8324102.714285715,9516714.666666666,0.2978785159343491
90211,467076.0,505158.1666666667,580102.5,594255.8333333334,646948.8333333334,709778.6666666666,0.272289377603074
90212,736518.3333333334,788470.3333333334,899552.8333333334,929067.3333333334,992559.8333333334,1085718.1666666667,0.2614313741907307
90220,762118.0,818710.0,911646.5714285715,1000492.2857142857,1100997.0,1224820.2857142857,0.3127787110582425
90221,604261.0,643910.8571428572,707485.4285714285,760085.1428571428,830773.5714285715,935191.5714285715,0.25787555850392935
90222,460252.0,486353.8333333333,526572.5,576947.1666666666,626334.8333333334,699344.5,0.2535462456799028
90230,914357.7142857143,974814.8571428572,1071052.857142857,1153805.2857142857,1260229.4285714286,1389915.7142857143,0.26187515858126165
90232,548610.5,596865.1666666666,673541.1666666666,721570.6666666666,795094.1666666666,880541.8333333334,0.31526951574325796
90240,630800.5714285715,675075.7142857143,739167.8571428572,798531.7142857143,882917.7142857143,977071.1428571428,0.26590201476400505
90241,769943.0,825657.0,908643.7142857143,975780.1428571428,1064527.142857143,1174263.7142857143,0.26734075490931514
90242,633253.1428571428,672198.7142857143,736563.2857142857,788062.1428571428,863925.8571428572,951121.8571428572,0.2444662166247215
90245,500044.85714285716,547504.0,606261.7142857143,757888.5,832414.1666666666,910716.6666666666,0.5156410253480116
90247,680895.5714285715,729025.0,805978.0,878285.8571428572,969034.8571428572,1082428.5714285714,0.289898031353245
90248,237947.7142857143,252677.57142857142,273188.5714285714,297309.71428571426,333986.0,373599.71428571426,0.24947497469432048
90249,513406.5714285714,547925.4285714285,604794.8571428572,657122.1428571428,717603.0,786228.7142857143,0.2799254614694119
90250,1210003.7142857143,1304977.7142857143,1448429.4285714286,1557165.5714285714,1699360.142857143,1867500.2857142857,0.2869097450232147
