,ZIP Code,growth_pol_23_24,policies_24,growth_pol_22_23,policies_23,growth_pol_21_22,policies_22,growth_pol_20_21,policies_21,policies_20,growth_exp_23_24,exposure_24,growth_exp_22_23,exposure_23,growth_exp_21_22,exposure_22,growth_exp_20_21,exposure_21,exposure_20
59,95914,0.143,72,0.5,63,0.556,42,1.077,27,13,0.191,50462485,0.505,42364920,0.967,28147619,1.015,14313514,7102696
60,95916,0.158,110,0.377,95,-0.159,69,-0.537,82,177,0.189,73852317,0.458,62132505,-0.041,42603914,-0.474,44445717,84462336
61,95917,1.0,4,1.0,2,0.0,1,0.0,1,0,0.71,2047285,2.391,1197475,0.038,353185,0.0,340275,0
62,95926,5.4,32,0.667,5,0.0,3,2.0,3,1,3.774,12994294,2.867,2721725,-0.397,703747,2.759,1166706,310383
63,95928,0.696,195,0.825,115,0.016,63,0.148,62,54,0.562,197322992,1.257,126351272,0.122,55980157,0.173,49893448,42551472
64,95930,0.0,99,0.0,0,0.0,0,0.0,0,0,0.0,60490722,0.0,0,0.0,0,0.0,0,0
65,95938,-0.2,4,0.25,5,-0.2,4,0.25,5,4,-0.209,2284995,0.915,2889891,-0.113,1508733,0.222,1701235,1392170
66,95941,0.028,74,0.043,72,0.03,69,0.196,67,56,0.067,41682927,0.174,39076877,0.129,33294256,0.213,29497274,24308709
67,95942,0.127,454,0.175,403,0.096,343,0.177,313,266,0.185,353427367,0.247,298352795,0.149,239267526,0.283,208216038,162317150
68,95948,0.5,9,1.0,6,0.0,3,0.5,3,2,0.748,3758297,1.776,2149903,0.107,774432,1.314,699680,302400
69,95954,0.128,1939,0.55,1719,0.127,1109,0.285,984,766,0.217,1250027259,0.488,1027361740,0.192,690639925,0.347,579269355,430036149
70,95965,0.594,507,0.536,318,0.056,207,0.782,196,110,0.648,327315725,0.898,198603600,0.223,104619316,0.672,85519271,51162271
71,95966,0.384,2546,0.575,1840,0.083,1168,0.148,1078,939,0.476,1764424501,0.584,1195807420,0.166,755028571,0.166,647346372,555100840
72,95968,1.455,27,0.833,11,1.0,6,0.5,3,2,2.15,14295514,1.643,4538133,3.376,1717117,1.807,392363,139793
73,95969,0.748,1715,1.271,981,0.618,432,1.119,267,126,0.89,1504778713,1.335,796008810,0.744,340924657,1.386,195447396,81903548
74,95973,0.844,225,0.298,122,0.106,94,0.181,85,72,0.588,158728111,0.414,99935836,0.243,70663374,0.387,56867242,40988939
75,95222,0.351,539,0.494,399,0.203,267,0.168,222,190,0.438,436127544,0.598,303190423,0.262,189735095,0.305,150291153,115181426
