ZIP Code,2018,2019,2020,2021,2022,2023,Pct Premium Increase 18-21
90063,528144.7142857143,561387.2857142857,621607.1428571428,684814.8571428572,768877.5714285715,851608.8571428572,0.228777371318713
90064,1569721.1666666667,1708752.8333333333,1918889.3333333333,2036929.0,2203647.1666666665,2448478.6666666665,0.22936873761104745
90065,1121760.2857142857,1224317.5714285714,1372518.0,1763413.3333333333,1969989.6666666667,2201266.8333333335,0.3638699081435139
90066,1568185.4285714286,1709479.142857143,1924365.7142857143,2070298.7142857143,2257679.1428571427,2509708.1428571427,0.2425318057966928
90067,450100.1666666667,485054.5,588352.1666666666,527307.0,670374.8,691393.0,0.14641723575323923
90068,2366495.0,2582376.8333333335,3009428.5,3274858.3333333335,3688489.1666666665,4038503.0,0.27737484827587966
90069,2210073.0,2366080.8333333335,2771401.6666666665,2820323.1666666665,2928601.6666666665,3097039.1666666665,0.21637597204433837
90071,1417.5,827.5,797.0,1358.0,1295.8,1440.75,-0.04381443298969072
90073,474.0,419.0,312.0,531.0,952.0,894.0,0.10734463276836158
90077,3074195.0,3170725.0,4044926.6666666665,4015496.8333333335,3987276.8333333335,4013333.6666666665,0.23441727696543657
90089,3142.0,4336.5,3748.5,3844.5,3146.6666666666665,7406.0,0.1827285732865132
90094,427131.0,478789.4,540847.8,552390.2,508389.0,565462.5,0.22675854857671254
90095,1091.0,922.5,738.5,826.0,1117.5,1329.0,-0.32082324455205813
90201,624529.0,660429.7142857143,729890.7142857143,796808.0,883241.1428571428,997279.7142857143,0.2162114336201444
90210,6684902.571428572,7176974.142857143,8876224.0,8676191.42857143,8324102.714285715,9516714.666666666,0.22951186284172745
90211,467076.0,505158.1666666667,580102.5,594255.8333333334,646948.8333333334,709778.6666666666,0.21401528802830436
90212,736518.3333333334,788470.3333333334,899552.8333333334,929067.3333333334,992559.8333333334,1085718.1666666667,0.20724977952799975
90220,762118.0,818710.0,911646.5714285715,1000492.2857142857,1100997.0,1224820.2857142857,0.23825699519922047
90221,604261.0,643910.8571428572,707485.4285714285,760085.1428571428,830773.5714285715,935191.5714285715,0.20500879976604122
90222,460252.0,486353.8333333333,526572.5,576947.1666666666,626334.8333333334,699344.5,0.20226317661091434
90230,914357.7142857143,974814.8571428572,1071052.857142857,1153805.2857142857,1260229.4285714286,1389915.7142857143,0.2075285790360517
90232,548610.5,596865.1666666666,673541.1666666666,721570.6666666666,795094.1666666666,880541.8333333334,0.239699553566479
90240,630800.5714285715,675075.7142857143,739167.8571428572,798531.7142857143,882917.7142857143,977071.1428571428,0.21004944431941336
90241,769943.0,825657.0,908643.7142857143,975780.1428571428,1064527.142857143,1174263.7142857143,0.21094623042280747
90242,633253.1428571428,672198.7142857143,736563.2857142857,788062.1428571428,863925.8571428572,951121.8571428572,0.1964426300681509
90245,500044.85714285716,547504.0,606261.7142857143,757888.5,832414.1666666666,910716.6666666666,0.34021316177398503
90247,680895.5714285715,729025.0,805978.0,878285.8571428572,969034.8571428572,1082428.5714285714,0.22474492115404662
90248,237947.7142857143,252677.57142857142,273188.5714285714,297309.71428571426,333986.0,373599.71428571426,0.19966384261145656
90249,513406.5714285714,547925.4285714285,604794.8571428572,657122.1428571428,717603.0,786228.7142857143,0.2187045026419311
90250,1210003.7142857143,1304977.7142857143,1448429.4285714286,1557165.5714285714,1699360.142857143,1867500.2857142857,0.22294472952183536
90254,972330.1428571428,1075549.7142857143,1234017.142857143,1307082.7142857143,1451987.2857142857,1604779.5714285714,0.2561066470927242
90255,638007.0,677411.1666666666,743776.3333333334,820502.6666666666,914775.3333333334,878350.1428571428,0.22241934618940906
90260,511708.28571428574,546846.7142857143,609013.5714285715,655903.7142857143,720044.8571428572,783870.0,0.21984237233426684
90261,462.0,398.0,321.0,327.0,357.0,357.0,-0.41284403669724773
90262,599088.4285714285,634138.1428571428,690176.7142857143,745148.0,814399.2857142857,908220.4285714285,0.19601417628252574
90263,10425.0,6836.8,29566.75,1355.0,1628.0,1957.5,-6.693726937269373
90265,4897017.428571428,3931480.8571428573,4475692.571428572,4431218.714285715,4780150.857142857,5346231.428571428,-0.10511751829898054
90266,2815410.8333333335,3094691.0,3619395.8333333335,3790168.8333333335,4147731.5,4553372.0,0.2571806277934936
90270,218011.66666666666,231515.0,251575.0,277076.0,309945.8333333333,345891.0,0.21317015307472803
90272,3555526.8571428573,3850006.285714286,4628445.142857143,4759315.714285715,5361979.285714285,6035304.142857143,0.25293317976984087
90274,2658245.0,2933690.0,3391965.1666666665,3037001.714285714,3893965.0,4314269.5,0.1247140271617514
