,ZIP Code,New,Renewed,Expiring,Insured-Initiated Nonrenewed,Insurer-Initiated Nonrenewed,Pct NonRenewed,Pct NonRenewed Owner,Pct NonRenewed Company
212,91355,5803,48291,54074,5081,702,0.10694603691237933,0.0939638273477087,0.012982209564670636
213,91356,6332,36105,42306,4645,1556,0.1465749539072472,0.1097953009029452,0.03677965300430199
214,91360,7796,71847,79498,6453,1198,0.09624141487836171,0.08117185337995925,0.015069561498402476
215,91361,4983,36244,41112,3884,984,0.11840825063241876,0.09447363300252967,0.023934617629889084
216,91362,8009,59106,66971,6270,1595,0.11743889146048289,0.09362261277269265,0.023816278687790238
217,91364,8608,51428,59785,6468,1889,0.13978422681274566,0.10818767249310028,0.0315965543196454
218,91367,8112,54400,62335,6611,1324,0.12729606160263093,0.10605598780781263,0.02124007379481832
219,91377,2862,22725,25499,2188,586,0.10878857994431154,0.08580728656025727,0.022981293384054278
220,91381,4240,27003,31055,3279,773,0.13047818386733215,0.10558686201899856,0.024891321848333602
221,91384,5445,37570,42988,3902,1516,0.12603517260630873,0.09076951707453243,0.03526565553177631
222,91387,7623,45286,52203,5178,1739,0.1325019634886884,0.09918970174127924,0.03331226174740915
223,91390,4778,31639,36289,3358,1292,0.12813800325167407,0.09253492793959602,0.03560307531207804
224,91401,5372,36934,42089,4282,873,0.12247855734277364,0.10173679583739219,0.020741761505381453
225,91402,4821,36060,40569,3539,970,0.1111439769281964,0.08723409499864429,0.02390988192955212
226,91403,4364,28174,32485,3422,889,0.13270740341696166,0.10534092658149916,0.027366476835462523
227,91405,4785,29449,33820,3513,858,0.12924305144884685,0.10387344766410408,0.025369603784742754
228,91406,7307,53139,59972,5720,1113,0.11393650370172748,0.09537784299339692,0.018558660708330555
229,91411,2210,16550,18683,1795,338,0.11416796017770166,0.09607664721939731,0.01809131295830434
230,91423,4788,34804,39526,3776,946,0.1194656681677883,0.09553205484997217,0.02393361331781612
231,91436,4741,30685,35338,3539,1114,0.13167128869771916,0.10014715037636539,0.031524138321353784
232,91501,2234,18022,20096,1703,371,0.1032046178343949,0.08474323248407643,0.018461385350318472
233,91502,325,3135,3471,276,60,0.09680207433016422,0.07951598962834917,0.01728608470181504
234,91504,3688,32611,36072,2837,624,0.09594699489909071,0.0786482590374806,0.017298735861610112
235,91505,4995,51818,56630,4192,620,0.08497262934840191,0.07402436870916475,0.010948260639237154
236,91506,3361,33510,36694,2767,417,0.08677167929361748,0.07540742355698479,0.011364255736632693
237,91601,3347,24722,28003,2730,551,0.11716601792665071,0.09748955469056887,0.019676463236081847
238,91602,2288,16285,18498,1841,372,0.11963455508703644,0.09952427289436695,0.020110282192669478
239,91604,5590,38099,43677,4323,1255,0.12771023650891775,0.09897657806168006,0.028733658447237676
240,91605,6254,44024,49937,4582,1331,0.1184091955864389,0.09175561207120972,0.026653583515229187
241,91606,4795,35750,40262,3622,890,0.11206596791018826,0.08996075704137897,0.0221052108688093
242,91607,3736,26237,29833,3024,572,0.12053765963865518,0.10136426105319613,0.019173398585459054
243,91701,9449,73755,82876,7668,1453,0.11005598725807231,0.0925237704522419,0.0175322168058304
244,91702,7365,63454,70044,5343,1247,0.09408371880532237,0.07628062360801782,0.017803095197304553
245,91706,8825,77073,85160,6540,1547,0.09496242367308595,0.07679661813057774,0.01816580554250822
246,91708,3673,10919,13338,2183,236,0.18136152346678663,0.16366771629929525,0.017693807167491377
247,91709,18958,126114,144367,14419,3834,0.1264347115337993,0.09987739580375017,0.02655731573004911
248,91710,15558,112205,126282,11839,2238,0.11147273562344594,0.09375049492405885,0.017722240699387087
249,91711,5978,56236,61982,4800,946,0.09270433351618211,0.07744183795295409,0.015262495563228035
250,91722,5561,49975,55225,4338,912,0.09506564056133997,0.07855138071525578,0.016514259846084203
251,91723,2205,21593,23624,1711,320,0.08597189299017947,0.07242634608872334,0.013545546901456146
252,91724,4615,38151,42446,3507,788,0.10118739103802478,0.08262262639589125,0.018564764642133535
253,91730,9762,72050,81477,7826,1601,0.11570136357499662,0.09605164647691987,0.01964971709807676
254,91731,2637,25494,27966,1970,502,0.08839304870199528,0.07044268039762569,0.017950368304369593
255,91732,6808,55541,61801,4947,1313,0.10129285933884564,0.08004724842640086,0.02124561091244478
256,91733,4023,36678,40445,2889,878,0.09313883051056991,0.07143033749536408,0.021708493015205835
257,91737,5899,41399,47125,4637,1089,0.12150663129973475,0.09839787798408488,0.023108753315649867
