zipcode,State,CountyName,City,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
93274,CA,Tulare County,Tulare,171651.24014843671,184567.86934971123,204273.50114615317,216924.25129329247,228131.04851518827,242338.40948751525,285576.8336748925,329916.48697729484,332421.51556976954,344816.1101907481,351264.5037425273
91335,CA,Los Angeles County,Los Angeles,392578.60101296444,415090.45962466596,458602.2052920174,525054.8298862805,551451.187359551,589809.5766828606,693099.2498408713,782010.9473128095,775549.9227201467,822858.1363039431,837780.8301030021
94533,CA,Solano County,Fairfield,300517.61791125487,334229.13322859,371592.14392186265,410977.1813313851,422665.0392361518,438795.7701917747,507993.7320708344,564218.2904982744,541501.7148873011,559432.4585163206,557833.4866588523
93536,CA,Los Angeles County,Lancaster,261851.69721264803,283466.3147853062,312374.1225146842,348708.69915577193,365416.7046330249,391154.7836008685,475525.1664213158,539273.5571359267,524443.4090637552,546603.4971927324,554829.9334099044
91709,CA,San Bernardino County,Chino Hills,541729.6910683083,548414.3428280554,595962.1111842137,654202.4014962555,656217.911545785,665606.1070805618,757387.9740902634,885938.6112522647,893849.6227998597,966053.6067305799,997839.6953130532
91910,CA,San Diego County,Chula Vista,430102.8335572028,465527.7707264537,495815.84828396863,521223.17726482084,535059.7292605614,567683.7034865336,661987.120321885,755758.6064260922,764918.2533071245,834282.4757878076,839291.9598544281
94513,CA,Contra Costa County,Brentwood,490449.24900900415,532820.11161974,565569.9328005688,604295.565690735,620600.9238456058,642916.7436261039,772939.1123433196,874684.1129549503,821126.9762943978,841078.540015387,845592.4765340785
93727,CA,Fresno County,Fresno,212286.29498187886,228048.30081010374,247266.37315349435,270390.4145424679,285177.1057659835,301521.66337040474,353586.425131809,409764.3129691546,407176.33453208813,426260.71661529044,431308.45284173964
91706,CA,Los Angeles County,Baldwin Park,358582.9045864441,375508.2301569474,413607.66131221433,472103.8337990329,494409.35050707654,523284.702742818,597147.0655560055,680759.434915891,684092.2184368989,725546.7221570014,738567.1929057058
90003,CA,Los Angeles County,Los Angeles,271035.82586275827,295486.5549781486,340689.72224658175,401705.9741380552,440537.5289321094,476680.3434029143,538202.8757370786,593233.2879619255,602243.5129189763,629274.8142677912,631653.2355337805
92126,CA,San Diego County,San Diego,476614.7247070596,509595.54818644264,549363.9915964602,591813.1163415835,605963.3102189777,647459.7667962593,765064.9662722797,921027.289138877,930602.3200430503,1046872.5210578735,1058075.9939422472
