,ZIP Code,Voluntary Market Units,FAIR Plan Units,Total Ins Units,Pct Market,Pct FAIR
105,90404,1527,49,1576,0.9689086294416244,0.031091370558375634
106,90405,4519,81,4600,0.9823913043478261,0.017608695652173913
107,90501,7456,115,7571,0.9848104609694889,0.015189539030511161
108,90502,3101,42,3143,0.9866369710467706,0.013363028953229399
109,90503,8079,18,8097,0.9977769544275658,0.002223045572434235
110,90504,7610,18,7628,0.9976402726796014,0.0023597273203985318
111,90505,8317,20,8337,0.9976010555355643,0.0023989444644356484
112,90601,6934,264,7198,0.9633231453181439,0.03667685468185607
113,90602,4221,149,4370,0.9659038901601831,0.03409610983981693
114,90603,5656,40,5696,0.9929775280898876,0.007022471910112359
115,90604,8428,96,8524,0.9887376818395119,0.011262318160488035
116,90605,8419,235,8654,0.9728449272012942,0.0271550727987058
117,90606,6653,208,6861,0.969683719574406,0.030316280425593936
118,90620,10826,20,10846,0.9981560022127973,0.0018439977872026553
119,90621,3863,19,3882,0.9951056156620299,0.004894384337970119
120,90623,3701,7,3708,0.9981121898597627,0.0018878101402373248
121,90630,10692,22,10714,0.997946611909651,0.002053388090349076
122,90631,12999,274,13273,0.9793565885632487,0.0206434114367513
123,90638,11870,64,11934,0.9946371711077593,0.005362828892240657
124,90640,9964,335,10299,0.967472570152442,0.03252742984755801
125,90650,18990,394,19384,0.9796739579034255,0.020326042096574494
126,90660,12090,421,12511,0.9663496123411398,0.033650387658860206
127,90670,3091,42,3133,0.9865943185445261,0.013405681455473986
128,90680,3591,9,3600,0.9975,0.0025
129,90701,3291,73,3364,0.9782996432818074,0.021700356718192627
130,90703,12978,48,13026,0.9963150621833257,0.0036849378166743437
131,90704,319,234,553,0.5768535262206148,0.4231464737793852
132,90706,11561,239,11800,0.9797457627118644,0.020254237288135593
133,90710,4550,72,4622,0.9844223279965383,0.015577672003461706
134,90712,9203,36,9239,0.9961034744019915,0.0038965255980084423
135,90713,9087,28,9115,0.9969281404278661,0.003071859572133845
136,90715,3507,73,3580,0.979608938547486,0.020391061452513966
137,90716,1791,91,1882,0.9516471838469713,0.048352816153028694
138,90717,4433,72,4505,0.9840177580466148,0.01598224195338513
139,90720,5821,4,5825,0.9993133047210301,0.0006866952789699571
140,90723,6515,304,6819,0.9554186830913624,0.04458131690863763
141,90731,10801,272,11073,0.9754357446039917,0.02456425539600831
142,90732,4622,15,4637,0.9967651498813889,0.003234850118611171
143,90740,4741,6,4747,0.9987360438171476,0.0012639561828523278
144,90742,303,4,307,0.9869706840390879,0.013029315960912053
145,90743,139,2,141,0.9858156028368794,0.014184397163120567
146,90744,7110,412,7522,0.9452273331560755,0.05477266684392449
147,90745,10390,175,10565,0.9834358731661146,0.01656412683388547
148,90746,6957,144,7101,0.9797211660329531,0.020278833967046894
149,90755,1750,27,1777,0.9848058525604952,0.015194147439504783
150,90802,2178,91,2269,0.9598942265315117,0.04010577346848832
151,90803,7672,34,7706,0.9955878536205555,0.004412146379444588
152,90804,4669,168,4837,0.9652677279305355,0.03473227206946455
153,90805,14700,531,15231,0.9651368918652747,0.034863108134725235
154,90806,6220,310,6530,0.9525267993874426,0.04747320061255743
155,90807,7113,68,7181,0.9905305667734299,0.009469433226570116
156,90808,12915,20,12935,0.9984538074990337,0.0015461925009663702
157,90810,6372,208,6580,0.9683890577507599,0.031610942249240125
158,90813,4295,399,4694,0.9149978696207925,0.0850021303792075
159,90814,3728,48,3776,0.9872881355932204,0.012711864406779662
160,90815,10746,19,10765,0.9982350209010683,0.0017649790989317231
161,91001,10591,668,11259,0.9406696864730438,0.05933031352695621
162,91006,8204,133,8337,0.984047019311503,0.01595298068849706
163,91007,5662,76,5738,0.9867549668874173,0.013245033112582781
164,91008,278,89,367,0.7574931880108992,0.24250681198910082
165,91010,5157,159,5316,0.9700902934537246,0.029909706546275394
166,91011,6113,377,6490,0.9419106317411402,0.05808936825885978
167,91016,9091,299,9390,0.968157614483493,0.03184238551650692
168,91020,1144,39,1183,0.967032967032967,0.03296703296703297
170,91024,3151,324,3475,0.9067625899280576,0.09323741007194244
171,91030,5019,150,5169,0.9709808473592572,0.02901915264074289
172,91040,5510,428,5938,0.9279218592118559,0.07207814078814416
173,91042,5967,698,6665,0.8952738184546136,0.10472618154538635
174,91101,829,62,891,0.9304152637485971,0.06958473625140292
175,91103,4712,300,5012,0.9401436552274541,0.05985634477254589
176,91104,8704,253,8957,0.9717539354694652,0.028246064530534777
177,91105,2921,157,3078,0.9489928525016245,0.051007147498375566
178,91106,3449,84,3533,0.9762241720917068,0.023775827908293235
179,91107,8914,263,9177,0.9713413969706876,0.02865860302931241
180,91108,4311,49,4360,0.9887614678899083,0.011238532110091744
