ZIP,Median_Income_2017,Median_Income_2018,Median_Income_2019,Median_Income_2020,Median_Income_2021,Median_Income_2022,Median_Income_2023
91914,131486,133730,131563,136833,150284,162889,164398
91915,106452,112083,115435,125864,128839,136297,138283
91916,87344,98235,96429,89531,109861,115324,110833
91932,49950,51838,53690,59795,68917,75731,79071
91935,98668,100534,103155,106735,114746,130290,138953
91941,79001,86791,88225,94111,100224,107055,111607
91942,56645,61628,64090,66551,72145,80996,81262
91945,60739,62698,64027,67236,71294,77989,79381
91950,42942,45712,46708,48359,51300,59414,63858
91962,104760,107390,109506,130938,138775,126833,140270
91977,60986,64173,66147,71396,76902,86189,92407
91978,68206,72933,76660,84266,82885,95541,111506
92003,70817,77208,80844,89201,98304,106813,110577
92004,39514,38856,49744,61809,83676,75128,71582
92007,105469,106811,111901,107778,124219,151406,165063
92008,81073,85980,84671,86046,89502,101897,105371
92009,120090,126348,138078,138138,149820,163402,162128
92010,101402,102095,102004,102793,108398,117340,120612
92011,110505,114691,116382,115301,121353,141739,154985
92014,128679,140625,155531,162305,178080,203520,194528
92019,80791,82261,86741,85067,89937,93732,99266
92020,52264,55666,59151,61830,64691,71400,72822
92021,54154,56863,58414,60510,63395,68093,69979
92024,103417,114131,116616,125458,133304,141329,149080
92025,55703,60042,58273,56866,58608,66894,71716
92026,67122,71597,75868,76534,83194,86579,97301
92027,60802,63904,65989,70009,74690,80260,86106
92028,64801,69620,74708,80775,87754,96160,102346
92029,85363,90278,95273,96690,98848,110456,120038
92036,53750,52451,56284,64861,64545,72500,71875
92037,107094,105904,109194,113676,125636,136601,141822
92040,70513,74918,79803,83692,88820,95952,103585
92054,56170,60017,63404,63355,64694,68713,76974
92056,70636,77751,81583,85047,90777,97736,102570
92057,66844,72633,75687,81339,91298,100066,106421
92058,43992,46010,52591,57213,61636,68576,72479
92059,90203,94399,96806,96500,87486,94579,96399
92061,41841,44325,44423,43787,78162,88750,92500
92064,102292,105788,108030,115391,119838,135943,144201
92065,83382,89750,98366,100645,103743,120683,120550
92067,130769,163281,174107,212188,216781,245427,238397
92069,65485,69625,71488,77618,80429,86156,93065
92070,43333,47583,55417,52500,75417,76000,83750
92071,81716,83712,87334,85751,93043,101906,105603
92075,103608,105027,106934,104201,111500,128000,146210
92078,74094,79673,85335,91564,97908,107894,114905
92081,66397,76134,82989,80584,90621,99153,102663
92082,81857,83788,95889,94067,103509,111716,118602
92083,56215,63262,67693,68551,73204,80160,82614
92084,61584,66099,73645,77970,85150,94768,97410
92086,33173,37333,41083,38152,48750,54167,68224
