ZIP,DATE,DISASTER
92536,2024,Fire
92539,2024,Fire
92543,2024,Fire
92544,2024,Fire
92545,2024,Fire
92546,2024,Fire
92548,2024,Fire
92549,2024,Fire
92562,2024,Fire
92563,2024,Fire
92564,2024,Fire
92567,2024,Fire
92570,2024,Fire
92571,2024,Fire
92572,2024,Fire
92584,2024,Fire
92589,2024,Fire
92590,2024,Fire
92591,2024,Fire
92592,2024,Fire
92593,2024,Fire
92595,2024,Fire
92596,2024,Fire
92599,2024,Fire
92860,2024,Fire
92877,2024,Fire
92878,2024,Fire
92879,2024,Fire
92880,2024,Fire
92881,2024,Fire
92882,2024,Fire
92883,2024,Fire
95422,2024,Fire
95426,2024,Fire
95435,2024,Fire
95443,2024,Fire
95451,2024,Fire
95453,2024,Fire
95458,2024,Fire
95461,2024,Fire
95464,2024,Fire
90201,2024,Fire
90220,2024,Fire
90221,2024,Fire
90222,2024,Fire
90223,2024,Fire
90224,2024,Fire
90239,2024,Fire
90240,2024,Fire
90241,2024,Fire
90242,2024,Fire
90247,2024,Fire
90248,2024,Fire
90249,2024,Fire
90250,2024,Fire
90251,2024,Fire
90260,2024,Fire
90261,2024,Fire
90262,2024,Fire
90263,2024,Fire
90264,2024,Fire
90265,2024,Fire
90270,2024,Fire
90290,2024,Fire
90291,2024,Fire
90294,2024,Fire
90301,2024,Fire
90302,2024,Fire
90303,2024,Fire
90304,2024,Fire
90305,2024,Fire
90306,2024,Fire
90307,2024,Fire
90308,2024,Fire
90309,2024,Fire
90310,2024,Fire
90311,2024,Fire
90312,2024,Fire
90313,2024,Fire
90397,2024,Fire
90398,2024,Fire
90501,2024,Fire
90502,2024,Fire
90503,2024,Fire
90504,2024,Fire
90505,2024,Fire
90506,2024,Fire
90507,2024,Fire
90508,2024,Fire
90509,2024,Fire
90510,2024,Fire
90601,2024,Fire
90602,2024,Fire
90603,2024,Fire
90604,2024,Fire
90605,2024,Fire
90606,2024,Fire
90607,2024,Fire
90608,2024,Fire
90609,2024,Fire
90610,2024,Fire
90612,2024,Fire
90640,2024,Fire
90650,2024,Fire
90651,2024,Fire
90652,2024,Fire
90659,2024,Fire
90701,2024,Fire
90702,2024,Fire
90703,2024,Fire
90704,2024,Fire
90706,2024,Fire
90707,2024,Fire
90711,2024,Fire
90712,2024,Fire
90713,2024,Fire
90714,2024,Fire
90715,2024,Fire
90717,2024,Fire
90723,2024,Fire
90744,2024,Fire
90745,2024,Fire
90746,2024,Fire
90747,2024,Fire
90748,2024,Fire
90749,2024,Fire
90895,2024,Fire
91001,2024,Fire
91003,2024,Fire
91006,2024,Fire
91007,2024,Fire
91009,2024,Fire
91010,2024,Fire
91016,2024,Fire
91017,2024,Fire
91020,2024,Fire
91021,2024,Fire
91040,2024,Fire
91041,2024,Fire
91042,2024,Fire
91043,2024,Fire
91066,2024,Fire
91077,2024,Fire
91101,2024,Fire
91102,2024,Fire
91103,2024,Fire
91104,2024,Fire
91105,2024,Fire
91106,2024,Fire
91107,2024,Fire
91109,2024,Fire
91110,2024,Fire
91114,2024,Fire
91115,2024,Fire
91116,2024,Fire
91117,2024,Fire
91121,2024,Fire
91123,2024,Fire
91124,2024,Fire
91125,2024,Fire
91126,2024,Fire
91129,2024,Fire
91131,2024,Fire
91182,2024,Fire
91184,2024,Fire
91185,2024,Fire
91188,2024,Fire
91189,2024,Fire
91191,2024,Fire
91199,2024,Fire
91201,2024,Fire
91202,2024,Fire
91203,2024,Fire
91204,2024,Fire
91205,2024,Fire
91206,2024,Fire
91207,2024,Fire
91208,2024,Fire
91209,2024,Fire
