ZIP,Median_Income_ACSST5Y2017,Median_Income_ACSST5Y2018,Median_Income_ACSST5Y2019,Median_Income_ACSST5Y2020,Median_Income_ACSST5Y2021,Median_Income_ACSST5Y2022,Median_Income_ACSST5Y2023
93920,53125.0,53690,57353,46429,65026,70573,72540
93923,92778.0,95644,99955,108424,107255,120972,122500
93924,96458.0,103426,101761,127813,141250,158261,162656
93925,55729.0,53222,50750,50987,56563,59000,70909
93926,52298.0,57246,65566,70057,74167,76301,77418
93927,51987.0,55788,58766,63696,66786,72873,77272
93930,42614.0,48141,54605,57007,64762,75337,72555
93932,34583.0,37273,37159,75446,57054,93672,95774
93933,61300.0,64921,66711,73856,80360,89507,92625
93940,77240.0,81807,85503,85765,91165,103946,110669
93950,81000.0,81710,88326,89088,92980,102553,105568
93953,130833.0,138542,145938,143750,138917,145250,154730
93954,57500.0,58500,56818,56111,68750,63000,54450
93955,57667.0,61445,63832,68772,73866,80106,82331
93960,54775.0,58981,63604,65108,64821,79063,92504
93962,90658.0,117593,120385,-,-,-,-
94002,125546.0,134529,155473,159599,175694,184929,204573
94005,109632.0,110372,112016,114583,122202,137583,151593
94010,135283.0,144281,152388,158316,172009,186198,191758
94014,85622.0,88942,90970,98879,101168,111795,115513
94015,86940.0,90972,95541,100208,106742,117289,123552
94019,119832.0,122959,136758,140460,137601,149655,153272
94020,92386.0,116705,139219,183642,191915,"250,000+","250,000+"
94022,208984.0,216042,223859,"250,000+","250,000+","250,000+","250,000+"
94024,220970.0,237454,"250,000+",247604,"250,000+","250,000+","250,000+"
94025,139833.0,151279,161827,169352,183750,207656,215871
94028,244671.0,220625,234091,221667,"250,000+",243516,"250,000+"
94030,109813.0,120533,128494,126319,141399,146649,157567
94037,104607.0,90066,93167,167888,165722,184692,201367
94038,136328.0,144327,120438,110448,116773,116950,128333
94040,120028.0,129188,139278,139717,153275,175147,184494
94041,121650.0,129444,139818,149291,160328,169479,168980
94043,118355.0,125916,138232,145994,159898,174416,180781
94044,106959.0,115602,125500,130327,138381,151680,156658
94061,99230.0,105513,112609,119370,131140,139810,141599
94062,146450.0,158269,178480,184479,203000,230391,233333
94063,64720.0,71458,77166,80313,94028,107734,115528
94065,160313.0,161719,172663,173760,181975,201125,213361
94066,94657.0,102081,109387,112933,117747,131669,135976
94070,153291.0,172048,185459,190872,205912,220323,235373
94080,92089.0,96927,105600,106352,113008,126916,135966
94085,103595.0,116332,127774,150915,153003,168250,183563
94086,118576.0,129112,139847,145103,162017,171265,180217
94087,137652.0,153036,160907,168228,178128,196611,200778
94089,101869.0,112750,119054,130164,136983,149270,153725
94102,33552.0,41835,46372,53539,55888,62388,64781
94103,49052.0,57015,75764,87587,93143,111028,122339
94104,48429.0,52679,51500,56944,42591,47386,49896
94105,199364.0,213009,213987,"250,000+",244662,"250,000+",239781
94107,143467.0,150451,166985,166430,164289,176788,186123
94108,55341.0,62173,63263,64908,65392,68768,63864
94109,79979.0,88593,94278,98567,104476,108691,112201
94110,109747.0,123576,134592,138890,143938,152115,152403
94111,99464.0,110455,120905,141230,135735,164107,131343
94112,82692.0,89355,94757,105340,112795,120731,130906
94114,143902.0,155551,162193,162529,169459,184671,196528
94115,103625.0,114819,123037,125550,138023,149927,154264
94116,101746.0,107619,116089,119800,134652,145931,152587
94117,132979.0,152071,170211,167807,174419,190444,175096
94118,102021.0,110216,121644,132201,139043,157143,159550
94121,87001.0,95036,103151,107158,116970,132519,138353
94122,102838.0,109607,122076,122144,130708,141760,145717
94123,134809.0,148276,162206,179143,194098,211854,222689
94124,55823.0,56607,63267,67094,66618,76341,82928
94127,151094.0,158162,172713,176025,180768,200082,205429
94129,190167.0,184035,196917,198194,218717,236445,236190
94130,52143.0,59063,54375,59211,83077,96000,91750
94131,119924.0,137762,151607,172785,181329,196571,198779
94132,72970.0,74187,84349,82557,93995,104537,118557
94133,66422.0,66811,69756,68423,71063,77652,83025
94134,71352.0,76229,77983,82810,93068,104247,107566
94158,133981.0,153077,156856,160236,161391,180208,184294
94301,146488.0,153733,159148,169270,184932,217611,235529
94303,98361.0,103680,105763,120754,133686,144259,148031
94304,103648.0,127731,130227,143412,152772,159637,162569
94305,61173.0,54653,60000,62515,67224,72500,72470
94306,125553.0,142438,143606,167043,185588,199800,186479
94401,81608.0,89176,93850,94334,104260,117678,121258
94402,140186.0,155078,169086,163442,170688,184453,179683
94403,112935.0,123968,134875,139631,151369,171213,179825
94404,134056.0,143109,149836,155789,166203,182699,182417
94501,81626.0,89769,94991,96014,101705,116596,119500
94502,122368.0,140463,154437,161518,190174,207823,194821
94503,91802.0,98247,101865,108638,118143,122500,123657
94505,114886.0,114977,130013,128865,138339,147292,154063
94506,186378.0,205121,212739,200726,223362,246132,"250,000+"
94507,202336.0,226450,237841,"250,000+","250,000+","250,000+","250,000+"
94508,80795.0,87422,89531,111750,111917,113036,116534
94509,58823.0,60821,64502,68224,71905,78637,81512
94510,95291.0,98940,103163,106739,118228,124099,125222
94511,36167.0,38801,33583,62019,80227,85870,78393
94513,96827.0,103128,108243,112302,124673,133930,139736
94514,72875.0,68958,69934,82538,80000,72445,97946
94515,68603.0,84000,85417,85263,84676,102557,97202
94517,140361.0,143591,150032,145426,144097,156870,164860
94518,84896.0,93085,95875,95961,105222,111186,111406
94519,79390.0,85906,96540,105774,111850,118587,123366
94520,52082.0,57252,60652,68756,71846,77927,79790
94521,94637.0,97011,106938,104141,112030,121368,127312
94523,100889.0,109161,117568,124375,130277,136787,142622
94525,79886.0,74534,79681,89630,95099,93333,101850
94526,141761.0,142426,152727,163801,174350,202697,216974
94530,96192.0,99954,107006,107621,115789,119761,127731
94531,93466.0,97104,104646,104275,106570,115300,123428
94533,62612.0,67442,73042,75544,79259,84907,85990
94534,105033.0,110761,114537,115561,121478,132382,139349
94535,60741.0,64888,70230,70943,74821,79418,83525
94536,112587.0,116609,121696,132568,139636,152076,156672
94538,101065.0,106139,112473,119206,130947,143146,144451
94539,160542.0,170358,177836,188596,200046,219913,235399
94541,67819.0,74552,80448,82690,92270,96176,106556
94542,103018.0,108438,121354,115956,121563,132747,131989
94544,70207.0,74896,82520,89657,95744,103039,108358
94545,84579.0,83132,91310,88764,100248,102220,115258
94546,85492.0,91513,97179,101445,111570,117808,125780
94547,107221.0,110476,117018,110669,114124,125880,130583
94548,105329.0,109453,104773,150492,140417,166597,183100
94549,155225.0,159583,178056,185950,190250,221148,231195
94550,114930.0,128466,139387,150061,158887,171388,177218
94551,108729.0,113305,118967,119087,116269,128356,130705
94552,133321.0,151667,162583,180681,183578,204260,205170
94553,89703.0,96997,103728,106557,110971,118704,121023
94555,132823.0,142135,147358,161175,177333,202832,213488
94556,139904.0,150372,141366,152965,167500,193750,199300
94558,83491.0,88765,93052,97759,102244,110397,109444
94559,68725.0,73408,76961,76960,85149,94599,100559
94560,96817.0,108181,116856,127619,144011,159465,164909
94561,88795.0,93515,104089,102911,109410,119646,130859
94563,185066.0,208640,222930,231373,"250,000+","250,000+","250,000+"
94564,83534.0,90596,100240,105217,104275,113630,120833
94565,62255.0,67772,71629,78985,83703,92399,95035
94566,139628.0,153684,161204,163499,172403,187357,187721
94567,58375.0,57250,53125,53813,61477,61042,71250
94568,133769.0,140864,146103,148083,171168,191039,205046
94569,142905.0,153750,181116,-,-,-,-
94571,64694.0,66911,68226,68617,73547,80962,85212
94572,67175.0,69491,75142,78175,86150,92250,89074
94574,83720.0,89095,93587,104848,116322,130250,139779
94576,102188.0,-,-,-,66818,158125,165625
94577,67686.0,75121,78444,89219,97476,106695,110989
94578,52419.0,58120,66450,71758,74912,87120,89149
94579,78054.0,79907,88991,91201,92102,95398,94193
94580,85021.0,90946,96493,96581,99360,103364,110106
94582,149859.0,156824,175490,186021,186367,202775,211159
94583,137719.0,146696,152656,159414,161347,178212,184033
94585,74155.0,78750,82848,81683,86000,95109,96713
94586,116250.0,125568,133125,164063,174792,189464,198942
94587,95625.0,105448,114681,120772,127828,138013,137194
94588,136734.0,143903,153429,157203,162286,177016,186569
94589,59558.0,64860,68494,71715,76554,85373,91313
94590,44689.0,49558,53275,57254,60105,65340,66957
94591,78628.0,80888,85311,91380,95628,104567,107849
94592,120125.0,126389,127679,171000,148125,149583,122625
94595,66638.0,73783,76583,78874,84688,91734,98108
94596,88527.0,101259,109167,115938,125731,135422,137660
94597,98343.0,105370,111750,121067,133930,135960,142685
94598,128299.0,148313,154125,156280,166534,185995,188170
94599,71667.0,64545,69800,65962,69769,75245,79696
94601,44666.0,46830,50122,53433,54972,62825,66651
94602,78347.0,90661,95479,107208,115087,126412,124744
94603,49793.0,50742,52634,55692,60068,64656,71086
94605,66211.0,69087,72778,77939,83026,90685,101043
94606,48421.0,53108,56129,63188,67197,71442,70769
94607,41870.0,50149,55054,60181,66211,77701,87937
94608,68352.0,82753,87517,95716,106037,114286,116306
94609,73765.0,80026,86750,95693,99783,107242,106698
94610,87059.0,96681,100717,104919,117530,128304,130435
94611,120601.0,124483,129576,136538,147080,163837,176517
94612,42880.0,51006,55291,59773,65536,76953,77069
94618,133125.0,156116,167606,169856,172454,202297,205552
94619,82994.0,85855,94490,106875,113554,130876,129879
94621,34566.0,38591,42563,40813,47003,53509,53106
94702,77699.0,78289,82076,85357,86058,98873,99135
94703,75181.0,77259,83074,87114,95125,99901,108922
94704,26758.0,31379,38125,46735,46913,51696,52105
94705,116250.0,121219,125104,139029,143533,157221,163254
94706,89425.0,91588,100461,107669,115712,125410,136961
94707,143297.0,149081,154184,161332,182603,186579,196591
94708,159046.0,160938,170139,192577,201099,218950,229004
94709,66028.0,71175,71859,75721,79808,84965,95223
94710,62524.0,67250,81907,97917,105729,116313,118007
94801,48822.0,51516,56582,66476,72456,72268,75786
94803,82788.0,85266,89851,96971,101696,111610,116075
94804,51918.0,55903,59089,63764,71824,79659,86430
94805,75843.0,78740,85813,89443,95534,101932,114191
94806,56605.0,59564,64403,68012,74867,82274,82818
94901,85889.0,87495,90440,99136,105706,113294,108837
94903,99071.0,102947,105783,106919,111423,131172,127464
94904,116469.0,129727,139500,135972,143338,158338,161875
94920,159423.0,166313,165807,197000,203717,216096,238304
94923,120250.0,86802,85069,66975,-,92283,-
94924,52375.0,59167,68250,86806,90481,99706,96442
94925,134902.0,147587,149439,153101,183661,210560,220771
94928,62894.0,66621,71824,78181,82894,93282,96622
94929,94375.0,117813,119706,171477,183229,202692,206793
94930,99803.0,105100,105219,109044,114811,129839,136341
94931,73154.0,76497,80186,85698,95131,98475,103105
94933,94107.0,79028,91384,109953,120000,116953,128561
94937,66500.0,82903,87273,74500,78077,61071,69464
94938,85250.0,88636,126429,110789,99688,111800,150250
94939,99980.0,107055,119158,136604,150179,156250,182743
94941,133462.0,145602,152125,166934,183882,206580,210217
94945,93765.0,106425,120020,120692,109544,115000,109750
94946,108750.0,103750,140625,112083,104375,125179,166875
94947,97628.0,102748,110274,111285,121833,121338,126690
94949,83164.0,89871,93580,96356,107547,112068,116101
94951,95272.0,94126,96699,96155,101197,110296,116093
94952,82619.0,84772,88848,92314,102238,110739,115097
94954,86953.0,90911,93849,95724,100668,108630,107564
94956,66289.0,68651,74926,76818,73558,76750,79241
94957,243214.0,"250,000+","250,000+","250,000+","250,000+","250,000+","250,000+"
94960,123861.0,130016,133381,148163,156169,172675,172332
94963,106170.0,116250,118272,146563,170938,215375,206375
