,ZIP,Avg_Percentage_2017_2023,Avg_Change_2017_2023,Total_Change_2017_2023
64,90065,45.857142857142854,-2.733333333333333,-16.4
65,90066,45.857142857142854,-2.733333333333333,-16.4
66,90067,45.857142857142854,-2.733333333333333,-16.4
67,90068,45.857142857142854,-2.733333333333333,-16.4
68,90069,45.857142857142854,-2.733333333333333,-16.4
69,90070,45.857142857142854,-2.733333333333333,-16.4
70,90071,45.857142857142854,-2.733333333333333,-16.4
71,90072,45.857142857142854,-2.733333333333333,-16.4
72,90073,45.857142857142854,-2.733333333333333,-16.4
73,90074,45.857142857142854,-2.733333333333333,-16.4
74,90075,45.857142857142854,-2.733333333333333,-16.4
75,90076,45.857142857142854,-2.733333333333333,-16.4
76,90077,45.857142857142854,-2.733333333333333,-16.4
77,90078,45.857142857142854,-2.733333333333333,-16.4
78,90079,45.857142857142854,-2.733333333333333,-16.4
79,90080,45.857142857142854,-2.733333333333333,-16.4
80,90081,45.857142857142854,-2.733333333333333,-16.4
81,90082,45.857142857142854,-2.733333333333333,-16.4
82,90083,45.857142857142854,-2.733333333333333,-16.4
83,90084,45.857142857142854,-2.733333333333333,-16.4
84,90086,45.857142857142854,-2.733333333333333,-16.4
85,90087,45.857142857142854,-2.733333333333333,-16.4
86,90088,45.857142857142854,-2.733333333333333,-16.4
87,90089,45.857142857142854,-2.733333333333333,-16.4
88,90090,45.857142857142854,-2.733333333333333,-16.4
89,90091,45.857142857142854,-2.733333333333333,-16.4
90,90093,45.857142857142854,-2.733333333333333,-16.4
91,90094,45.857142857142854,-2.733333333333333,-16.4
92,90095,45.857142857142854,-2.733333333333333,-16.4
93,90096,45.857142857142854,-2.733333333333333,-16.4
94,90099,45.857142857142854,-2.733333333333333,-16.4
95,90101,45.857142857142854,-2.733333333333333,-16.4
96,90102,45.857142857142854,-2.733333333333333,-16.4
97,90103,45.857142857142854,-2.733333333333333,-16.4
98,90134,45.857142857142854,-2.733333333333333,-16.4
99,90189,45.857142857142854,-2.733333333333333,-16.4
100,90201,45.857142857142854,-2.733333333333333,-16.4
101,90202,45.857142857142854,-2.733333333333333,-16.4
