"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"zip/90278","","90278","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",16799,"Housing Units"
"zip/90280","","90280","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",24316,"Housing Units"
"zip/90290","","90290","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2427,"Housing Units"
"zip/90291","","90291","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",16208,"Housing Units"
"zip/90292","","90292","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",15519,"Housing Units"
"zip/90293","","90293","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",7033,"Housing Units"
"zip/90301","","90301","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",12879,"Housing Units"
"zip/90302","","90302","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",11244,"Housing Units"
"zip/90303","","90303","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",7253,"Housing Units"
"zip/90304","","90304","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",7489,"Housing Units"
"zip/90305","","90305","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",6328,"Housing Units"
"zip/90401","","90401","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",5599,"Housing Units"
"zip/90402","","90402","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",5805,"Housing Units"
"zip/90403","","90403","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",14912,"Housing Units"
"zip/90404","","90404","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",11459,"Housing Units"
"zip/90405","","90405","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",15808,"Housing Units"
"zip/90501","","90501","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",15704,"Housing Units"
"zip/90502","","90502","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",6778,"Housing Units"
"zip/90503","","90503","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",18306,"Housing Units"
"zip/90504","","90504","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",12414,"Housing Units"
"zip/90505","","90505","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",15241,"Housing Units"
"zip/90506","","90506","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",0,"Housing Units"
"zip/90601","","90601","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",11113,"Housing Units"
"zip/90602","","90602","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",8357,"Housing Units"
"zip/90603","","90603","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",6630,"Housing Units"
"zip/90604","","90604","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",12167,"Housing Units"
"zip/90605","","90605","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",11421,"Housing Units"
"zip/90606","","90606","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",8886,"Housing Units"
"zip/90620","","90620","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",13620,"Housing Units"
"zip/90621","","90621","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",11108,"Housing Units"
"zip/90623","","90623","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",5036,"Housing Units"
"zip/90630","","90630","Count_HousingUnit","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",16677,"Housing Units"
