ZIP Code,Nonrenewed Policies (by Company),% Market Units,New Policies,Total Res Units,% Change - Expiring Policies,Nonrenewed Policies (by Owner),Renewed Policies,% Change - Nonrenewed Policies (by Owner),% Nonrenewed Policies (by Company),% Change - Earned Premiums,Housing Units,% Change - Renewed Policies,Voluntary Market Units,% Change - Nonrenewed Policies (by Company),% Change Median Income,% Change - New Policies,Earned Premium ($),% Nonrenewed Policies (by Owner),% Change - Zillow Home Value,Avg % White-only Pop,Avg Median Income,Fire Disasters 5y,% Change White-only Pop,Fire Disasters 10y,Median Gross Rent ($),Claims (Fire and Smoke),% Change - Losses (Fire and Smoke),Losses (Fire and Smoke) ($),Median Owner Cost ($),All Disasters 10y,% Change - Claims (Fire and Smoke),Zillow Home Value 2018 ($),Zillow Mean Home Value ($),Zillow Home Value 2020 ($),Zillow Home Value 2019 ($),Median Home Value - Census ($),Zillow Home Value 2021 ($),All Disasters 5y,All Disasters 1y,All Disasters 3y,Fire Disasters 1y,Fire Disasters 3y
93546,295.0,0.9198299423018524,1515.0,3293.0,0.1038611194253218,1263.0,12523.0,1.051282051282051,0.0209502166039343,0.3848779622237579,10636.0,0.0267396907216495,3029.0,1.4047619047619049,0.511104498183185,0.7004048582995952,33039222.0,0.0896953341382004,0.4724943708491613,81.41428571428571,74789.0,2.0,-11.200000000000005,3.0,1225.0,23.0,-0.4046400545888775,471822.0,1230.0,3.0,1.0,502967.8243,584744.549425,564698.3966,530694.6868,493800.0,740617.29,2.0,0.0,2.0,0.0,2.0
93550,1812.0,0.9868839685734692,9125.0,15401.0,0.0287269045811187,7237.0,55448.0,0.0552735476593344,0.0280943299688357,0.2570290743035797,24274.0,0.0107093082960463,15199.0,0.5276381909547738,0.6245576516713766,0.0928538916704597,48400374.0,0.1122067693070995,0.4459999380825217,45.85714285714285,50681.71428571428,8.0,-16.4,11.0,1308.0,1004.0,0.0280428133088117,16520023.0,526.0,17.0,0.6000000000000001,293665.0605,340929.4959,341324.1841,304089.0797,280900.0,424639.6593,11.0,1.0,7.0,0.0,5.0
93551,1874.0,0.9835154424303668,10272.0,15833.0,0.0354111972647903,8203.0,56766.0,0.1892473118279569,0.0280358451894738,0.3211346769603145,17663.0,-0.0004239683436969,15572.0,0.6376021798365124,0.2650066188889396,0.1715017064846415,79305572.0,0.1227204045300181,0.407570446272238,45.85714285714285,97569.14285714286,8.0,-16.4,11.0,1865.0,585.0,-0.8286765439681941,10293893.0,750.0,17.0,-0.1153846153846154,407787.6137,465270.30445,463155.4943,416148.3164,410900.0,573989.7934,11.0,1.0,7.0,0.0,5.0
93552,911.0,0.992375064399794,5473.0,9705.0,0.0448605823644407,4446.0,34563.0,-0.0069991251093612,0.0228206412825651,0.3001294217387564,11347.0,0.0366173664122138,9631.0,0.7135416666666667,0.4006137398534943,0.1627014581734458,33532545.0,0.1113727454909819,0.4483279065076999,45.85714285714285,71392.57142857143,8.0,-16.4,11.0,1662.0,744.0,0.0657900599800682,8246674.0,641.0,17.0,0.358974358974359,323604.6175,375691.952375,375114.0563,335363.5375,324500.0,468685.5982,11.0,1.0,7.0,0.0,5.0
93553,128.0,0.9667832167832168,330.0,572.0,0.031825795644891,245.0,2084.0,0.2222222222222223,0.052096052096052,0.2923830594749861,624.0,-0.0076923076923076,553.0,0.4782608695652173,0.2568453661474916,-0.036144578313253,2613336.0,0.0997150997150997,0.3552665056193484,45.85714285714285,62123.42857142857,8.0,-16.4,11.0,1449.0,134.0,2.081532143266194,9526329.0,474.0,17.0,-0.5,303697.2436,345460.877625,350058.4334,316497.1314,288800.0,411590.7021,11.0,1.0,7.0,0.0,5.0
93561,2557.0,0.9217072051399724,7882.0,10895.0,0.0399420342360292,5068.0,37404.0,0.1511147811725846,0.0567856270403517,0.435623908552339,13914.0,-0.0127388535031847,10042.0,1.5019762845849804,0.3665334221630024,0.2403051493960584,45802853.0,0.1125496901996491,0.3631314701585992,65.68571428571428,71309.71428571429,3.0,-25.89999999999999,5.0,1117.0,97.0,1.7065891685263326,4608975.0,579.0,12.0,-0.3,279899.5627,318907.78115,322082.6427,292109.0168,295000.0,381539.9024,8.0,2.0,6.0,1.0,3.0
93562,88.0,0.9917127071823204,227.0,362.0,-0.035377358490566,173.0,1392.0,0.05,0.0532365396249243,0.1588665348261417,982.0,-0.0604395604395604,359.0,0.25,1.029310293102931,0.3617021276595744,1093056.0,0.1046581972171808,0.1977646161397177,53.54285714285714,44888.57142857143,3.0,-22.8,5.0,680.0,5.0,5.256929139117077,136762.0,344.0,12.0,2.0,69009.71987,71271.083285,74048.37522,59368.83742,57600.0,82657.40063,9.0,1.0,7.0,0.0,3.0
93591,272.0,0.9867914144193726,1103.0,1817.0,0.0359477124183007,807.0,6426.0,0.0572916666666667,0.0362425049966688,0.2685306314394426,2196.0,0.0221238938053096,1793.0,0.3225806451612902,0.3690066761076269,0.048148148148148,5247943.0,0.1075283144570286,0.4609640360430458,45.85714285714285,51367.28571428572,8.0,-16.4,11.0,1268.0,90.0,-0.283937537576575,2341572.0,443.0,17.0,2.0,242796.2727,285873.606575,288756.2465,257225.2846,207200.0,354716.6225,11.0,1.0,7.0,0.0,5.0
93602,366.0,0.5736363636363636,778.0,1100.0,0.0048496605237633,450.0,3299.0,0.411764705882353,0.0889428918590522,1.1381255144686286,1705.0,-0.0532150776053215,631.0,0.4090909090909091,0.1508996561041513,0.3222222222222222,8153780.0,0.1093560145808019,0.2524960977002091,56.71428571428572,66861.14285714286,3.0,-21.700000000000003,4.0,895.0,564.0,-0.1429323209352153,85487788.0,493.0,7.0,-0.3333333333333333,319393.708,348585.3895,349564.1165,325344.3606,291300.0,400039.3729,6.0,1.0,4.0,0.0,3.0
93608,14.0,0.9855072463768116,83.0,138.0,0.0853658536585366,31.0,302.0,2.0,0.0403458213256484,0.2789421239198262,379.0,-0.0133333333333333,136.0,0.0,0.1794640781213671,4.333333333333333,273407.0,0.0893371757925072,0.3394224392119196,56.71428571428572,38290.57142857143,2.0,-21.700000000000003,3.0,723.0,1.0,-1.0,7041.0,532.0,3.0,-1.0,153430.326,176287.227825,181660.5336,164550.0302,154600.0,205508.0215,2.0,0.0,2.0,0.0,2.0
