ZIP Code,new_policies,renewed_policies,nonrenewed_policies,total_units_x,median_home_value,Avg_Median_Income_2018_2021,earned_premium,earned_exposure,expiring_policies,Climate_Disasters_Avf_10yr,New_and_Renewed_to_Nonrenewed_Ratio,New_and_Renewed_to_Total_Units_Ratio,Housing_Affordability_Ratio,Relative_Housing_Cost_Index,Premium_to_Exposure_Ratio,Nonrenewal_Rate,Renewal_Resilience,market_units,fair_plan_units,total_units_y,pct_market,pct_fair_plan,exposure_22
90047,5127,41448,4581,12465,519400.0,55327.75,36222636,52469,46029,0.0,10.166994106090373,3.736462093862816,9.387694240232072,47559.61719585193,690.3626141150013,0.0995242129961546,0.9004757870038455,11524,941,12465,0.9245086241476134,0.0754913758523866,316189559
90048,2001,12852,1996,3733,1441200.0,97983.25,33630863,36326,14848,0.0,7.4413827655310625,3.978837396196089,14.70863642510327,125402.95854097538,925.8069426856796,0.1344288793103448,0.8655711206896551,3631,102,3733,0.972676131797482,0.027323868202518,56381293
90049,3512,26250,3596,7541,2000001.0,133344.5,152080914,62092,29846,0.0,8.276418242491657,3.946691420236043,14.998751354574054,169481.68135930167,2449.283546994782,0.1204851571399852,0.8795148428600147,6654,887,7541,0.8823763426601247,0.1176236573398753,1888228709
90056,857,8724,867,2291,1114900.0,92221.75,15758819,12093,9591,0.0,11.050749711649363,4.182016586643387,12.089339011675662,97524.90825963816,1303.1356156454146,0.0903972474194557,0.9096027525805442,2275,16,2291,0.9930161501527716,0.0069838498472282,15599315
90057,277,1477,255,652,576200.0,39276.25,3304352,11264,1732,0.0,6.87843137254902,2.6901840490797544,14.670443334075935,54469.6122260913,293.3551136363636,0.1472286374133949,0.8527713625866051,525,127,652,0.8052147239263804,0.1947852760736196,40607432
90059,3001,19704,2692,6540,415100.0,44838.5,14130817,26845,22396,0.0,8.434249628528974,3.4717125382262997,9.25766919053938,38755.19391080942,526.3854349040789,0.1202000357206644,0.8797999642793356,5742,798,6540,0.8779816513761468,0.1220183486238532,248264383
90061,1787,13541,1655,4532,438800.0,45033.5,10175902,18677,15196,0.0,9.261631419939578,3.382171226831421,9.743857350638969,40951.31763861684,544.8360014991702,0.1089102395367201,0.8910897604632798,3951,581,4532,0.8718005295675199,0.1281994704324801,163146599
90062,2638,17656,2304,6446,550600.0,50859.75,16817252,26476,19960,0.0,8.808159722222221,3.148309028855104,10.8258495175458,50808.22954216059,635.1885481190512,0.1154308617234469,0.8845691382765531,5401,1045,6446,0.8378839590443686,0.1621160409556314,328712352
90063,3508,24843,3148,9014,481100.0,50777.75,16771678,36912,27991,0.0,9.006035578144854,3.145218548923896,9.474622250887446,44401.524527412046,454.3692566103164,0.1124647208031152,0.8875352791968847,7355,1659,9014,0.8159529620590193,0.1840470379409807,437203512
90064,2629,23826,2584,6304,1388300.0,102596.0,43405754,41059,26410,0.0,10.238003095975232,4.196541878172589,13.531716636126164,120318.36684007444,1057.1556540587935,0.097841726618705,0.902158273381295,6257,47,6304,0.9925444162436547,0.0074555837563451,22512477
90065,3799,34204,3593,10087,833400.0,71773.0,36610651,48278,37797,0.0,10.576955190648484,3.767522553782096,11.611608822259068,74535.40376577359,758.3299018186337,0.0950604545334285,0.9049395454665714,9252,835,10087,0.9172201843957568,0.082779815604243,356827197
90066,4177,38888,4104,10320,1282100.0,85389.75,50906303,72254,42992,0.0,10.49342105263158,4.1729651162790695,15.014682675613876,112910.79752372422,704.5465026157722,0.095459620394492,0.904540379605508,10267,53,10320,0.9948643410852712,0.0051356589147286,31185948
90067,62,502,125,133,1344900.0,117175.5,12304883,8478,627,0.0,4.512,4.2406015037593985,11.47765531190394,115230.11491313612,1451.3898325076668,0.1993620414673046,0.8006379585326954,133,0,133,1.0,0.0,728932
90068,3236,19527,3035,6047,1500800.0,87587.75,67398952,42191,22562,0.0,7.500164744645799,3.7643459566727304,17.134816227155053,131875.8981404367,1597.4722571164466,0.1345182164701711,0.865481783529829,4931,1116,6047,0.8154456755415909,0.1845543244584091,1417786378
90069,1617,9423,1653,2790,890100.0,93829.5,61007272,44465,11076,0.0,6.678765880217786,3.956989247311828,9.486355570476237,77743.18828319573,1372.0290565613404,0.1492416034669555,0.8507583965330444,2548,242,2790,0.9132616487455196,0.0867383512544802,415182620
90077,1579,9655,1608,3113,2000001.0,210992.75,85832061,16459,11263,0.0,6.986318407960199,3.60873755220045,9.47900342547315,163137.8199503681,5214.901330579015,0.1427683565657462,0.8572316434342537,1680,1433,3113,0.5396723417924831,0.4603276582075168,2531735350
90094,354,1759,300,499,1132000.0,159760.75,9995792,23015,2059,0.0,7.043333333333333,4.234468937875752,7.08559517904116,94479.51942605311,434.3164023462959,0.1457017969888295,0.8542982030111704,499,0,499,1.0,0.0,427050
90201,3648,40337,3398,12576,440500.0,45491.0,19681602,54035,43735,2.125,12.94437904649794,3.4975349872773536,9.68323404629487,41071.22794160296,364.23803090589433,0.0776952097862124,0.9223047902137876,11460,1116,12576,0.9112595419847328,0.0887404580152671,283630711
90210,3183,20296,3398,6267,2000001.0,149397.25,219900045,34687,23694,0.0,6.909652736904061,3.746449656933142,13.387133966656013,167864.68633450472,6339.552137688471,0.1434118342196336,0.8565881657803663,4464,1803,6267,0.7123025370990905,0.2876974629009095,3745871198
90211,648,4462,646,1304,2000001.0,88676.5,12879555,11231,5108,0.0,7.910216718266254,3.918711656441718,22.553900977147272,175550.32505165096,1146.786127682308,0.1264682850430697,0.8735317149569303,1269,35,1304,0.973159509202454,0.026840490797546,29049584
