,ZIP,Avg_Median_Income_2018_2021,Avg_Growth_Rate_2018_2021,Total_Growth_2018_2021
36,90040,51291.75,0.0714380633375973,0.2238459554715035
37,90041,88197.5,0.059569329313829716,0.18950426459086
38,90042,69754.5,0.11095527058036408,0.3700164027717337
39,90043,54778.25,0.08575537091977152,0.27576842105263155
40,90044,38278.5,0.08163618568825144,0.264550727172044
41,90045,106967.0,0.06203509182594555,0.19760980043796222
42,90046,72388.0,0.04518108689484026,0.1403195058152423
43,90047,55327.75,0.09567042672243642,0.3142995555742781
44,90048,97983.25,0.02766241790073141,0.07741840604220722
45,90049,133344.5,0.03887205464260211,0.12018048222594745
46,90056,92221.75,0.07999464625439269,0.2281533101045296
47,90057,39276.25,0.08993517233476765,0.29340539263459436
48,90058,25950.0,0.16819395915220473,0.5797350109617767
49,90059,44838.5,0.04370848782962835,0.13542088343850459
50,90061,45033.5,0.08290306532344636,0.2689549309242809
51,90062,50859.75,0.08025404821119675,0.26017620162819227
52,90063,50777.75,0.07009756225719939,0.22339261579387726
53,90064,102596.0,0.045186372594083334,0.14073958170343712
54,90065,71773.0,0.08422067613506828,0.27299792547547785
55,90066,85389.75,0.04785386166118111,0.15040208375480477
56,90067,117175.5,-0.05288218404110631,-0.15159389355482344
57,90068,87587.75,0.027472368593850684,0.08330149481828168
58,90069,93829.5,0.020479207212903958,0.059041225578793356
59,90077,210992.75,-0.014081150261974514,-0.04841746785370411
60,90094,159760.75,0.04559928277944179,0.13901930633862977
61,90201,45491.0,0.054645725933320725,0.17273695420660276
62,90210,149397.25,0.025373059223376956,0.07801201042203676
63,90211,88676.5,0.03305553518611087,0.09407385783097358
64,90212,91771.25,-0.005798599857362194,-0.023261513543464826
65,90220,59419.5,0.06568627924999164,0.21021338075127807
66,90221,52858.0,0.05722112396915966,0.18145277060005743
67,90222,54131.75,0.11818433179299244,0.3973385278732299
68,90230,87626.75,0.06330734548493312,0.20030491961773492
69,90232,94169.75,0.08842165556669011,0.28927510831994546
70,90240,86932.5,0.03442560502290118,0.10633205193298034
71,90241,72352.0,0.027448669264645897,0.08372770820107348
72,90242,71323.5,0.043749283944545775,0.13611233129856556
73,90245,112729.75,0.08656351705045984,0.28204790867598395
74,90247,58444.75,0.08487313364323223,0.27657338574709067
75,90248,64223.0,0.03943116762284359,0.12007269335306132
76,90249,63878.5,0.05272520209791224,0.1654789387400047
77,90250,58926.0,0.07359307962549726,0.23698478509652365
78,90254,140194.5,0.017373321243142146,0.05248272443653964
79,90255,47709.5,0.08209945866290663,0.26650383974072944
80,90260,68503.0,0.07113745149158823,0.22868148339162248
81,90262,55322.75,0.07558362996632384,0.2437702054175619
82,90265,160274.0,0.05610970030552668,0.17697483947936354
83,90266,156654.5,0.042409144251089964,0.12994809538721908
84,90270,47377.75,0.11226051935423222,0.37401911468812876
85,90272,199591.0,0.030360028685037833,0.09252592054637884
86,90274,175000.5,0.047212767167342705,0.14788206927597541
87,90275,144054.25,0.061021313070225604,0.19372765778485385
88,90277,106296.0,0.030812676108665144,0.09364398079799767
89,90278,123560.25,0.040102639142111575,0.12270338983050848
90,90280,54341.0,0.0593802449634789,0.18841300800063687
91,90290,128175.25,0.04539164615982939,0.13984511279462697
92,90291,99199.5,0.049429876799192675,0.15354274943069765
93,90292,120707.0,0.08119107417256627,0.2612384229600615
94,90293,106359.25,0.022383941898684534,0.06748560756300903
95,90301,49552.0,0.0768588197751729,0.24869151467089612
96,90302,54234.75,0.0955735381577087,0.3119528654701962
97,90303,58559.5,0.089340381654457,0.2902375193306634
98,90304,47839.5,0.04084498824903727,0.12289675595638713
99,90305,80841.25,0.03173779332240475,0.08474644975611074
100,90401,85363.0,0.07953223573715694,0.24440114172796135
101,90402,146775.75,-0.016028081829657027,-0.05060124667767876
102,90403,109892.5,0.01802659363068175,0.05467927516653468
103,90404,75991.0,-0.002219164633558758,-0.008375320721606998
104,90405,95870.5,0.008972610039093184,0.02714778815407746
