ZIP,Count_2022,Sum_1yr,Avg_3yr,Sum_3yr,Avg_5yr,Sum_5yr,Avg_10yr,Sum_10yr
91226,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91302,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91306,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91310,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91311,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91313,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91316,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91321,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91322,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91324,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91325,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91327,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91328,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91329,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91330,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91331,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91333,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91334,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91335,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91337,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91342,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91354,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91355,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91356,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91357,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91372,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91384,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91385,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91392,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91396,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91416,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91426,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91436,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91501,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91502,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91503,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91504,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91505,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91506,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91507,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91508,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91510,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91521,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91522,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91523,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91526,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91702,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91708,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
91710,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
91711,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91722,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91723,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91724,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91740,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91741,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91743,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
91758,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
91761,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
91762,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
91763,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
91764,1,1.0,2.3333333333333335,7,1.8,9,1.7142857142857142,12
91766,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
91767,2,1.0,2.3333333333333335,7,2.2,11,2.125,17
