,ZIP Code,new_policies,renewed_policies,company_nonrenewed,owner_nonrenewed,nonrenewed_policies,expiring_policies,pct_nonrenewed_policies,pct_nonrenewed_owner,pct_nonrenewed_company,ratio_new_to_nonrenewed
26,90028,414,2325,308,94,402,2727,0.1474147414741474,0.03447011367803447,0.11294462779611295,1.0298507462686568
27,90029,1093,7555,816,184,1000,8555,0.11689070718877849,0.021507890122735244,0.09538281706604325,1.093
28,90031,1968,17301,1354,407,1761,19062,0.09238275102297765,0.02135137970832022,0.07103137131465743,1.1175468483816013
29,90032,3240,27438,2268,795,3063,30501,0.10042293695288679,0.02606471918953477,0.07435821776335202,1.0577864838393731
30,90033,1743,13034,1126,514,1640,14674,0.1117623006678479,0.03502794057516696,0.07673436009268093,1.0628048780487804
31,90034,2165,18900,1815,328,2143,21043,0.10183909138430833,0.015587131112483962,0.08625196027182436,1.0102659822678488
32,90035,2037,15402,1670,342,2012,17414,0.11553922131618238,0.019639370621339153,0.09589985069484323,1.0124254473161034
33,90036,1761,12840,1395,357,1752,14592,0.12006578947368421,0.02446546052631579,0.09560032894736842,1.00513698630137
34,90037,3280,19294,1998,900,2898,22192,0.13058759913482337,0.040555155010814706,0.09003244412400865,1.1318150448585231
35,90038,878,5148,646,162,808,5956,0.1356615177971793,0.02719946272666219,0.10846205507051712,1.0866336633663367
36,90039,3118,25960,2386,534,2920,28880,0.10110803324099724,0.018490304709141273,0.08261772853185595,1.0678082191780822
37,90040,813,7439,534,210,744,8183,0.09092020041549553,0.02566295979469632,0.06525724062079921,1.092741935483871
38,90041,2434,22054,1855,366,2221,24275,0.09149330587023687,0.015077239958805356,0.07641606591143152,1.0959027465105808
39,90042,4388,35646,3191,739,3930,39576,0.09930260764099454,0.018672933090762078,0.08062967455023247,1.1165394402035624
40,90043,4315,35756,3021,937,3958,39714,0.09966258750062951,0.02359369491866848,0.07606889258196102,1.0901970692268823
41,90044,5932,41702,3668,1585,5253,46955,0.11187306996060058,0.03375572356511554,0.07811734639548504,1.1292594707786028
42,90045,3499,34001,2995,444,3439,37440,0.09185363247863249,0.011858974358974358,0.07999465811965811,1.0174469322477464
43,90046,3616,20113,2422,1047,3469,23582,0.1471037231786956,0.0443982698668476,0.10270545331184802,1.0423753243009513
44,90047,5127,41448,3399,1182,4581,46029,0.0995242129961546,0.025679462947272372,0.07384475004888223,1.1191879502292077
45,90048,2001,12852,1634,362,1996,14848,0.13442887931034483,0.024380387931034482,0.11004849137931035,1.00250501002004
46,90049,3512,26250,2514,1082,3596,29846,0.12048515713998526,0.03625276418950613,0.08423239295047913,0.9766407119021134
47,90056,857,8724,702,165,867,9591,0.09039724741945573,0.017203628401626526,0.07319361901782921,0.9884659746251442
48,90057,277,1477,203,52,255,1732,0.14722863741339492,0.03002309468822171,0.11720554272517321,1.0862745098039215
49,90058,68,400,23,25,48,448,0.10714285714285714,0.05580357142857143,0.05133928571428571,1.4166666666666667
50,90059,3001,19704,1861,831,2692,22396,0.1202000357206644,0.03710484015002679,0.08309519557063762,1.1147845468053492
51,90061,1787,13541,1165,490,1655,15196,0.10891023953672019,0.03224532771782048,0.07666491181889971,1.0797583081570996
52,90062,2638,17656,1613,691,2304,19960,0.1154308617234469,0.03461923847695391,0.08081162324649299,1.1449652777777777
53,90063,3508,24843,2154,994,3148,27991,0.11246472080311529,0.0355114143831946,0.0769533064199207,1.1143583227445997
54,90064,2629,23826,2210,374,2584,26410,0.09784172661870504,0.014161302536917834,0.0836804240817872,1.0174148606811146
55,90065,3799,34204,2813,780,3593,37797,0.09506045453342858,0.0206365584570204,0.07442389607640817,1.0573337044252713
56,90066,4177,38888,3492,612,4104,42992,0.095459620394492,0.014235206550055824,0.08122441384443617,1.0177875243664718
57,90067,62,502,108,17,125,627,0.19936204146730463,0.02711323763955343,0.1722488038277512,0.496
58,90068,3236,19527,2174,861,3035,22562,0.1345182164701711,0.03816151050438791,0.09635670596578318,1.0662273476112025
59,90069,1617,9423,1194,459,1653,11076,0.14924160346695559,0.0414409534127844,0.10780065005417118,0.9782214156079855
60,90077,1579,9655,864,744,1608,11263,0.14276835656574624,0.06605700079907663,0.07671135576666963,0.9819651741293532
61,90094,354,1759,269,31,300,2059,0.14570179698882954,0.015055852355512385,0.13064594463331713,1.18
62,90201,3648,40337,2558,840,3398,43735,0.07769520978621242,0.019206585114896535,0.05848862467131588,1.0735726898175397
63,90210,3183,20296,2019,1379,3398,23694,0.14341183421963366,0.05820038828395374,0.08521144593567992,0.9367274867569159
64,90211,648,4462,537,109,646,5108,0.1264682850430697,0.02133907595927956,0.10512920908379013,1.0030959752321982
65,90212,584,4999,466,114,580,5579,0.10396128338411902,0.020433769492740634,0.08352751389137839,1.006896551724138
66,90220,4094,31345,2811,995,3806,35151,0.10827572473044864,0.02830644931865381,0.07996927541179483,1.0756699947451394
67,90221,3144,26648,2008,751,2759,29407,0.09382119903424355,0.025538137178222873,0.06828306185602068,1.1395433127944907
68,90222,2373,17355,1540,612,2152,19507,0.11031937253293689,0.031373353155277596,0.0789460193776593,1.1026951672862453
69,90230,1940,19662,1592,313,1905,21567,0.08832939212686049,0.014512913247090461,0.07381647887977003,1.0183727034120735
70,90232,1253,12297,1009,202,1211,13508,0.08965057743559372,0.014954101273319514,0.0746964761622742,1.0346820809248556
71,90240,2393,20988,1842,418,2260,23248,0.09721266345492086,0.017980041293874743,0.07923262216104611,1.058849557522124
72,90241,2832,27352,2218,482,2700,30052,0.08984426993211767,0.016038865965659524,0.07380540396645814,1.048888888888889
73,90242,2659,27186,2121,414,2535,29721,0.0852932270112042,0.013929544766326839,0.07136368224487737,1.0489151873767257
74,90245,1171,12731,1007,108,1115,13846,0.080528672540806,0.00780008666762964,0.07272858587317636,1.0502242152466368
75,90247,2489,25252,1886,525,2411,27663,0.08715612912554675,0.018978418826591476,0.06817771029895528,1.0323517212774782
