ZIP Code,new_policies,renewed_policies,nonrenewed_policies,total_units,median_home_value,Avg_Median_Income_2018_2021,earned_premium,earned_exposure,expiring_policies,Climate_Disasters_Avf_10yr,New_and_Renewed_to_Nonrenewed_Ratio,New_and_Renewed_to_Total_Units_Ratio,Housing_Affordability_Ratio,Relative_Housing_Cost_Index,Premium_to_Exposure_Ratio,Nonrenewal_Rate,Renewal_Resilience
90013,45,327,44,98,664800.0,21864.5,4049561,12904,371,0.0,8.454545454545455,3.795918367346939,30.4054517597018,66529.1011645087,313.82214817110975,0.11859838274932614,0.8814016172506739
90015,217,1379,228,541,715000.0,46177.75,10259786,31702,1607,0.0,7.0,2.9500924214417745,15.48364742760312,66571.98634693526,323.63213677370516,0.14187927815805848,0.8581207218419415
90016,3333,24413,3064,7975,677500.0,49753.0,27547927,41956,27477,0.0,9.055483028720626,3.4791222570532914,13.617269310393343,62645.48290944174,656.5908809228716,0.11151144593660152,0.8884885540633984
90017,107,493,89,213,697100.0,37126.25,5263437,23994,582,0.0,6.741573033707865,2.816901408450704,18.77647217265412,66251.16232782807,219.36471617904476,0.15292096219931273,0.8470790378006873
90018,3082,21282,2794,7705,704300.0,48167.75,23537515,35078,24076,0.0,8.720114531138153,3.16210253082414,14.621816464335577,65319.13686746586,671.0050458977137,0.11604917760425319,0.8839508223957468
90019,3923,27316,3714,9202,1033900.0,57235.75,41664526,51918,31030,0.0,8.411147011308563,3.3948054770702023,18.06388489711413,94377.56555045351,802.506375438191,0.11969062197873026,0.8803093780212697
90020,350,2746,365,804,650300.0,49198.0,18714748,24431,3111,0.0,8.482191780821918,3.8507462686567164,13.218016992560674,60192.852691127584,766.0246408251811,0.117325618772099,0.882674381227901
90022,3482,33260,3212,10929,471000.0,49516.0,18683059,44507,36472,0.0,11.438978829389788,3.361881233415683,9.512076904434931,43570.56172950277,419.7779899791044,0.08806755867514805,0.911932441324852
90023,2049,16768,1893,6301,479600.0,44641.0,10755349,26197,18661,0.0,9.940306391970417,2.9863513727979685,10.74348692905625,44795.6027903038,410.55651410466845,0.10144150902952682,0.8985584909704731
90024,1235,11319,1328,3049,1231000.0,64981.75,62506346,53336,12647,0.0,9.453313253012048,4.117415546080682,18.94378036910363,111082.4181763455,1171.9353907304635,0.10500513955878865,0.8949948604412113
90025,1222,10779,1192,2886,905900.0,92294.75,31355528,60486,11971,0.0,10.067953020134228,4.158350658350658,9.815292852518697,79237.33057918392,518.3931488278279,0.09957397042853562,0.9004260295714643
90026,4099,30659,3833,10238,962100.0,65990.0,38903243,61431,34492,0.0,9.068092877641535,3.394999023246728,14.579481739657524,86697.0883383006,633.2835701844346,0.1111272179056013,0.8888727820943987
90027,2527,19412,2419,5671,1287200.0,70261.25,48118983,49706,21831,0.0,9.069450186027284,3.868629871274907,18.320197833087228,115340.75276446334,968.0719229066914,0.11080573496404196,0.889194265035958
90028,414,2325,402,807,723000.0,48141.0,9146045,32693,2727,0.0,6.813432835820896,3.3940520446096656,15.018383498473234,67056.89212283221,279.755452237482,0.1474147414741474,0.8525852585258525
90029,1093,7555,1000,2790,898400.0,44346.5,9462226,20402,8555,0.0,8.648,3.099641577060932,20.258644988894275,83964.27204132918,463.7891383197726,0.11689070718877849,0.8831092928112215
90031,1968,17301,1761,5969,616900.0,49304.25,15247290,28255,19062,0.0,10.942078364565587,3.2281789244429553,12.512105954354848,57089.893019726274,539.6315696336932,0.09238275102297765,0.9076172489770223
90032,3240,27438,3063,8159,605400.0,58424.5,22306223,38419,30501,0.0,10.015670910871695,3.7600196102463537,10.362091245967017,55159.26549318186,580.6039459642365,0.10042293695288679,0.8995770630471132
90033,1743,13034,1640,5104,538900.0,41798.5,9936703,21974,14674,0.0,9.010365853658536,2.895180250783699,12.892807158151609,50645.56540124029,452.20273960134705,0.1117623006678479,0.8882376993321521
90034,2165,18900,2143,5181,1152500.0,79068.0,31369570,57385,21043,0.0,9.829678021465236,4.065817409766455,14.576061111954267,102189.52906981688,546.6510412128605,0.10183909138430833,0.8981609086156916
