zipcode,State,CountyName,City,2018,2019,2020,2021,mean_2018_2021,percent_increase_2018_2021
91709,CA,San Bernardino County,Chino Hills,654202.4014962555,656217.911545785,665606.1070805618,757387.9740902634,683353.5985532164,15.77
91910,CA,San Diego County,Chula Vista,521223.1772648208,535059.7292605614,567683.7034865336,661987.120321885,571488.4325834502,27.01
94513,CA,Contra Costa County,Brentwood,604295.565690735,620600.9238456058,642916.7436261039,772939.1123433196,660188.0863764411,27.91
93727,CA,Fresno County,Fresno,270390.4145424679,285177.1057659835,301521.66337040474,353586.425131809,302668.90220266633,30.77
91706,CA,Los Angeles County,Baldwin Park,472103.8337990329,494409.35050707654,523284.702742818,597147.0655560055,521736.2381512332,26.49
90003,CA,Los Angeles County,Los Angeles,401705.9741380552,440537.5289321094,476680.3434029143,538202.8757370786,464281.6805525394,33.98
92126,CA,San Diego County,San Diego,591813.1163415835,605963.3102189777,647459.7667962593,765064.9662722797,652575.289907275,29.27
92553,CA,Riverside County,Moreno Valley,304510.8623905258,321098.79284356645,342411.30353716546,407526.1694202222,343886.78204787,33.83
93306,CA,Kern County,Bakersfield,206246.97044684176,217763.4151363079,231547.42694155892,270650.81416894594,231552.15667341364,31.23
93230,CA,Kings County,Hanford,236519.3203009105,248429.8140624191,263054.9520023705,305856.6124901173,263465.17471395433,29.32
95747,CA,Placer County,Roseville,488127.79428104387,504838.3379315145,527256.4298171985,618940.3367040012,534790.7246834395,26.8
94536,CA,Alameda County,Fremont,1034055.3269272712,1015643.4087705616,1017403.9365378215,1204891.250523888,1067998.4806898856,16.52
92563,CA,Riverside County,Murrieta,438873.1627434664,448434.05665845895,469442.1862543795,576999.9648279516,483437.34262106416,31.47
90255,CA,Los Angeles County,Huntington Park,437591.4255092184,463249.1687874192,498539.2040618964,565620.6490503522,491250.11185222154,29.26
92105,CA,San Diego County,San Diego,429091.6280208735,449116.8788114939,480651.1981754187,554310.3336079688,478292.5096539387,29.18
92021,CA,San Diego County,El Cajon,501789.5531259245,513537.8160948944,541874.3437458266,632825.3351862497,547506.7620382238,26.11
91730,CA,San Bernardino County,Rancho Cucamonga,442399.0291901084,447471.7475885344,470625.18875783513,549272.9033170021,477442.21721337,24.16
94110,CA,San Francisco County,San Francisco,1501283.042837335,1482784.860184257,1508346.2688414364,1497788.8976450518,1497550.7673770199,-0.23
94509,CA,Contra Costa County,Antioch,416129.1544750835,431420.13187094947,455645.49725843914,538333.2160681909,460381.99991816573,29.37
93065,CA,Ventura County,Simi Valley,611718.4948458597,620033.0540897978,644591.6486929053,740761.7626854492,654276.240078503,21.1
95687,CA,Solano County,Vacaville,443635.54311595176,457800.0267040182,478294.5129674018,550707.3821604993,482609.36623696773,24.14
92882,CA,Riverside County,Corona,502827.4414589332,514682.16518128064,540043.2383365671,641298.9445861573,549712.9473907346,27.54
94558,CA,Napa County,Napa,696629.7254269725,717183.2831993093,735745.6688775442,829544.0206362731,744775.6745350248,19.08
94538,CA,Alameda County,Fremont,1000556.6725120592,981144.3573167612,977043.4854567632,1140052.786171226,1024699.3253642025,13.94
91766,CA,Los Angeles County,Pomona,454628.8318385019,472973.59905185504,499284.6972823106,579347.494147543,501558.65558005264,27.43
92805,CA,Orange County,Anaheim,551314.2169497457,560605.4590099232,594275.473243086,671887.1001626133,594520.562341342,21.87
90631,CA,Orange County,La Habra,609980.9986352476,615408.3048137091,648572.9342808487,748504.1206624863,655616.5895980729,22.71
90026,CA,Los Angeles County,Los Angeles,1006074.1691785348,1042302.5252612208,1106626.6941101197,1213376.6650986583,1092095.0134121333,20.61
94587,CA,Alameda County,Union City,912990.9775196454,914170.3159003505,914730.3870303928,1104208.8157446866,961525.1240487688,20.94
92801,CA,Orange County,Anaheim,543436.8029763864,554184.3605884464,587596.5689359856,672440.9901397314,589414.6806601374,23.74
95624,CA,Sacramento County,Elk Grove,444878.0558302242,456208.5788904975,481264.098941257,578778.3595901991,490282.27331304445,30.1
91402,CA,Los Angeles County,Los Angeles,453528.60432579735,480940.83317710384,515372.2697901824,599329.5132231965,512292.80512907007,32.15
95123,CA,Santa Clara County,San Jose,924829.0855663316,927327.8868689564,951571.088708132,1122417.5039841027,981536.3912818807,21.36
92114,CA,San Diego County,San Diego,448196.0878118247,465624.8300978372,499328.6735506286,586689.6393608012,499959.8077052729,30.9
94541,CA,Alameda County,Hayward,663989.9662826202,673286.239697503,694117.1942157111,798880.0380912196,707568.3595717634,20.32
90262,CA,Los Angeles County,Lynwood,442271.5171934706,472782.3473691489,506315.8336209124,573194.2272453745,498640.9813572266,29.6
90037,CA,Los Angeles County,Los Angeles,462139.3452866745,508166.64315546287,546059.4779594255,616377.1539657211,533185.655091821,33.37
92407,CA,San Bernardino County,San Bernardino,325316.81337854796,337625.2238834586,361339.6662425566,431280.2126474033,363890.4790379916,32.57
93906,CA,Monterey County,Salinas,457974.0298481472,481009.9982918909,513058.67402010487,594914.96752707,511739.4174218032,29.9
94080,CA,San Mateo County,South San Francisco,1013327.7639800948,1017605.8896781348,1060871.4255511912,1173506.8215740502,1066327.9751958677,15.81
92703,CA,Orange County,Santa Ana,526986.7994433452,537403.3532863653,577300.625297261,656273.0268676224,574490.9512236485,24.53
95020,CA,Santa Clara County,Gilroy,791326.5606564423,800055.5685946824,823147.604238519,965144.5051299686,844918.5596549031,21.97
92404,CA,San Bernardino County,San Bernardino,276627.28319231706,290662.24825483904,310092.8890004935,371419.755298815,312200.54393661616,34.27
90022,CA,Los Angeles County,East Los Angeles,458715.98059598886,484528.15933833434,523147.4366870246,587265.7712923354,513414.3369784208,28.02
91761,CA,San Bernardino County,Ontario,450632.7806030616,463408.6332238277,483702.9001301753,563009.6397922505,490188.4884373288,24.94
91977,CA,San Diego County,Spring Valley,491732.398479019,504523.6894059828,537349.1555863634,632467.9341750095,541518.2944115937,28.62
92677,CA,Orange County,Laguna Niguel,814596.0190722764,806069.1875102319,839309.5945690172,975907.0050294016,858970.4515452317,19.8
92630,CA,Orange County,Lake Forest,718219.547129898,717007.9604283787,750912.4145228191,857880.1493816195,761005.0178656788,19.45
95758,CA,Sacramento County,Elk Grove,405183.3518886279,414914.2550178467,439858.02061576006,528587.0447058592,447135.66805702343,30.46
92346,CA,San Bernardino County,Highland,352865.3090996646,363476.66466801526,383372.26040626783,452814.8083055572,388132.2606198762,28.33
90731,CA,Los Angeles County,Los Angeles,604871.6588245196,621711.6897868144,652180.6076249982,749114.818280724,656969.693629264,23.85
95206,CA,San Joaquin County,Stockton,280731.23178577126,299770.9101633097,318722.6519823142,383423.6460437397,320662.1099937837,36.58
95608,CA,Sacramento County,Carmichael,414938.59460297925,430168.6334710067,452208.5585866847,530728.8455298593,457011.15804763255,27.91
91343,CA,Los Angeles County,Los Angeles,560946.3141381772,588610.5911971427,638139.7788469583,755166.8554248459,635715.8849017811,34.62
92201,CA,Riverside County,Indio,275233.644114381,290703.99111025356,308347.4146047689,374244.69335908914,312132.4357971231,35.97
92562,CA,Riverside County,Murrieta,440852.9226139176,449947.2196542096,471582.2639203191,574018.5894469036,484100.24890883744,30.21
94806,CA,Contra Costa County,Richmond,464096.8909092985,485305.3140379999,512159.40717300423,595744.9954505136,514326.6518927041,28.37
92392,CA,San Bernardino County,Victorville,272029.5317376757,282379.32708750776,300341.7047695834,372443.2686444465,306798.45805980335,36.91
