ZIP,Count_2021,Avg_1yr,Pct_Increase_1yr,Avg_3yr,Pct_Increase_3yr,Avg_5yr,Pct_Increase_5yr,Avg_10yr,Pct_Increase_10yr
92803,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92804,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92805,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92806,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92807,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92808,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92809,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92811,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92812,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92814,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92815,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92816,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92817,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92821,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92822,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92823,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92825,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92831,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92832,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92833,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92834,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92835,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92836,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
92837,1,1.0,0.0,1.3333333333333333,-24.999999999999993,1.5,-33.33333333333333,1.4,-28.571428571428566
