,ZIP Code,earned_premium,earned_exposure,fire_smoke_claims,fire_smoke_losses,growth_exposure,growth_premium,growth_fire_smoke_claims,growth_fire_smoke_losses,ratio_losses_to_premium
20,90021,871491,2165,2,16217.0,0.732394366197183,0.5869388601752779,,,0.018608339041940765
21,90022,18683059,44507,119,4163273.0,0.05454881656804722,0.28252373325375135,-0.4,0.29871609584566805,0.2228367956232435
22,90023,10755349,26197,37,1855132.0,0.06384991329024126,0.2842890940993097,-0.15384615384615385,0.02007779844886315,0.17248459347995124
23,90024,62506346,53336,58,1350155.0,0.1165204796008692,0.2097647204971964,-0.7894736842105263,-0.9063548366418086,0.021600286793280157
24,90025,31355528,60486,66,2034242.0,0.1473018610332686,0.28684634342299686,-0.3571428571428572,3.78224314267705,0.06487666225872515
25,90026,38903243,61431,74,4103485.0,0.3129569031539374,0.5869979282544902,0.36111111111111094,0.10776508471137736,0.10547925271936841
26,90027,48118983,49706,60,2546612.0,0.12016467964662492,0.33588618119606717,-0.21052631578947378,-0.07089951697254981,0.05292322990284312
27,90028,9146045,32693,28,1245193.0,0.33866782006920415,0.4270360797552484,3.5,21.294559663360385,0.13614551426326899
28,90029,9462226,20402,31,3220325.0,0.16301340710789547,0.3475339479150572,-0.3749999999999999,-0.6803659097102741,0.34033482184847413
29,90030,366,1,0,0.0,inf,-0.487603305785124,,,0.0
30,90031,15247290,28255,35,1620039.0,0.2356456412507928,0.5881908630999104,-0.16666666666666663,0.20046748112845658,0.10625094688957841
31,90032,22306223,38419,67,2920689.0,0.05808325266214909,0.30955301990656414,-0.2857142857142857,-0.6683589968966457,0.13093606210249042
32,90033,9936703,21974,45,2938204.0,0.07019867549668879,0.3020353393433881,2.3999999999999995,0.2977911206126065,0.29569204191772663
33,90034,31369570,57385,47,953322.0,0.14819295327385462,0.32317895676796904,-0.2857142857142857,1.2494264556410628,0.030390024472761342
34,90035,32753730,36492,38,1355874.0,0.07524661619637518,0.31991711831757197,-0.20000000000000007,0.1546612372680054,0.04139601810236575
35,90036,38774782,58738,61,3885147.0,0.09004053271569212,0.2890544644089299,2.0,12.242760100107258,0.10019777803006087
36,90037,18246165,32967,87,6360308.0,0.27020297928007775,0.48040903486675224,0.6203703703703705,0.4220122511678399,0.3485832776366979
37,90038,8845120,20622,24,1799406.0,0.34113411341134126,0.4405396124070833,1.75,0.0649352742405982,0.2034348883904345
38,90039,32980369,42198,46,4415233.0,0.07256392536281964,0.3723632134520274,-0.3846153846153846,-0.433296629987431,0.1338745785409496
39,90040,4444889,9644,21,711526.0,0.06199230440359127,0.2666857508879745,0.0,-0.6755494780375546,0.16007733826424012
40,90041,24519856,30862,62,2281956.0,0.05698996655518407,0.3480970539056387,-0.4444444444444444,0.580604203060326,0.09306563627453604
41,90042,35754380,60469,71,2959710.0,0.08918749564854145,0.36245037017624315,0.5833333333333335,0.18776709163417715,0.082778949040649
42,90043,39306922,46925,151,7345192.0,0.07611688427036145,0.29033134707194885,0.32352941176470584,2.630341319565394,0.1868676463651873
43,90044,33137277,59740,181,9557607.0,0.07523816146304152,0.28521577546697774,0.0,0.551382366739728,0.2884246342872409
44,90045,40654085,61170,70,2977275.0,-0.049106209231688513,0.11521431794059911,-0.4782608695652174,0.830137085469467,0.07323433795152443
45,90046,81206223,75834,100,3340384.0,0.1347873127953989,0.45267302077795724,-0.40740740740740744,-0.47354425727601124,0.04113458152092605
46,90047,36222636,52469,160,7379130.0,0.0644575936883629,0.2827987031251571,0.10000000000000009,-0.06663508123060935,0.20371598577199077
47,90048,33630863,36326,53,1504341.0,0.10011709601873542,0.334691896006867,0.09999999999999987,0.6139483814638922,0.04473096631507791
48,90049,152080914,62092,464,34771821.0,0.05693783113137951,0.3168675012506572,-0.4482758620689655,-0.6490554780705595,0.22864026842973867
49,90053,3913,17,0,0.0,13.0,5.478260869565218,,,0.0
50,90056,15758819,12093,31,2657933.0,0.04947117024906178,0.26414327565554974,0.0,-0.041273121835279536,0.16866321010476737
