ZIP Code,housing_units,median_gross_rent,median_ownership_cost,median_home_value
91911,27867,1725.0,440.0,485300.0
91913,16360,2658.0,855.0,578600.0
91914,4842,3055.0,989.0,739300.0
91915,10098,2687.0,797.0,604600.0
91916,780,2462.0,484.0,479600.0
91932,10350,1683.0,510.0,639200.0
91935,3100,1898.0,932.0,681300.0
91941,13027,1698.0,758.0,684900.0
91942,17945,1688.0,585.0,578600.0
91945,9528,1477.0,585.0,478800.0
91950,18849,1333.0,423.0,450700.0
91962,1191,1850.0,554.0,433300.0
91977,20291,1664.0,534.0,493000.0
91978,3383,2050.0,1106.0,454100.0
92003,1661,1786.0,1131.0,720300.0
92007,4737,2341.0,955.0,1304000.0
92008,13310,2060.0,741.0,881300.0
92009,17424,2427.0,876.0,964200.0
92010,6755,2260.0,655.0,776000.0
92011,10448,2601.0,998.0,924700.0
92014,6635,3000.0,1181.0,1827000.0
92019,15912,1848.0,744.0,576700.0
92020,20518,1519.0,766.0,576200.0
92021,23971,1557.0,636.0,469100.0
92024,21270,2234.0,914.0,1063400.0
92025,17446,1562.0,691.0,558600.0
92026,19569,1800.0,667.0,539900.0
92027,17769,1696.0,637.0,493300.0
92029,7762,2063.0,877.0,690900.0
92036,2336,1226.0,543.0,425900.0
92037,19337,2222.0,1382.0,1614900.0
92040,16246,1602.0,733.0,540200.0
92054,17776,1665.0,661.0,648800.0
92056,20326,2140.0,669.0,583700.0
92057,19248,2180.0,621.0,530600.0
92058,15328,2241.0,681.0,510400.0
92059,543,1292.0,251.0,234200.0
92064,16902,1835.0,854.0,767500.0
92065,12888,1754.0,713.0,593100.0
92067,3969,3453.0,1501.0,2000001.0
92069,15438,1788.0,609.0,569500.0
92071,21321,1854.0,752.0,524100.0
92075,5994,2624.0,1136.0,1442900.0
92078,19030,2112.0,755.0,665300.0
92081,10690,2121.0,755.0,599400.0
92082,6561,1389.0,672.0,620700.0
92083,11838,1766.0,610.0,467600.0
92084,15307,1741.0,664.0,600600.0
92086,733,1155.0,416.0,265800.0
92091,764,3029.0,1501.0,1359400.0
92101,29778,2008.0,1215.0,626000.0
92102,15615,1560.0,542.0,477100.0
92103,20238,1717.0,786.0,835300.0
92104,23551,1668.0,527.0,679300.0
92105,24014,1368.0,534.0,459200.0
92106,8011,2022.0,980.0,1070000.0
92107,14301,1836.0,671.0,982300.0
92108,12706,2309.0,677.0,469300.0
92109,25674,1942.0,798.0,962000.0
92110,12682,1962.0,673.0,688800.0
92111,17456,1798.0,559.0,604600.0
92113,14551,1363.0,399.0,406600.0
92114,18835,1653.0,471.0,461500.0
92115,23088,1596.0,581.0,580800.0
92116,18027,1645.0,659.0,690400.0
92117,21480,1899.0,565.0,690000.0
92118,9764,2787.0,1152.0,1656900.0
92119,9529,1868.0,591.0,632500.0
92120,12251,2100.0,655.0,654100.0
92121,1791,2188.0,811.0,821100.0
92122,20895,2266.0,698.0,780000.0
92123,12942,2315.0,523.0,600900.0
92124,11742,2673.0,764.0,704400.0
92126,25500,2290.0,629.0,599500.0
92127,16253,2244.0,1062.0,914200.0
92128,21204,2337.0,835.0,681900.0
92129,18630,2327.0,758.0,815300.0
92130,22077,2789.0,1196.0,1189300.0
92131,12873,2630.0,957.0,885500.0
92139,10656,1768.0,523.0,466100.0
92154,23466,1794.0,494.0,477900.0
92173,8389,1362.0,495.0,388700.0
92201,28719,1161.0,613.0,272400.0
92203,15395,1655.0,781.0,368900.0
92210,5326,919.0,1501.0,750700.0
92211,20289,1627.0,847.0,400000.0
92220,12537,1212.0,566.0,259600.0
92223,19188,1360.0,676.0,354000.0
92225,7613,788.0,439.0,165000.0
92227,9078,850.0,528.0,226700.0
92230,957,1059.0,393.0,211900.0
92231,11161,998.0,517.0,233300.0
