,ZIP,Avg_Percentage_2018_2021,Avg_Change_2018_2021,Total_Change_2018_2021
1944,95055,42.525,-2.0,-6.0
1945,95056,42.525,-2.0,-6.0
1946,95060,72.8,-2.5666666666666678,-7.700000000000003
1947,95061,72.8,-2.5666666666666678,-7.700000000000003
1948,95062,72.8,-2.5666666666666678,-7.700000000000003
1949,95063,72.8,-2.5666666666666678,-7.700000000000003
1950,95064,72.8,-2.5666666666666678,-7.700000000000003
1951,95065,72.8,-2.5666666666666678,-7.700000000000003
1952,95066,72.8,-2.5666666666666678,-7.700000000000003
1953,95067,72.8,-2.5666666666666678,-7.700000000000003
1954,95070,42.525,-2.0,-6.0
1955,95071,42.525,-2.0,-6.0
1956,95073,72.8,-2.5666666666666678,-7.700000000000003
1957,95075,74.97500000000001,-6.5,-19.5
1958,95076,72.8,-2.5666666666666678,-7.700000000000003
1959,95077,72.8,-2.5666666666666678,-7.700000000000003
1960,95101,42.525,-2.0,-6.0
1961,95103,42.525,-2.0,-6.0
1962,95106,42.525,-2.0,-6.0
1963,95108,42.525,-2.0,-6.0
1964,95109,42.525,-2.0,-6.0
1965,95110,42.525,-2.0,-6.0
1966,95111,42.525,-2.0,-6.0
1967,95112,42.525,-2.0,-6.0
1968,95113,42.525,-2.0,-6.0
1969,95115,42.525,-2.0,-6.0
1970,95116,42.525,-2.0,-6.0
1971,95117,42.525,-2.0,-6.0
1972,95118,42.525,-2.0,-6.0
1973,95119,42.525,-2.0,-6.0
1974,95120,42.525,-2.0,-6.0
1975,95121,42.525,-2.0,-6.0
1976,95122,42.525,-2.0,-6.0
1977,95123,42.525,-2.0,-6.0
1978,95124,42.525,-2.0,-6.0
1979,95125,42.525,-2.0,-6.0
1980,95126,42.525,-2.0,-6.0
1981,95127,42.525,-2.0,-6.0
1982,95128,42.525,-2.0,-6.0
1983,95129,42.525,-2.0,-6.0
1984,95130,42.525,-2.0,-6.0
1985,95131,42.525,-2.0,-6.0
1986,95132,42.525,-2.0,-6.0
1987,95133,42.525,-2.0,-6.0
1988,95134,42.525,-2.0,-6.0
1989,95135,42.525,-2.0,-6.0
1990,95136,42.525,-2.0,-6.0
1991,95138,42.525,-2.0,-6.0
1992,95139,42.525,-2.0,-6.0
1993,95140,42.525,-2.0,-6.0
1994,95141,42.525,-2.0,-6.0
1995,95148,42.525,-2.0,-6.0
1996,95150,42.525,-2.0,-6.0
1997,95151,42.525,-2.0,-6.0
1998,95152,42.525,-2.0,-6.0
1999,95153,42.525,-2.0,-6.0
2000,95154,42.525,-2.0,-6.0
2001,95155,42.525,-2.0,-6.0
2002,95156,42.525,-2.0,-6.0
2003,95157,42.525,-2.0,-6.0
2004,95158,42.525,-2.0,-6.0
2005,95159,42.525,-2.0,-6.0
2006,95160,42.525,-2.0,-6.0
2007,95161,42.525,-2.0,-6.0
2008,95164,42.525,-2.0,-6.0
2009,95170,42.525,-2.0,-6.0
2010,95172,42.525,-2.0,-6.0
2011,95173,42.525,-2.0,-6.0
2012,95190,42.525,-2.0,-6.0
2013,95191,42.525,-2.0,-6.0
2014,95192,42.525,-2.0,-6.0
2015,95193,42.525,-2.0,-6.0
2016,95194,42.525,-2.0,-6.0
2017,95196,42.525,-2.0,-6.0
2018,95201,52.7,-3.2666666666666657,-9.799999999999997
2019,95202,52.7,-3.2666666666666657,-9.799999999999997
2020,95203,52.7,-3.2666666666666657,-9.799999999999997
2021,95204,52.7,-3.2666666666666657,-9.799999999999997
2022,95205,52.7,-3.2666666666666657,-9.799999999999997
2023,95206,52.7,-3.2666666666666657,-9.799999999999997
2024,95207,52.7,-3.2666666666666657,-9.799999999999997
2025,95208,52.7,-3.2666666666666657,-9.799999999999997
2026,95209,52.7,-3.2666666666666657,-9.799999999999997
